"src","lat","cyr","ipa"
"A","A","А","a"
"a","a","а","a"
"Ā","Ā","Ā","aː"
"ā","ā","ā","aː"
"E","E","Е","eː"
"e","e","е","eː"
"Ê","Ê","Ê","ɛː"
"ê","ê","ê","ɛː"
"I","I","И","ɪ"
"i","i","и","ɪ"
"Ī","Ī","Ӣ","iː"
"ī","ī","ӣ","iː"
"O","O","О","ɔː"
"o","o","о","ɔː"
"U","U","У","ʊ"
"u","u","у","ʊ"
"Ū","Ū","Ӯ","uː"
"ū","ū","ӯ","uː"
"Ů","Ů","У̊","øː"
"ů","ů","у̊","øː"
"W","W","W","w"
"w","w","w","w"
"Y","Y","Й","j"
"y","y","й","j"
"B","B","Б","b"
"b","b","б","b"
"P","P","П","p"
"p","p","п","p"
"V","V","В","v"
"v","v","в","v"
"F","F","Ф","f"
"f","f","ф","f"
"G","G","Г","g"
"g","g","г","g"
"K","K","К","k"
"k","k","к","k"
"D","D","Д","d"
"d","d","д","d"
"T","T","Т","t"
"t","t","т","t"
"Δ","Δ","Δ","ð"
"δ","δ","δ","ð"
"Θ","Θ","Θ","θ"
"θ","θ","θ","θ"
"Z","Z","З","z"
"z","z","з","z"
"Q","Q","Қ","q"
"q","q","қ","q"
"Ʒ","Ʒ","Ӡ","d͜z"
"ʒ","ʒ","ӡ","d͜z"
"Ĵ","J̌","Ҷ","d͜ʒ"
"ĵ","ǰ","ҷ","d͜ʒ"
"Č","Č","Ч","t͜ʃ"
"č","č","ч","t͜ʃ"
"C","C","Ц","t͜s"
"c","c","ц","t͜s"
"Ž","Ž","Ж","ʒ"
"ž","ž","ж","ʒ"
"Š","Š","Ш","ʃ"
"š","š","ш","ʃ"
"S","S","С","s"
"s","s","с","s"
"H","H","Ҳ","h"
"h","h","ҳ","h"
"L","L","Л","l"
"l","l","л","l"
"M","M","М","m"
"m","m","м","m"
"N","N","Н","n"
"n","n","н","n"
"R","R","Р","ɾ"
"r","r","р","ɾ"
"Ɠ","Ɣ̌","Ɣ̌","ɣ"
"ɠ","ɣ̌","ɣ̌","ɣ"
"Ř","Ɣ","Ғ","ʁ"
"ř","ɣ","ғ","ʁ"
"Ẋ","X̌","Х̌","x"
"ẋ","x̌","х̌","x"
"Ẍ","X","Х","χ"
"ẍ","x","х","χ"
