wordform,tagged
vuδǰ,vuδ<v><pf><m>
navuδǰ,vuδ<v><neg><pf><m>
yi,yi<prt>
yůrx̌ak,yůrx̌<n><dim>
vuδǰ,vuδ<v><pf><m>
yu-yi,yu<dem><3sg>
pi,pi<prep>
yi,yi<prt>
biland,biland<n>
kū,kū<n>
zindagi,zindagi<n>
čūɣ̌ǰ,čūɣ̌<v><pf>
di,di<dem>
kū,kū<n>
bīr-and,bīr<post><loc>
yi,yi<prt>
qišloq,qišloq<n>
vuδǰ-at,vuδ<v><pf><m><coord2>
di,di<dem>
qišloq-and-ga,qišloq<n><loc><add1>
yi,yi<prt>
ɣulā,ɣulā<n>
boǰakzor,zor<n><walnut>
vuδǰ,vuδ<v><pf><m>
tīramo,tīramo<n>
boǰak,boǰak<n>
firopt-at,firop<v><prs><3sg><coord2>
yid,yid<dem>
yůrx̌ak,yůrx̌<n><dim>
xāfst,xāfs<v><prs><3sg>
ar,ar<prep>
di,di<dem>
qišloq,qišloq<n>
boǰak,boǰak<n>
cift,cif<v><inf>
yid,yid<dem>
qišloq,qišloq<n>
mardum,mardum<n>
wi,wi<dem>
wintow,wīn<v><inf><purp>
wi,wi<dem>
wīnt,wīn<v><prs><3sg>
amo,amo<cnj>
as,as<prep>
x̌oǰ,x̌oǰ<n>
yi,yi<prt>
čīraθ,čīr<pro><int>
čīdow,čī<v><inf><purp>
navārδed,vārδe<v><neg><prs><3sg>
yi,yi<prt>
meθ-at,meθ<n><in>
yi,yi<prt>
mūysafedik,mūysafed<n><dim>
yi,yi<prt>
bebun,bun<n><without>
cimūd,cimūd<n>
woft,wof<v><prs><3sg>
xu,xu<cnj>
yêst,yês<v><prs><3sg>
tar,tar<prep>
wi,wi<dem>
boǰakzor,zor<n><walnut>
x̌̌āb-atā,x̌āb<n><in>
yid,yid<dem>
yůrx̌ak,yůrx̌<n><dim>
yoδd,yoδ<v><prs><3sg>
xu,xu<cnj>
di,di<dem>
boǰak,boǰak<n>
fukaθ,fuk<pro><int>
biɣ̌ent,biɣ̌en<v><prs><3sg>
bād,bād<prt>
xušikunůn,kunůn<n><joy>
di,di<dem>
boǰak,boǰak<n>
ar,ar<prep>
di,di<dem>
bebun,bun<n><without>
cimūd,cimūd<n>
bix̌čīrt,bix̌čīr<v><prs><3sg>
xu,xu<cnj>
či,či<prt>
tīd,tī<v><inf>
sůd,sů<v><prs><3sg>
naw,naw<prt>
mis,mis<prt>
di,di<dem>
cimūd,cimūd<n>
pi,pi<prep>
xu,xu<dem>
dām,dām<n>
sent-at,sen<v><prs><3sg><coord2>
yu,yu<dem>
boǰak,boǰak<n>
di,di<dem>
sůd,sů<v><prs><3sg>
fukaθ,fuk<pro><int>
xoli,xoli<n>
ikditi,ik<prt><d2><m><sg><o><sup>
yid,yid<dem>
yůrx̌ak,yůrx̌<n><dim>
to,to<prep>
sāraki-ec,sāraki<n><lim2>
di,di<dem>
boǰak,boǰak<n>
bix̌čīrt-at,bix̌čīr<v><prs><3sg><coord2>
yu,yu<dem>
vo,vo<prt>
xoli,xoli<n>
sůd,sů<v><prs><3sg>
yid,yid<dem>
yůrx̌ak,yůrx̌<n><dim>
as,as<prep>
qār,qār<n>
di,di<dem>
cimūd,cimūd<n>
kix̌t,kix̌<v><prs><3sg>
tuk-tukak,tuk<n><dim>
xu,xu<cnj>
tīzd,d<v><go>
pi,pi<prep>
wi,wi<dem>
kū,kū<n>
xu,xu<cnj>
as,as<prep>
wam,wam<dem>
rūz-and,rūz<n><loc>
aǰ-ga,ač<prt><add1>
ar,ar<prep>
di,di<dem>
qišloq,qišloq<n>
naxāfst,xāfs<v><neg><prs><3sg>
yid,yid<dem>
mardum,mardum<n>
di,di<dem>
mūysafedik,mūysafed<n><dim>
tadbīr-qati,tadbīr<n><com>
as,as<prep>
di,di<dem>
duzd,duzd<n>
yůrx̌ak,yůrx̌<n><dim>
xalos,xalos<n>
sůd,sů<v><prs><3sg>
