wordform,tagged
sarāmo?,sar<n>><1pl>><q>
nurand,nur<n>><loc>
māšām,māš<pers><prn><1pl>><prs><1pl>
ši,ši<prt>
yi,yi<pro><indef>
vīdeoyak,vīdeo<n>><dim>
čux̌t,čux̌<v>><pst>
aro,aro<prt><adr>
yamand,yam<dem><d1><sg>><loc>
yi,yi<pro><indef>
virodik,virod<n>><dim>
aro,aro<prt><adr>
čīz,čīz<pro>
kix̌t…,kix̌<v>><prs><3sg>
kayůn,kayůn<n>
δůvd,δův<v>><prs><3sg>
fāmtato?,fām<v>><pst>><2sg>><q>
bād,bād<n>
miti,mi<dem><d1><m><sg><o>><sup>
aray,aray<num>
sabad,sabad<n>
yamand,yam<dem><d1><sg>><loc>
ata,ata<cnj><coord2>
δu,δu<num>
sabad,sabad<n>
uži,uži<rus>
pur,pur<n>
čūǰ,čū<v>><pf>
ata,ata<cnj><advs>
aram,ara<num>><ord>
seyum,se<num>><ord>
ɣal,ɣal<prt>
δůvd,δův<v>><pst>
yu,yu<dem><d3><m><sg>
koroči,koroči<rus><hez>
sifīd,sifī<v>><pst>
pi,pi<prep><up>
čīz,čīz<pro>
ata,ata<cnj><coord2>
pi,pi<prep><up>
daraxt,daraxt<n>
ata,ata<cnj><advs>
aro…,aro<prt><adr>
yi,yi<pro><indef>
virodik,virod<n>><dim>
yi,yi<pro><indef>
ӡulikak,ӡulik<n><m>><dim>
čīzti,čīz<pro>><sup>
yat,ya<v>><pst>
aro,aro<prt><adr>
velusipedti,velusiped<n>><sup>
yat,ya<v>><pst>
xu,xu<cnj><coord1>
bādi,bād<n>><3sg>
wev,wev<dem><d3><pl><o>
kayůnen,kayůn<n>><pl>
wint,win<v>><pst>
xu,xu<cnj><coord1>
čūdi,čū<v>><pst>><3sg>
gīr,gīr<n>
čūdi,čū<v>><pst>><3sg>
gīr,gīr<n>
ata,ata<cnj><coord2>
yu,yu<dem><d3><m><sg>
virodik,virod<n>><dim>
pi,pi<prep><up>
xu,xu<pro><refl>
daraxt,daraxt<n>
yu,yu<dem><d3><m><sg>
ɣamaθ,ɣam<n>><adv>
nist,nist<v><neg>
aro,aro<prt><adr>
yu,yu<dem><d3><m><sg>
ӡulikak,ӡulik<n><m>><dim>
yat,ya<v>><pst>
xu,xu<cnj><coord1>
aro,aro<prt><adr>
čīz…,čīz<pro>
spokoynikaθi,spokoyn<n>><dim>><adv>><3sg>
sent,sen<v>><pst>
wam,wam<dem><d3><f><sg><o>
yi,yi<pro><indef>
