wordform,tagged
mund,mu<pers><loc>
mu,mu<pers>
nān,nān<n>
mis,mis<prt>
ik,ik<prt>
as,as<prep>
mi,mi<dem>
māš,māš<pers>
šoxdarā,šoxdarā<nprop>
ikam,ik<prt><d1><sg>
as,as<prep>
xaraɣ,xaraɣ<nprop>
naɣ̌ǰīsi,naɣ̌ǰīs<v><prs><2sg>
dam,dam<dem>
daryo,daryo<n>
padůd,ůd<dem><up>
ikam,ik<prt><d1><sg>
māš,māš<pers>
mamlakat,mamlakat<n>
mi,mi<dem>
nům,nům<n>
šoxdarā,šoxdarā<nprop>
yāni,yāni<prt>
aqiqatan,aqiqatan<n>
šoxdarā,šoxdarā<nprop>
nay-at,nay<prt><coord2>
šodarā,šodarā<nprop>
šohdarā-yām,šohdarā<nprop><1pl>
māš,māš<pers>
mu,mu<pers>
modar,modar<n>
mis,mis<prt>
xay,xay<prt>
ik,ik<prt>
as,as<prep>
mi,mi<dem>
mu,mu<pers>
qišloq-and,qišloq<n><loc>
to…,to<prep>
yā,yā<dem>
ikamand,ik<prt><d1><sg><loc>
tawallud,tawallud<n>
ca,ca<cnj>
sic…,si<v><pf><f/pl>
sī,sī<num>
kilametir,kilametir<n>
tavdem,tavdem<nprop>
nům,nům<n>
ǰoy,ǰoy<n>
mu,mu<pers>
modar,modar<n>
ikazam,ik<prt><el><d1><sg>
ida,ida<dem>
arodi man,arodi_man<prt>
ya,yā<dem>
bādi,bād<n><3sg>
padůd,ůd<dem><up>
ida,ida<dem>
aro,aro<prt>
čūɣ̌ǰ,čūɣ̌<v><pf><m>
čor,čor<n>
aro,aro<prt>
mu,mu<pers>
modar,modar<n>
mis…,mis<prt>
yigůn…,yigůn<pro>
navad,navad<num>
navad,navad<num>
solā,sol<n><hb>
navad,navad<num>
solā,sol<n><hb>
vad,va<v><pst>
xu,xu<cnj>
wafot,death<n>
yāni,yāni<prt>
yi,yi<prt>
čīz,čīz<pro>
sabab-i,sabab<n><ez>
kasaliyat,kasal<n><subst><coord2>
dev-en,dev<dem><3pl>
qati,qati<post>
nay-atā…,nay<prt><advs>
aro…,aro<prt>
čīz…,čīz<pro>
sadama-yi…,sadama<n><ez>
sadamai,sadama<n><ez>
aftamabīli,aftamabīli<n>
lůvām,lův<v><prs><1pl>
mošīn-qati-yen,mošīn<n><com><3pl>
avār,avār<n>
čūd,čū<v><pst>
wi-ti,wi<dem><sup>
aro,aro<prt>
yā,yā<dem>
čīz,čīz<pro>
sat…,sa<v><pst>
guzaštā,guzaštā<n>
sat,sa<v><pst>
aga,aga<cnj>
nāy,nāy<prt>
yā,yā<dem>
mumkin,mumkin<prt>
dis,dis<pro>
bašāndaθ,bašānd<n><adv>
salůmati,salůmat<n><subst>
wamand,wam<dem><loc>
vud,vu<v><pst>
mumkin,mumkin<prt>
sad…,sad<num>
tar,tar<prep>
sadi,sadi<n>
xu,xu<cnj>
weδǰatatā,weδ<v><pf><pqp><advs>
dis-ga,dis<adj.pro><add1>
amčun,amčun<cnj>
ida,ida<dem>
čīz,čīz<pro>
sut,su<v><pst>
yā,yā<dem>
ik,ik<prt>
guzaštā,guzaštā<n>
sat,sa<v><pst>
bād,bād<n>
ida,ida<dem>
tārīxi,tārīx<n><indf>
tārīxi,tārīx<n><indf>
wuz,wuz<pers>
xu,xu<pro>
wīnčin,wīn<v><pf><ptcp1>
lům,lů<v><prs><1sg>
xu,xu<pro>
wīnčin,wīn<v><pf><ptcp1>
ik-am,ik<prt><d1><sg>
māš…,māš<pers>
ukūmati,ukūmat<n><iz>
šūrawi,šūrawi<n>
naw,naw<prt>
arůd,ůd<dem><down>
mis…,mis<prt>
arůd,ůd<dem><down>
ɣalabā,ɣalabā<n>
čūd,čū<v><pst>
taxt-i,taxt<n><3sg>
ču,ču<v>
yo,yo<cnj>
čīz,čīz<pro>
yam,yam<dem>
qaššoq,qaššoq<n>
vud,vu<v><pst>
ik-am,ik<prt><d1><sg>
māš,māš<pers>
pomīr,pomīr<nprop>
ar,ar<pro>
čīz,čīz<pro>
aqiqat,aqiqat<n>
ca,ca<cnj>
wi-ta,wi<dem><fut>
odam…,odam<n>
čīz,čīz<pro>
nakix̌t…,kix̌<v><neg><prs><3sg>
inkor,inkor<n>
nakix̌t,kix̌<v><neg><prs><3sg>
aro,aro<prt>
tar,tar<prep>
maktab-ām,maktab<n><1pl>
sat,sa<v><pst>
māšand,māš<pers><loc>
tūfli,tūfli<n>
navud,vu<v><neg><pst>
kalūš,kalůš<n>
mis,mis<prt>
navud,vu<v><neg><pst>
māšard-en,māš<pers><dat><3pl>
ida…,ida<dem>
vaz-o…,vaz<n><q>
vaz-en,vaz<n><3pl>
kux̌t-o…,kux̌<v><pst><q>
šīg-o…,šīg<n><q>
di-yen,di<dem><3pl>
kux̌t,kux̌<v><pst>
xu,xu<cnj>
bād-en,bād<n><3pl>
di,di<dem>
půst…,půst<n>
katax̌āb,x̌āb<n><much>
ik-wā,ik<prt><d3><pl>
māš…,māš<pers>
doden-at,dod<n><pl><coord2>
ɣullādi,ɣullā<n><comp>
viroden-at…,virod<n><pl><coord2>
molt-en,mol<v><pst><3pl>
wi,wi<dem>
xu,xu<pro>
poδen,poδ<n><pl>
qatī-yen,qatī<post><3pl>
wi,wi<dem>
molt,mol<v><pst>
molt,mol<v><pst>
molt,mol<v><pst>
molt,mol<v><pst>
xu,xu<cnj>
wi,wi<dem>
čidům,čidům<pro>
lůvǰit,lův<v><pf><pqp>
nāmb,nāmb<n>
wi,wi<dem>
nāmb-en,nāmb<n><3pl>
as,as<prep>
wi,wi<dem>
darūn-and,darūn<n><loc>
ziwost,ziwos<v><pst>
bād-en…,bād<n><3pl>
yu,yu<dem>
sut,su<v><pst>
miloyim,miloyim<n>
ik-u,ik<adv><d3><m><sg><o>
půst,půst<n>
sut,su<v><pst>
miloim,miloyim<n>
xu,xu<cnj>
bād-en,bād<n><3pl>
δod,δo<v><pst>
rāng,rāng<n>
čīz,čīz<pro>
rāng-en,rāng<n><3pl>
wi,wi<dem>
δod,δo<v><pst>
rāng,rāng<n>
mis,mis<prt>
ik-mi…,ik<prt><d1><m><sg><o>
misol,misol<prt>
ik-am,ik<prt><d1><sg>
šič,šič<prt>
rāng,rāng<n>
ca,ca<cnj>
nay-atā,nay<prt><advs>
wān,wān<n>
wān-en,wān<n><3pl>
čīnt,čīn<v><pst>
wān,wān<n>
wam-en,wam<dem><3pl>
čīnt,čīn<v><pst>
xu,xu<cnj>
bād-en,bād<n><3pl>
wam,wam<dem>
půstāk,půstāk<n>
zox̌t,zox̌<v><pst>
wam,wam<dem>
půstak,půstāk<n>
rūšt,rūšt<n>
bād-en,bād<n><3pl>
wi,wi<dem>
pêxt,pêx<v><pst>
wi-yen,wi<dem><3pl>
pêxt,pêx<v><pst>
xu,xu<cnj>
ik-di,ik<prt><d2><m><sg><o>
půst…,půst<n>
di,di<dem>
půst-en,půst<n><3pl>
vūd,vū<v><pst>
δod-en,δo<v><pst><3pl>
aram,am<dem><down>
yu,yu<dem>
půst,půst<n>
sut,su<v><pst>
rūšt,rūšt<n>
