wordform,tagged
xāy,xāy<prt>
uzum…,uz<pers><prn><1sg>><=1sg>
māš,māš<pers><prn><1pl>
ca,ca<cnj><subd>
yat,ya<v>><-pst>
yakumaθ,yak<num>><-ord>><-adv>
misoland,misol<n>><=loc>
māš,māš<pers><prn><1pl>
mardumen,mardum<n>><-pl>
wi,wi<dem><d3><m><sg><o>
xuɣ̌nůni,xuɣ̌nůn<n><shughnan>><-adj>
as,as<prep><el>
wi,wi<dem><d3><m><sg><o>
taraf,taraf<n>
ca…,ca<cnj><subd>
xuɣ̌nůni,xuɣ̌nůn<n><shughnan>><-adj>
awɣůnistonand,awɣůniston<nprop><afghanistan>><=loc>
dusikaθ,dus<adv>><-dim>><-adv>
farq,farq<n>
yāni,yāni<cnj>
māšta,māš<pers><prn><1pl>><=irr>
dev,dev<dem><d2><pl><o>
kalamoti,kalamot<n><pl>><=ez>
rūsi,rūs<n><russian>><adj>
istifodā,istifodā<n>
az,az<prep><el>
mi,mi<dem><d1><m><sg><o>
tarafta,taraf<n>><=irr>
dev,dev<dem><d2><pl><o>
istifodā,istifodā<n>
kinen,kin<v>><-prs><3pl>
ala,ala<prt><quot>
kalamoten,kalamot<n><pl>><-pl>
māš,māš<pers><prn><1pl>
istifodā,istifodā<n>
ca,ca<cnj><subd>
kinām,kin<v>><-prs><1pl>
mumkin,mumkin<n>
wāδ,wāδ<dem><d3><pl>
forsiti,forsi<n><persian>><=sup>
viyen,vi<v>><-prs><3pl>
istifodā,istifodā<n>
bādi,bādi<n>
yakumaθām…,yak<num>><-ord>><-adv>><=1pl>
ca,ca<cnj><subd>
yat,ya<v>><-pst>
yo,yo<cnj><or>
qīnām,qīn<n>><=1pl>
sat,sa<v>><-pst>
rostiyaθ,rost<n>><-adj>><-adv>
yo,yo<cnj><or>
misoland…,misol<n>><=loc>
tar,tar<prep><eq>
dargoyām,dargo<n>><=1pl>
bozi,bozi<n>
čīd,čīd<n>
ca,ca<cnj><subd>
nax̌toyd…,nax̌toy<v><f/pl>><-pst>
ičidům,i<pro><indef->><which>
ӡulik,ӡul<n>><-dim>
qati,qati<post><com>
ičīz,i<pro><indef->><thing>
gāpām,gāp<n>><=1pl>
ca,ca<cnj><subd>
lůd,lů<v>><-pst>
yuyi,yu<dem><d3><m><sg>><=3sg>
wi,wi<dem><d3><m><sg><o>
šīnti,šīn<v>><-pst>><=3sg>
yo,yo<cnj><or>
diǰāt,di<dem><d2><m><sg><o>><=ben>
yuyi,yu<dem><d3><m><sg>><=3sg>
wi,wi<dem><d3><m><sg><o>
yo,yo<cnj><or>
yakumin,yakumin<num><ord>
bori,bor<n>><=3sg>
wi,wi<dem><d3><m><sg><o>
x̌uδǰ,x̌uδ<v>><-pf>
disga,dis<pro>><=add1>
xuɣ̌nůni,xuɣ̌nůn<n><shughnan>><-adj>
yo,yo<cnj><or>
iků,ik<prt><emph=>><d1>
māš…,māš<pers><prn><1pl>
ikwi,ik<prt><emph=>><d3><m><sg><o>
tarztiyām,tarz<n>><=sup>><=1pl>
māš,māš<pers><prn><1pl>
gāp,gāp<n>
ca,ca<cnj><subd>
δod,δo<v>><-pst>
wi,wi<dem><d3><m><sg><o>
tarzi…,tarz<n>><=3sg>
farq,farq<n>
vud,vu<v>><-pst>
bād,bād<n>
rostiyaθ,rost<n>><-adj>><-adv>
ӡuliken,ӡul<n>><-dim>><-pl>
šīntenat,šīn<v>><-pst>><=3pl>><=coord2>
yo…,yo<cnj><or>
ar,ar<pro>
čīyaθen,čī<pro>><-adv>><=3pl>
lůdi,lů<v>><-pst>><???>
di,di<dem><d2><m><sg><o>
aro,aro<prt><adr>
disga,dis<pro>><=add1>
nistat,nist<v><neg>><=coord2>
bād,bād<n>
amo,amo<cnj>
ostāostā,ostā<n>
wev,wev<dem><d3><pl><o>
dusik,dus<n>><-dim>
farqiyaten,farqiyat<n><pl>><=3pl>
ca…,ca<cnj><subd>
māš,māš<pers><prn><1pl>
mardumand,mardum<n>><=loc>
yo,yo<cnj><or>
māš,māš<pers><prn><1pl>
zivand,ziv<n>><=loc>
az,az<prep><el>
wi,wi<dem><d3><m><sg><o>
tarafat,taraf<n>><=coord2>
az,az<prep><el>
mi,mi<dem><d1><m><sg><o>
taraf,taraf<n>
lap,lap<n>
ӡuliken,ӡul<n>><-dim>><=3pl>
wāδ…,wāδ<dem><d3><pl>
amo,amo<cnj>
bād,bād<n>
odam,odam<n>
ostāostā…,ostā<n>
fāmt,fām<v>><-pst>
čīz,čīz<pro>
māš,māš<pers><prn><1pl>
lůvām,lův<v>><-prs><1pl>
čīz,čīz<pro>
x̌o,x̌o<prt>
bād,bād<n>
wi,wi<dem><d3><m><sg><o>
dar,dar<prep><loc>
nazar,nazar<n>
odam,odam<n>
ca,ca<cnj><subd>
zêzd,zêz<v>><-prs><3sg>
diga…,di<pro>><=add1>
zivand,ziv<n>><=loc>
sof,sof<n>
ačaθ,ačaθ<prt>
čīz,čīz<pro>
nist,nist<v><neg>
yo…,yo<cnj><or>
muškili,muškili<n>
nist,nist<v><neg>
mi,mi<dem><d1><m><sg><o>
dari,dari<n><dari>
mardum,mardum<n>
qati,qati<post><com>
