atā,atā<cnj>,atā<conj><advs>,FAIL
yi,yi<prt>,yi<adj>/yi<pro>,FAIL
memūn,memūn<n>,me<adj>мӯн<n>/memūn<n>,CORRECT
di-yi,di<dem><3sg>,di<pro><3sg>/di<v><imp><3sg>/di<v><prs><2sg>/di<v><prs><3sg>,FAIL
x̌ud,x̌u<v><3sg>,x̌ud<v><pst>,FAIL
xu,xu<cnj>,xu<conj><coord1>/xu<pro><refl>,FAIL
yeso-rd-i,yeso<nprop><dat><3sg>,*yeso-rd-i,UNKNOWN
lůd,lů<v><pst>,lůd<v><imp>,FAIL
xušbaxt,xušbaxt<n>,xuš<adj>бахт<n>/xušbaxt<adj>/xušbaxt<n>,CORRECT
yik-u,yik<pro><d3><m><sg>,yik<n><coord3>,FAIL
yidê,yidê<cnj>,*yidê,UNKNOWN
yu,yu<dem>,yu<dem><d3><m><sg><nom>,FAIL
xuδoy,xuδoy<n>,xuðoy<n>/xuδoy<n>,CORRECT
malakūt-and,malakūt<n><loc>,*malakūt-and,UNKNOWN
šelůn,šelůn<n>,šelůn<n>,CORRECT
ca,ca<cnj>,ca<conj><subd>/ca<n>/ca<pro>,FAIL
xīrt,xīr<v><prs><3sg>,xīr<n><2sg>,FAIL
atā,atā<cnj>,atā<conj><advs>,FAIL
yeso,yeso<nprop>,*yeso,UNKNOWN
lůd-i,lů<v><pst><3sg>,lůd<v><imp><3sg>,FAIL
wi-rd,wi<dem><dat>,wi<dem><d3><m><sg><dat>,FAIL
yi,yi<prt>,yi<adj>/yi<pro>,FAIL
odam,odam<n>,odam<n>,CORRECT
ziyofat-i,ziyofat<n><3sg>,ziyofat<n><3sg>,CORRECT
taškīl,taškīl<n>,taškīl<n>,CORRECT
čūd,čū<v><pst>,čūd<v><pst>,FAIL
xu,xu<cnj>,xu<conj><coord1>/xu<pro><refl>,FAIL
lap,lap<prt>,lap<adj>,FAIL
memūn-i,memūn<n><3sg>,me<adj>мӯн<n><3sg>/memūn<n><3sg>,CORRECT
qīwd,qīw<v><pst>,qīwd<v><inf>/qīwd<v><pst>,FAIL
dastorxůn,dastorxůn<n>,dastor<adj>ху̊н<n>/dastorxůn<n>,CORRECT
kāl-ti,kāl<n><sup>,kāl<n><2sg><3sg>/kāl<n><sup>,CORRECT
nīstow,nīs<v><inf><purp>,nīst<v><inf><purp>,FAIL
waxt,waxt<n>,waxt<n>,CORRECT
