vuδǰ,vuδ<v>><pf><m>,vuðǰ<v><prf>/vuðǰ<v><prf>/vuδǰ<v><prf>/vuδǰ<v><prf>/vuðǰ<v><prf><m>/vuðǰ<v><prf><m>/vuδǰ<v><prf><m>/vuδǰ<v><prf><m>,FAIL
yi,yi<prt><indef>,yi<adj>/yi<pro>,FAIL
vuδǰ,vuδ<v>><pf><m>,vuðǰ<v><prf>/vuðǰ<v><prf>/vuδǰ<v><prf>/vuδǰ<v><prf>/vuðǰ<v><prf><m>/vuðǰ<v><prf><m>/vuδǰ<v><prf><m>/vuδǰ<v><prf><m>,FAIL
yu-yi,yu<dem><d3><m><sg>><3sg>,yu<dem><d3><m><sg><nom>><3sg>,FAIL
pi,pi<prep><up>,pi<prep>/pi<v><prs>,FAIL
yi,yi<prt><indef>,yi<adj>/yi<pro>,FAIL
biland,biland<n>,biland<adj>,FAIL
kū,kū<n>,kū<n>,CORRECT
zindagi,zindagi<n>,zindagi<n>,CORRECT
čūɣ̌ǰ,čūɣ̌<v>><pf>,čūɣ̌ǰ<v><prf>/čūɣ̌ǰ<v><prf>,FAIL
di,di<dem><d2><m><sg><o>,di<conj><when>/di<pro>/di<v><imp>/di<v><prs>,FAIL
kū,kū<n>,kū<n>,CORRECT
bīr-and,bīr<post><sub>><loc>,bīr<n>><loc>,FAIL
yi,yi<prt><indef>,yi<adj>/yi<pro>,FAIL
qišloq,qišloq<n>,qišloq<n>,CORRECT
vuδǰ-at,vuδ<v>><pf><m>><coord2>,vuðǰ<v><prf><m>><2sg>/vuðǰ<v><prf><m>><2sg>/vuδǰ<v><prf><m>><2sg>/vuδǰ<v><prf><m>><2sg>/vuðǰ<v><prf><m>><coord2>/vuðǰ<v><prf><m>><coord2>/vuδǰ<v><prf><m>><coord2>/vuδǰ<v><prf><m>><coord2>/vuðǰ<v><prf>><2sg>/vuðǰ<v><prf>><2sg>/vuδǰ<v><prf>><2sg>/vuδǰ<v><prf>><2sg>/vuðǰ<v><prf>><coord2>/vuðǰ<v><prf>><coord2>/vuδǰ<v><prf>><coord2>/vuδǰ<v><prf>><coord2>,FAIL
di,di<dem><d2><m><sg><o>,di<conj><when>/di<pro>/di<v><imp>/di<v><prs>,FAIL
qišloq-and-ga,qišloq<n>><loc>><add1>,qišloq<n>><loc>><add>,FAIL
yi,yi<prt><indef>,yi<adj>/yi<pro>,FAIL
ɣulā,ɣulā<n>,ɣulā<adj>/ɣulā<n>,CORRECT
vuδǰ,vuδ<v>><pf><m>,vuðǰ<v><prf>/vuðǰ<v><prf>/vuδǰ<v><prf>/vuδǰ<v><prf>/vuðǰ<v><prf><m>/vuðǰ<v><prf><m>/vuδǰ<v><prf><m>/vuδǰ<v><prf><m>,FAIL
tīramo,tīramo<n>,tīr<adj>>амо<n>/tīramo<n>,CORRECT
boǰak,boǰak<n>,boǰ<n>><dim>/boǰ<n>><dim>/boǰak<n>/boǰak<n>,CORRECT
yid,yid<dem><d2><sg>,yid<pro>,FAIL
xāfst,xāfs<v>><prs><3sg>,xāfst<v><inf>/xāfst<v><pst>,FAIL
ar,ar<prep><down>,ar<n>/ar<prep>/ar<pro>,FAIL
di,di<dem><d2><m><sg><o>,di<conj><when>/di<pro>/di<v><imp>/di<v><prs>,FAIL
qišloq,qišloq<n>,qišloq<n>,CORRECT
boǰak,boǰak<n>,boǰ<n>><dim>/boǰ<n>><dim>/boǰak<n>/boǰak<n>,CORRECT
cift,cif<v>><inf>,cif<v><prs>><2sg>/cif<v><prs>><3sg>/cift<v><inf>/cift<v><prs>/cift<v><pst>,FAIL
yid,yid<dem><d2><sg>,yid<pro>,FAIL
qišloq,qišloq<n>,qišloq<n>,CORRECT
mardum,mardum<n>,mard<adj>><1sg>/mard<n>><1sg>/mardum<n>,CORRECT
wi,wi<dem><d3><m><sg><o>,wi<dem><d3><m><sg><obl>,FAIL
wi,wi<dem><d3><m><sg><o>,wi<dem><d3><m><sg><obl>,FAIL
wīnt,wīn<v>><prs><3sg>,wīnt<v><inf>/wīnt<v><pst>,FAIL
amo,amo<cnj>,amo<n>,FAIL
as,as<prep><el>,as<prep>,FAIL
x̌oǰ,x̌oǰ<n>,x̌oǰ<n>/x̌oǰ<n>,CORRECT
