navuδǰ,<neg>>vuδ<v>><pf><m>,<*neg>>вуδҷ<v><prf>/<*neg>>вуδҷ<v><prf><m>,UNKNOWN
yůrx̌ak,yůrx̌<n>><dim>,*yůrx̌ak,UNKNOWN
boǰakzor,<walnut>>zor<n><place>,*boǰakzor,UNKNOWN
firopt-at,firop<v>><prs><3sg>><coord2>,*firopt-at,UNKNOWN
yůrx̌ak,yůrx̌<n>><dim>,*yůrx̌ak,UNKNOWN
wintow,wīn<v>><inf>><purp>,*wintow,UNKNOWN
navārδed,<neg>>vārδe<v>><prs><3sg>,*navārδed,UNKNOWN
bebun,<without>>bun<n>,<*without><adj>>бун<n>/bebun<adj>,UNKNOWN
woft,wof<v>><prs><3sg>,*woft,UNKNOWN
yêst,yês<v>><prs><3sg>,*yêst,UNKNOWN
boǰakzor,<walnut>>zor<n><place>,*boǰakzor,UNKNOWN
x̌̌āb-atā,x̌āb<n>><in>,*x̌̌āb-atā,UNKNOWN
yůrx̌ak,yůrx̌<n>><dim>,*yůrx̌ak,UNKNOWN
yoδd,yoδ<v>><prs><3sg>,*yoδd,UNKNOWN
bād,bād<prt>,*bād,UNKNOWN
xušikunůn,<joy>>kunůn<n>,*xušikunůn,UNKNOWN
bebun,<without>>bun<n>,<*without><adj>>бун<n>/bebun<adj>,UNKNOWN
bix̌čīrt,bix̌čīr<v>><prs><3sg>,*bix̌čīrt,UNKNOWN
sůd,sů<v>><prs><3sg>,*sůd,UNKNOWN
sůd,sů<v>><prs><3sg>,*sůd,UNKNOWN
ikditi,ik<prt><emph>><d2><m><sg><o>><sup>,*ikditi,UNKNOWN
yůrx̌ak,yůrx̌<n>><dim>,*yůrx̌ak,UNKNOWN
sāraki-ec,sāraki<n>><lim2>,*sāraki-ec,UNKNOWN
bix̌čīrt-at,bix̌čīr<v>><prs><3sg>><coord2>,*bix̌čīrt-at,UNKNOWN
sůd,sů<v>><prs><3sg>,*sůd,UNKNOWN
yůrx̌ak,yůrx̌<n>><dim>,*yůrx̌ak,UNKNOWN
tīzd,<go>>d<v><prs><3sg>,*tīzd,UNKNOWN
aǰ-ga,ač<prt>><add1>,*aǰ-ga,UNKNOWN
naxāfst,<neg>>xāfs<v>><prs><3sg>,<*neg>>хāфст<v><inf>/<*neg>>хāфст<v><pst>,UNKNOWN
tadbīr-qati,tadbīr<n>><com>,*tadbīr-qati,UNKNOWN
yůrx̌ak,yůrx̌<n>><dim>,*yůrx̌ak,UNKNOWN
sůd,sů<v>><prs><3sg>,*sůd,UNKNOWN
