yeso,yeso<nprop><jesus>,*yeso,UNKNOWN
dāk,dāk<v>,*dāk,UNKNOWN
ču,čū<v><pst>,*ču,UNKNOWN
bād,bād<n>,*bād,UNKNOWN
δu-aray,δu<num>><three>,*δu-aray,UNKNOWN
taram-i,taram<dem><eq>><d3>><3sg>,*taram-i,UNKNOWN
yik dis,yik<prt><emph>,*yik dis,UNKNOWN
idê,idê<cnj><compl>,*idê,UNKNOWN
benawo,benawo<n>,<*without><adj>>наwо<n>/benawo<n>,UNKNOWN
bād,bād<n>,*bād,UNKNOWN
xūgbůni,xūg<n>><shepherding>,*xūgbůni,UNKNOWN
idê,idê<cnj><compl>,*idê,UNKNOWN
důnd-aven,důnd<pro>><cause>,*důnd-aven,UNKNOWN
idê,idê<cnj><compl>,*idê,UNKNOWN
azůdand,az<dem><el>><d1>><loc>,*azůdand,UNKNOWN
tīm,tī<v>><prs><1sg>,*tīm,UNKNOWN
a,a<prt><voc>,*a,UNKNOWN
xez-and,xez<post><apud>><loc>,*xez-and,UNKNOWN
idê,idê<cnj><compl>,*idê,UNKNOWN
xez-and,xez<post><apud>><loc>,*xez-and,UNKNOWN
bād,bād<prt>,*bād,UNKNOWN
ɣal,ɣal<prt>,*ɣal,UNKNOWN
žêx̌t-žêx̌t,žêx̌<v>><inf>><inf>,*žêx̌t-žêx̌t,UNKNOWN
bāčīd,bā<v>><do>><inf>,*bāčīd,UNKNOWN
a,a<prt><voc>,*a,UNKNOWN
xez-and,xez<post><apud>><loc>,*xez-and,UNKNOWN
ammo,ammo<cnj>,*ammo,UNKNOWN
vet,v<v>><prs><2pl>,*vet,UNKNOWN
vet,v<v>><prs><2pl>,*vet,UNKNOWN
pinīzd,pinīz<v>><prs><3sg>,*pinīzd,UNKNOWN
vet,v<v>><prs><2pl>,*vet,UNKNOWN
yida,yida<dem><d2><loc>,*yida,UNKNOWN
bād-en,bād<prt>><3pl>,*bād-en,UNKNOWN
gax̌tčīd-and,gax̌t<n>><do>><inf>><loc>,*gax̌tčīd-and,UNKNOWN
idê,idê<cnj><compl>,*idê,UNKNOWN
důnd-aven,důnd<pro>><cause>,*důnd-aven,UNKNOWN
idê,idê<cnj><compl>,*idê,UNKNOWN
idê,idê<cnj><compl>,*idê,UNKNOWN
bād,bād<prt>,*bād,UNKNOWN
ammo,ammo<cnj>,*ammo,UNKNOWN
dākčūd,dāk<v>><do>><pst>,*dākčūd,UNKNOWN
idê,idê<cnj><compl>,*idê,UNKNOWN
yidê,yidê<cnj><compl>,*yidê,UNKNOWN
šebt,šeb<v>><pst>,*šebt,UNKNOWN
e,e<prt><voc>,*e,UNKNOWN
idê,idê<cnj><compl>,*idê,UNKNOWN
