dawům-i,dawům<n>><3sg>,dawům<n>><3sg>,CORRECT
odam-and-en,odam<n>><loc>><3pl>,odam<n>><loc>><3pl>,CORRECT
δu,δu<num>,ðu<num>/δu<num>,CORRECT
puc,puc<n>,puc<n>,CORRECT
puc,puc<n>,puc<n>,CORRECT
dod-ard-i,dod<n>><dat>><3sg>,dod<n>><dat>><3sg>,CORRECT
bāx̌,bāx̌<n>,bāx̌<n>,CORRECT
mīros,mīros<n>,mīros<n>,CORRECT
čorik,čorik<n>,čor<n>><dim>/čorik<n>,CORRECT
xu,xu<pro><refl>,xu<conj><coord1>/xu<pro><refl>,CORRECT
mol,mol<n>,mol<n>/mol<v><prs>,CORRECT
oli,ol<n>><3sg>,ol<n>><3sg>/oli<adj>,CORRECT
xu,xu<pro><refl>,xu<conj><coord1>/xu<pro><refl>,CORRECT
bāx̌,bāx̌<n>,bāx̌<n>,CORRECT
meθ,meθ<n>,meθ<n>/meϑ<n>,CORRECT
puc,puc<n>,puc<n>,CORRECT
fukaθ-i,fukaθ<pro>><3sg>,fuk<pro>><int>><3sg>/fukaθ<pro>><3sg>/fukaϑ<pro>><3sg>,CORRECT
xu,xu<pro><refl>,xu<conj><coord1>/xu<pro><refl>,CORRECT
mol,mol<n>,mol<n>/mol<v><prs>,CORRECT
ǰām,ǰām<n>,ǰām<adj>/ǰām<adj>/ǰām<n>/ǰām<n>,CORRECT
pūl,pūl<n>,pūl<n>,CORRECT
qati,qati<post><com>,qat<v><pst><f>><3sg>,FAIL
δaraki,δaraki<n>,ðar<adj>><dim>><3sg>/δar<adj>><dim>><3sg>/ðar<n>><dim>><3sg>/δar<n>><dim>><3sg>/ðaraki<n>/δaraki<n>,CORRECT
mamlakat,mamlakat<n>,mamlakat<n>,CORRECT
dis,dis<pro>,dis<pro>,CORRECT
ayš,ayš<n>,ayš<n>,CORRECT
ar,ar<pro>,ar<n>/ar<prep>/ar<pro>,CORRECT
čīz,čīz<pro>,čīz<pro>/čīz<n>/čīz<pro>,CORRECT
fukaθ-i,fukaθ<pro>><3sg>,fuk<pro>><int>><3sg>/fukaθ<pro>><3sg>/fukaϑ<pro>><3sg>,CORRECT
waxt-and,waxt<n>><loc>,waxt<n>><loc>,CORRECT
mamlakat-and,mamlakat<n>><loc>,mamlakat<n>><loc>,CORRECT
moɣ̌ӡ,moɣ̌ʒ<n>,moɣ̌ӡ<n>/moɣ̌ʒ<n>/moɣ̌ӡ<n>,CORRECT
sof,sof<n>,sof<n>,CORRECT
maǰbūri,maǰbūri<n>,maǰbūr<adj>><3sg>/maǰbūr<adj>><3sg>/maǰbūri<adj>/maǰbūri<adj>/maǰbūri<n>/maǰbūri<n>,CORRECT
boy,boy<n>,boy<n>,CORRECT
kor,kor<n>,kor<n>,CORRECT
boy,boy<n>,boy<n>,CORRECT
xu,xu<pro><refl>,xu<conj><coord1>/xu<pro><refl>,CORRECT
qišloq,qišloq<n>,qišloq<n>,CORRECT
amex̌ā,amex̌ā<n>,amex̌ā<n>,CORRECT
dis,dis<pro>,dis<pro>,CORRECT
xūgen,xūg<n>><pl>,xūg<n>><3pl>/xūg<n>><pl>,CORRECT
xurokā,xurokā<n>,xurokā<n>,CORRECT
wux̌,wux̌<n>,wux̌<n>,CORRECT
dod-and,dod<n>><loc>,dod<n>><loc>,CORRECT
důnd,důnd<pro>,důnd<pro>,CORRECT
xizmatgor,xizmatgor<n>,xizmatgor<n>,CORRECT
čāy,čāy<pro>,čāy<n>/čāy<pro>,CORRECT
rist-at,ris<v>><prs><3sg>><coord2>,ris<v><prs>><2sg>><2sg>/ris<v><prs>><2sg>><coord2>/ris<v><prs>><3sg>><coord2>,CORRECT
xurok,xurok<n>,xurok<n>,CORRECT
bex̌,bex̌<n>,bex̌<n>,CORRECT
yůdard,yůd<dem><d1>><dat>,yůdard<n>,FAIL
marum,mar<v>><prs><1sg>,mar<v><prs>><1sg>,CORRECT
xu,xu<pro><refl>,xu<conj><coord1>/xu<pro><refl>,CORRECT
dod,dod<n>,dod<n>,CORRECT
gax̌t,gax̌t<n>,gax̌t<n>,CORRECT
kinum,kin<v>><prs><1sg>,kin<v><imp>><1sg>/kin<v><prs>><1sg>,CORRECT
lům,lů<v>><prs><1sg>,lům<n>,FAIL
dod,dod<n>,dod<n>,CORRECT
gināgor,gināgor<n>,gināgor<n>,CORRECT
puc,puc<n>,puc<n>,CORRECT
vidow,vid<v>><inf>><purp>,vid<v><inf>><purp>,CORRECT
dis,dis<pro>,dis<pro>,CORRECT
yisob,yisob<n>,yisob<n>,CORRECT
xizmatgor,xizmatgor<n>,xizmatgor<n>,CORRECT
daraw-aθ,daraw<n>><int>,daraw<n>><int>,CORRECT
xu,xu<pro><refl>,xu<conj><coord1>/xu<pro><refl>,CORRECT
dod,dod<n>,dod<n>,CORRECT
