čorik,čorik<n>,čor<n>><dim>/čorik<n>,CORRECT
pi,pi<prep><up>,pi<prep>/pi<v><prs>,FAIL
daraxt,daraxt<n>,daraxt<n>,CORRECT
xu,xu<cnj><coord1>,xu<conj><coord1>/xu<pro><refl>,FAIL
sar,sar<v>,sar<n>,FAIL
kix̌t,kix̌<v>><prs><3sg>,kix̌t<v><inf>/kix̌t<v><pst>,FAIL
ar,ar<prep><down>,ar<n>/ar<prep>/ar<pro>,FAIL
xu,xu<pro><refl>,xu<conj><coord1>/xu<pro><refl>,CORRECT
noken,nok<n>><pl>,nok<n>><3pl>/nok<n>><pl>,CORRECT
ǰām,ǰām<n>,ǰām<adj>/ǰām<adj>/ǰām<n>/ǰām<n>,CORRECT
čīdow,čī<v>><inf>><purp>,čīd<v><inf>><purp>,FAIL
yu,yu<dem><d3><m><sg>,yu<dem><d3><m><sg><nom>,FAIL
kix̌t,kix̌<v>><prs><3sg>,kix̌t<v><inf>/kix̌t<v><pst>,FAIL
ǰāmat,ǰām<n>><coord2>,ǰām<adj>><2sg>/ǰām<adj>><2sg>/ǰām<adj>><coord2>/ǰām<adj>><coord2>/ǰām<n>><2sg>/ǰām<n>><2sg>/ǰām<n>><coord2>/ǰām<n>><coord2>,CORRECT
xāfct,xāfc<v>><prs><3sg>,xāfc<v><prs>><2sg>/xāfc<v><prs>><3sg>,FAIL
az,az<prep><el>,az<prep>,FAIL
wam,wam<dem><d3><f><sg><obl>,wam<dem><d3><f><sg><obl>,CORRECT
daraxtti,daraxt<n>><sup>,daraxt<n>><2sg>><3sg>/daraxt<n>><sup>,CORRECT
winden,wi<dem><d3><m><sg><obl>><loc>><3pl>,wi<dem><d3><m><sg>><loc>><3pl>/wind<pro>><3pl>,FAIL
sabad,sabad<n>,sabad<n>,CORRECT
wi,wi<dem><d3><m><sg><obl>,wi<dem><d3><m><sg><obl>,CORRECT
ɣiδā,ɣiδā<n>,ɣiðā<n>/ɣiδā<n>,CORRECT
guftā,guftā<taj>,guftā<n>,FAIL
yu,yu<dem><d3><m><sg>,yu<dem><d3><m><sg><nom>,FAIL
ar,ar<prep><down>,ar<n>/ar<prep>/ar<pro>,FAIL
wam,wam<dem><d3><f><sg><obl>,wam<dem><d3><f><sg><obl>,CORRECT
yi,yi<pro><indef>,yi<adj>/yi<pro>,FAIL
sabad,sabad<n>,sabad<n>,CORRECT
kix̌t,kix̌<v>><prs><3sg>,kix̌t<v><inf>/kix̌t<v><pst>,FAIL
wam,wam<dem><d3><f><sg><obl>,wam<dem><d3><f><sg><obl>,CORRECT
pur,pur<n>,pur<adj>,FAIL
as,as<prep><el>,as<prep>,FAIL
xu,xu<pro><refl>,xu<conj><coord1>/xu<pro><refl>,CORRECT
duyum,du<num>><ord>,du<num>><ord>,CORRECT
pi,pi<prep><up>,pi<prep>/pi<v><prs>,FAIL
daraxt,daraxt<n>,daraxt<n>,CORRECT
lůvd,lův<v>><prs><3sg>,lůvd<v><inf>/lůvd<v><pst>,FAIL
ǰām,ǰām<n>,ǰām<adj>/ǰām<adj>/ǰām<n>/ǰām<n>,CORRECT
kix̌tat,kix̌<v>><prs><3sg>><coord2>,kix̌t<v><inf>><2sg>/kix̌t<v><inf>><coord2>/kix̌t<v><pst>><2sg>/kix̌t<v><pst>><coord2>,FAIL
yi,yi<pro><indef>,yi<adj>/yi<pro>,FAIL
ɣiδā,ɣiδā<n>,ɣiðā<n>/ɣiδā<n>,CORRECT
yat,ya<v>><prs><3sg>,ya<v><imp>><2sg>/yat<v><inf>/yat<v><pst>,FAIL
yak,yak<num>,yak<num>,CORRECT
naɣ̌ǰīst,naɣ̌ǰīs<v>><prs><3sg>,naɣ̌ǰīs<v><prs>><2sg>/naɣ̌ǰīs<v><prs>><2sg>/naɣ̌ǰīs<v><prs>><3sg>/naɣ̌ǰīs<v><prs>><3sg>,FAIL
markābat,markāb<n>><coord2>,markāb<n>><2sg>/markāb<n>><coord2>,CORRECT
ar,ar<pro>,ar<n>/ar<prep>/ar<pro>,CORRECT
čāy,čāy<pro>,čāy<n>/čāy<pro>,CORRECT
caga,ca<cnj><subd>><add1>,ca<n>><add>/ca<pro>><add>,FAIL
wam,wam<dem><d3><f><sg><obl>,wam<dem><d3><f><sg><obl>,CORRECT
qati,qati<post><com>,qat<v><pst><f>><3sg>,FAIL
wāδ,wāδ<dem><d3><pl>,wāð<dem><d3><pl><nom>/wāδ<dem><d3><pl><nom>,FAIL
naɣ̌ǰīsen,naɣ̌ǰīs<v>><prs><3pl>,naɣ̌ǰīs<v><prs>><3pl>/naɣ̌ǰīs<v><prs>><3pl>,FAIL
tāk,tāk<rus>,tāk<n>,FAIL
ɣiδā,ɣiδā<n>,ɣiðā<n>/ɣiδā<n>,CORRECT
wind,wi<dem><d3><m><sg><obl>><loc>,wi<dem><d3><m><sg>><loc>/wind<pro>,FAIL
vad,va<v><f>><pst>,vad<v><pst><f>,FAIL
yu,yu<dem><d3><m><sg>,yu<dem><d3><m><sg><nom>,FAIL
wam,wam<dem><d3><f><sg><obl>,wam<dem><d3><f><sg><obl>,CORRECT
wīnt,wīn<v>><prs><3sg>,wīnt<v><inf>/wīnt<v><pst>,FAIL
xu,xu<cnj><coord1>,xu<conj><coord1>/xu<pro><refl>,FAIL
tar,tar<prep><eq>,tar<prep>,FAIL
wi,wi<dem><d3><m><sg><obl>,wi<dem><d3><m><sg><obl>,CORRECT
čīz,čīz<pro>,čīz<pro>/čīz<n>/čīz<pro>,CORRECT
xu,xu<cnj><coord1>,xu<conj><coord1>/xu<pro><refl>,FAIL
wi,wi<dem><d3><m><sg><obl>,wi<dem><d3><m><sg><obl>,CORRECT
čalak,čalak<n>,čal<n>><dim>/čal<v><prs>><dim>/čalak<n>,CORRECT
yo,yo<cnj><or>,yo<conj><disj>,FAIL
yā,yā<dem><d1><f><sg>,yā<dem><d3><f><sg><nom>/yā<n>,FAIL
čīz,čīz<pro>,čīz<pro>/čīz<n>/čīz<pro>,CORRECT
yu,yu<dem><d3><m><sg>,yu<dem><d3><m><sg><nom>,FAIL
wam,wam<dem><d3><f><sg><obl>,wam<dem><d3><f><sg><obl>,CORRECT
xu,xu<cnj><coord1>,xu<conj><coord1>/xu<pro><refl>,FAIL
wam,wam<dem><d3><f><sg><obl>,wam<dem><d3><f><sg><obl>,CORRECT
cift,cif<v>><prs><3sg>,cif<v><prs>><2sg>/cif<v><prs>><3sg>/cift<v><inf>/cift<v><prs>/cift<v><pst>,FAIL
yu,yu<dem><d3><m><sg>,yu<dem><d3><m><sg><nom>,FAIL
yam,yam<dem><d1><sg>,yam<dem><d1><sg><nom>/yam<n>/yam<pro>,FAIL
čorik,čorik<n>,čor<n>><dim>/čorik<n>,CORRECT
xāfct,xāfc<v>><prs><3sg>,xāfc<v><prs>><2sg>/xāfc<v><prs>><3sg>,FAIL
wam,wam<dem><d3><f><sg><obl>,wam<dem><d3><f><sg><obl>,CORRECT
yīw,yīw<num>,yīw<adj>/yīw<num>/yīw<pro>,CORRECT
kix̌t,kix̌<v>><prs><3sg>,kix̌t<v><inf>/kix̌t<v><pst>,FAIL
purat,pur<n>><coord2>,pur<adj>><2sg>/pur<adj>><coord2>,FAIL
yā,yā<v><d3><f><sg>,yā<dem><d3><f><sg><nom>/yā<n>,FAIL
yīw,yīw<num>,yīw<adj>/yīw<num>/yīw<pro>,CORRECT
nist,nist<v><neg>,nist<v><prs>,FAIL
yīw,yīw<num>,yīw<adj>/yīw<num>/yīw<pro>,CORRECT
xoliyat,xoli<n>><coord2>,xol<n>><3sg>><2sg>/xoli<adj>><2sg>/xoli<n>><2sg>,FAIL
yīw,yīw<num>,yīw<adj>/yīw<num>/yīw<pro>,CORRECT
pur,pur<n>,pur<adj>,FAIL
vo,vo<prt>,vo<adj>,FAIL
at,at<cnj><coord2>,at<conj><coord2>,FAIL
ɣiδā,ɣiδā<n>,ɣiðā<n>/ɣiδā<n>,CORRECT
mament,mament<n>,mam<dem><d1><f><sg><obl>><3pl>><2sg>/mam<pro>><3pl>><2sg>,FAIL
ca,ca<cnj><subd>,ca<conj><subd>/ca<n>/ca<pro>,FAIL
cifči,cif<v>><pf>><3sg>,cifč<v><prf>><3sg>/cifč<v><prs>><2sg>/cifč<v><prs>><3sg>,FAIL
yu,yu<dem><d3><m><sg>,yu<dem><d3><m><sg><nom>,FAIL
xu,xu<cnj><coord1>,xu<conj><coord1>/xu<pro><refl>,FAIL
wox̌t,wox̌<v>><prs><3sg>,wox̌<n>><2sg>/wox̌<v><prs>><2sg>/wox̌<v><prs>><3sg>,FAIL
wam,wam<dem><d3><f><sg><obl>,wam<dem><d3><f><sg><obl>,CORRECT
xu,xu<pro><refl>,xu<conj><coord1>/xu<pro><refl>,CORRECT
sabad,sabad<n>,sabad<n>,CORRECT
