čorik,čorik<n>,čor<n>><dim>/čorik<n>,CORRECT
pi,pi<prep><up>,pi<prep>/pi<v><prs>,CORRECT
daraxt,daraxt<n>,daraxt<n>,CORRECT
kix̌t,kix̌<v>><prs><3sg>,kix̌t<v><inf>/kix̌t<v><pst>,CORRECT
ar,ar<prep><down>,ar<n>/ar<prep>/ar<pro>,CORRECT
xu,xu<pro><refl>,xu<conj><coord1>/xu<pro><refl>,CORRECT
noken,nok<n>><pl>,nok<n>><3pl>/nok<n>><pl>,CORRECT
ǰām,ǰām<n>,ǰām<adj>/ǰām<adj>/ǰām<n>/ǰām<n>,CORRECT
čīdow,čī<v>><inf>><purp>,čīd<v><inf>><purp>,CORRECT
yu,yu<dem><d3><m><sg>,yu<dem><d3><m><sg><nom>,CORRECT
kix̌t,kix̌<v>><prs><3sg>,kix̌t<v><inf>/kix̌t<v><pst>,CORRECT
ǰāmat,ǰām<n>><coord2>,ǰām<adj>><2sg>/ǰām<adj>><2sg>/ǰām<adj>><coord2>/ǰām<adj>><coord2>/ǰām<n>><2sg>/ǰām<n>><2sg>/ǰām<n>><coord2>/ǰām<n>><coord2>,CORRECT
xāfct,xāfc<v>><prs><3sg>,xāfc<v><prs>><2sg>/xāfc<v><prs>><3sg>,CORRECT
az,az<prep><el>,az<prep>,CORRECT
wam,wam<dem><d3><f><sg><obl>,wam<dem><d3><f><sg><obl>,CORRECT
daraxtti,daraxt<n>><sup>,daraxt<n>><2sg>><3sg>/daraxt<n>><sup>,CORRECT
winden,wi<dem><d3><m><sg><obl>><loc>><3pl>,wi<dem><d3><m><sg>><loc>><3pl>/wind<pro>><3pl>,CORRECT
sabad,sabad<n>,sabad<n>,CORRECT
wi,wi<dem><d3><m><sg><obl>,wi<dem><d3><m><sg><obl>,CORRECT
ɣiδā,ɣiδā<n>,ɣiðā<n>/ɣiδā<n>,CORRECT
yu,yu<dem><d3><m><sg>,yu<dem><d3><m><sg><nom>,CORRECT
ar,ar<prep><down>,ar<n>/ar<prep>/ar<pro>,CORRECT
wam,wam<dem><d3><f><sg><obl>,wam<dem><d3><f><sg><obl>,CORRECT
yi,yi<pro><indef>,yi<adj>/yi<pro>,CORRECT
sabad,sabad<n>,sabad<n>,CORRECT
kix̌t,kix̌<v>><prs><3sg>,kix̌t<v><inf>/kix̌t<v><pst>,CORRECT
wam,wam<dem><d3><f><sg><obl>,wam<dem><d3><f><sg><obl>,CORRECT
as,as<prep><el>,as<prep>,CORRECT
xu,xu<pro><refl>,xu<conj><coord1>/xu<pro><refl>,CORRECT
duyum,du<num>><ord>,du<num>><ord>,CORRECT
pi,pi<prep><up>,pi<prep>/pi<v><prs>,CORRECT
daraxt,daraxt<n>,daraxt<n>,CORRECT
lůvd,lův<v>><prs><3sg>,lůvd<v><inf>/lůvd<v><pst>,CORRECT
ǰām,ǰām<n>,ǰām<adj>/ǰām<adj>/ǰām<n>/ǰām<n>,CORRECT
