sifīnt,sifīn<v>><prs><3sg>,*sifīnt,UNKNOWN
futbolka,futbolka<n><t-shirt>,*futbolka,UNKNOWN
bād,bād<n>,*bād,UNKNOWN
bād,bād<n>,*bād,UNKNOWN
aray,aray<num>,*aray,UNKNOWN
bād,bād<n>,*bād,UNKNOWN
futbolkayand,futbolka<n><t-shirt>><loc>,*futbolkayand,UNKNOWN
bād,bād<n>,*bād,UNKNOWN
sifīnt,sifīn<v>><prs><3sg>,*sifīnt,UNKNOWN
zaxod,zaxod<rus>,*zaxod,UNKNOWN
go,go<prt>,*go,UNKNOWN
ɣal,ɣal<prt>,*ɣal,UNKNOWN
prosta,prosta<rus>,*prosta,UNKNOWN
bād,bād<n>,*bād,UNKNOWN
yoδd,yoδ<v>><prs><3sg>,*yoδd,UNKNOWN
iga,i<pro><indef>><add1>,*iga,UNKNOWN
velosiped,velosiped<n>,*velosiped,UNKNOWN
pomoemu,pomoemu<rus>,*pomoemu,UNKNOWN
yoδd,yoδ<v>><prs><3sg>,*yoδd,UNKNOWN
sabado…,sabad<n>><q>,*sabado…,UNKNOWN
zêzd,zêz<v>><prs><3sg>,*zêzd,UNKNOWN
karoči,karoči<rus>,*karoči,UNKNOWN
bād,bād<n>,*bād,UNKNOWN
tīzdat,tīz<v>><prs><3sg>><coord2>,*tīzdat,UNKNOWN
čost,čos<v>><prs><3sg>,*čost,UNKNOWN
ey,ey<prt>,*ey,UNKNOWN
užê,užê<prt>,*užê,UNKNOWN
bād,bād<n>,*bād,UNKNOWN
sifīnt,sifīn<v>><prs><3sg>,*sifīnt,UNKNOWN
pi…,pi<prep><up>,*pi…,UNKNOWN
sůd,sů<v>><prs><3sg>,*sůd,UNKNOWN
tīzd,tīz<v>><prs><3sg>,*tīzd,UNKNOWN
sůd,sů<v>><prs><3sg>,*sůd,UNKNOWN
bād,bād<n>,*bād,UNKNOWN
wāδ…,wāδ<dem><d3><pl>,*wāδ…,UNKNOWN
wiri,wi<dem><d3><m><sg><o>><dat>,*wiri,UNKNOWN
šlyāpga,šlyāp<n>><add1>,*šlyāpga,UNKNOWN
riwozd,riwoz<v>><prs><3sg>,*riwozd,UNKNOWN
bād…,bād<n>,*bād…,UNKNOWN
čitīd,či<prep><prosp>><leave>><inf>,*čitīd,UNKNOWN
sůdat,sů<v>><prs><3sg>><coord2>,*sůdat,UNKNOWN
δen,δ<v>><prs><3pl>,*δen,UNKNOWN
lůven:,lův<v>><prs><3pl>,*lůven:,UNKNOWN
«tund,tu<pers><prn><2sg>><loc>,*«tund,UNKNOWN
šlyāpaga,šlyāpa<n>><add1>,*šlyāpaga,UNKNOWN
zê»,zê<v>,*zê»,UNKNOWN
bād,bād<n>,*bād,UNKNOWN
šlyāpa,šlyāpa<n>,*šlyāpa,UNKNOWN
zêzdat,zêz<v>><prs><3sg>><coord2>,*zêzdat,UNKNOWN
užê,užê<prt>,*užê,UNKNOWN
mamentand,mament<n>><loc>,*mamentand,UNKNOWN
bād,bād<n>,*bād,UNKNOWN
xen,x<v>><prs><3pl>,*xen,UNKNOWN
