māšām,māš<pers><prn><1pl>><prs><1pl>,māš<pers><1pl><nom>><1pl>/māš<pers><1pl><obl>><1pl>,FAIL
yi,yi<pro><indef>,yi<adj>/yi<pro>,FAIL
čux̌t,čux̌<v>><pst>,čux̌<n>><2sg>,FAIL
yamand,yam<dem><d1><sg>><loc>,yam<dem><d1><sg>><loc>/yam<n>><loc>/yam<pro>><loc>,CORRECT
yi,yi<pro><indef>,yi<adj>/yi<pro>,FAIL
virodik,virod<n>><dim>,virod<n>><dim>/virodik<n>,CORRECT
čīz,čīz<pro>,čīz<pro>/čīz<n>/čīz<pro>,CORRECT
kayůn,kayůn<n>,kayůn<n>,CORRECT
δůvd,δův<v>><prs><3sg>,ðůvd<v><inf>/δůvd<v><inf>/ðůvd<v><pst>/δůvd<v><pst>,FAIL
miti,mi<dem><d1><m><sg><obl>><sup>,mi<dem><d1><m><sg><obl>><2sg>><3sg>/mi<pro>><2sg>><3sg>,FAIL
sabad,sabad<n>,sabad<n>,CORRECT
yamand,yam<dem><d1><sg>><loc>,yam<dem><d1><sg>><loc>/yam<n>><loc>/yam<pro>><loc>,CORRECT
δu,δu<num>,ðu<num>/δu<num>,CORRECT
sabad,sabad<n>,sabad<n>,CORRECT
pur,pur<n>,pur<adj>,FAIL
aram,ara<num>><ord>,ar<n>><1pl>/ar<pro>><1pl>/ara<num>><ord>/aram<n>,CORRECT
seyum,se<num>><ord>,se<num>><ord>,CORRECT
δůvd,δův<v>><pst>,ðůvd<v><inf>/δůvd<v><inf>/ðůvd<v><pst>/δůvd<v><pst>,FAIL
yu,yu<dem><d3><m><sg>,yu<dem><d3><m><sg><nom>,FAIL
sifīd,sifī<v>><pst>,sifīd<v><inf>/sifīd<v><pst>/sifīd<v><pst><m>,FAIL
pi,pi<prep><up>,pi<prep>/pi<v><prs>,FAIL
čīz,čīz<pro>,čīz<pro>/čīz<n>/čīz<pro>,CORRECT
pi,pi<prep><up>,pi<prep>/pi<v><prs>,FAIL
daraxt,daraxt<n>,daraxt<n>,CORRECT
yi,yi<pro><indef>,yi<adj>/yi<pro>,FAIL
virodik,virod<n>><dim>,virod<n>><dim>/virodik<n>,CORRECT
yi,yi<pro><indef>,yi<adj>/yi<pro>,FAIL
ӡulikak,ӡulik<n><m>><dim>,ʒul<adj>><dim>><dim>/ӡul<adj>><dim>><dim>/ʒulik<adj>><dim>/ӡulik<adj>><dim>,FAIL
čīzti,čīz<pro>><sup>,čīz<pro>><2sg>><3sg>/čīz<n>><2sg>><3sg>/čīz<n>><sup>/čīz<pro>><2sg>><3sg>,FAIL
yat,ya<v>><pst>,ya<v><imp>><2sg>/yat<v><inf>/yat<v><pst>,FAIL
yat,ya<v>><pst>,ya<v><imp>><2sg>/yat<v><inf>/yat<v><pst>,FAIL
xu,xu<cnj><coord1>,xu<conj><coord1>/xu<pro><refl>,FAIL
wev,wev<dem><d3><pl><obl>,wev<dem><d3><pl><obl>,CORRECT
kayůnen,kayůn<n>><pl>,kayůn<n>><3pl>/kayůn<n>><pl>,CORRECT
wint,win<v>><pst>,win<v><prs>><2sg>/win<v><prs>><3sg>,FAIL
xu,xu<cnj><coord1>,xu<conj><coord1>/xu<pro><refl>,FAIL
čūdi,čū<v>><pst>><3sg>,čūd<v><pst>><3sg>,FAIL
gīr,gīr<n>,gīr<adj>/gīr<n>/gīr<v><prs>,CORRECT
čūdi,čū<v>><pst>><3sg>,čūd<v><pst>><3sg>,FAIL
gīr,gīr<n>,gīr<adj>/gīr<n>/gīr<v><prs>,CORRECT
yu,yu<dem><d3><m><sg>,yu<dem><d3><m><sg><nom>,FAIL
virodik,virod<n>><dim>,virod<n>><dim>/virodik<n>,CORRECT
pi,pi<prep><up>,pi<prep>/pi<v><prs>,FAIL
xu,xu<pro><refl>,xu<conj><coord1>/xu<pro><refl>,CORRECT
daraxt,daraxt<n>,daraxt<n>,CORRECT
yu,yu<dem><d3><m><sg>,yu<dem><d3><m><sg><nom>,FAIL
nist,nist<v><neg>,nist<v><prs>,FAIL
yu,yu<dem><d3><m><sg>,yu<dem><d3><m><sg><nom>,FAIL
ӡulikak,ӡulik<n><m>><dim>,ʒul<adj>><dim>><dim>/ӡul<adj>><dim>><dim>/ʒulik<adj>><dim>/ӡulik<adj>><dim>,FAIL
yat,ya<v>><pst>,ya<v><imp>><2sg>/yat<v><inf>/yat<v><pst>,FAIL
xu,xu<cnj><coord1>,xu<conj><coord1>/xu<pro><refl>,FAIL
sent,sen<v>><pst>,sen<v><prs>><2sg>/sen<v><prs>><3sg>/sent<v><inf>/sent<v><pst>,FAIL
wam,wam<dem><d3><f><sg><obl>,wam<dem><d3><f><sg><obl>,CORRECT
yi,yi<pro><indef>,yi<adj>/yi<pro>,FAIL
čīz,čīz<pro>,čīz<pro>/čīz<n>/čīz<pro>,CORRECT
wam,wam<dem><d3><f><sg><obl>,wam<dem><d3><f><sg><obl>,CORRECT
yi,yi<pro><indef>,yi<adj>/yi<pro>,FAIL
sabadand,sabad<n>><loc>,sabad<n>><loc>,CORRECT
nok,nok<n>,nok<n>,CORRECT
yā,yā<dem><d3><f><sg>,yā<dem><d3><f><sg><nom>/yā<n>,FAIL
dis,dis<pro>,dis<pro>,CORRECT
yuyi,yu<dem><d3><m><sg>><3sg>,yu<dem><d3><m><sg><nom>><3sg>,FAIL
xu,xu<pro><refl>,xu<conj><coord1>/xu<pro><refl>,CORRECT
čīzti,čīz<pro>><sup>,čīz<pro>><2sg>><3sg>/čīz<n>><2sg>><3sg>/čīz<n>><sup>/čīz<pro>><2sg>><3sg>,FAIL
wam,wam<dem><d3><f><sg><obl>,wam<dem><d3><f><sg><obl>,CORRECT
xu,xu<pro><refl>,xu<conj><coord1>/xu<pro><refl>,CORRECT
wam,wam<dem><d3><f><sg><obl>,wam<dem><d3><f><sg><obl>,CORRECT
yā,yā<dem><d3><f><sg>,yā<dem><d3><f><sg><nom>/yā<n>,FAIL
yā,yā<dem><d3><f><sg>,yā<dem><d3><f><sg><nom>/yā<n>,FAIL
disga,dis<pro>><add1>,dis<pro>><add>,FAIL
otaθ,ot<n>><adv>,o<n>><2sg>><int>/ot<adj>><int>/ot<n>><int>/otaθ<adj>/otaϑ<adj>,FAIL
tūyd,tūy<v>><pst>,tūyd<v><pst>/tūyd<v><pst><m>,FAIL
xurd,xu<pro><refl>><dat>,xu<pro><refl>><dat>/xurd<pro>,CORRECT
yā,yā<dem><d3><f><sg>,yā<dem><d3><f><sg><nom>/yā<n>,FAIL
sabad,sabad<n>,sabad<n>,CORRECT
miti,mi<dem><d1><m><sg><obl>><sup>,mi<dem><d1><m><sg><obl>><2sg>><3sg>/mi<pro>><2sg>><3sg>,FAIL
pis,pis<prep><goal>,pis<prep>/pis<v><prs>,FAIL
yat,ya<v>><pst>,ya<v><imp>><2sg>/yat<v><inf>/yat<v><pst>,FAIL
qati,qati<post><com>,qat<v><pst><f>><3sg>,FAIL
tar,tar<prep><eq>,tar<prep>,FAIL
yā,yā<dem><d3><f><sg>,yā<dem><d3><f><sg><nom>/yā<n>,FAIL
disga,dis<pro>><add1>,dis<pro>><add>,FAIL
xāɣ̌,xāɣ̌<n>,xāɣ̌<adj>/xāɣ̌<n>,CORRECT
wam,wam<dem><d3><f><sg><obl>,wam<dem><d3><f><sg><obl>,CORRECT
ɣūnǰak,ɣūnǰ<n>><dim>,ɣūnǰ<n>><dim>/ɣūnǰ<n>><dim>,CORRECT
darozaθ,daroz<n>><int>,daroz<adj>><int>,FAIL
wīfčinaθ,wīf<v>><pf>><ptcp1>><int>,wīfč<v><prf>><ptcp>><int>,FAIL
yuyi,yu<dem><d3><m><sg>><3sg>,yu<dem><d3><m><sg><nom>><3sg>,FAIL
wam,wam<dem><d3><f><sg><obl>,wam<dem><d3><f><sg><obl>,CORRECT
wint,win<v>><pst>,win<v><prs>><2sg>/win<v><prs>><3sg>,FAIL
yuyi,yu<dem><d3><m><sg>><3sg>,yu<dem><d3><m><sg><nom>><3sg>,FAIL
wam,wam<dem><d3><f><sg><obl>,wam<dem><d3><f><sg><obl>,CORRECT
wīnt,wīn<v>><pst>,wīnt<v><inf>/wīnt<v><pst>,FAIL
xu,xu<cnj><coord1>,xu<conj><coord1>/xu<pro><refl>,FAIL
xu,xu<pro><refl>,xu<conj><coord1>/xu<pro><refl>,CORRECT
ux̌i,ux̌<n>><3sg>,ux̌<n>><3sg>,CORRECT
binêst,binês<v>><pst>,binês<v><prs>><2sg>/binês<v><prs>><3sg>/binêst<v><inf>/binêst<v><pst>,FAIL
yāyi,yā<dem><d3><f><sg>><3sg>,yā<dem><d3><f><sg><nom>><3sg>/yā<n>><3sg>,FAIL
tar,tar<prep><eq>,tar<prep>,FAIL
čūx̌t,čūx̌<v>><pst>,čūx̌t<v><pst>,FAIL
yu,yu<dem><d3><m><sg>,yu<dem><d3><m><sg><nom>,FAIL
wamti,wam<dem><d3><f><sg><obl>><sup>,wam<dem><d3><f><sg><obl>><2sg>><3sg>,FAIL
δod,δo<v>><pst>,ðod<v><pst>/δod<v><pst>,FAIL
xerā,xerā<n>,xerā<adj>/xerā<n>,CORRECT
xu,xu<cnj><coord1>,xu<conj><coord1>/xu<pro><refl>,FAIL
yā,yā<dem><d1><f><sg>,yā<dem><d3><f><sg><nom>/yā<n>,FAIL
yuyi,yu<dem><d3><m><sg>><3sg>,yu<dem><d3><m><sg><nom>><3sg>,FAIL
ǰukt,ǰuk<v>><pst>,ǰuk<v><prs>><2sg>/ǰuk<v><prs>><2sg>/ǰuk<v><prs>><3sg>/ǰuk<v><prs>><3sg>/ǰukt<v><inf>/ǰukt<v><inf>/ǰukt<v><pst>/ǰukt<v><pst>,FAIL
pi,pi<prep><up>,pi<prep>/pi<v><prs>,FAIL
žīrand,žīr<n>><loc>,žīr<n>><loc>,CORRECT
xu,xu<cnj><coord1>,xu<conj><coord1>/xu<pro><refl>,FAIL
wêx̌t,wêx̌<v>><pst>,wêx̌t<v><inf>/wêx̌t<v><pst>,FAIL
yu,yu<dem><d3><m><sg>,yu<dem><d3><m><sg><nom>,FAIL
wi,wi<dem><d3><m><sg><obl>,wi<dem><d3><m><sg><obl>,CORRECT
kayůn,kayůn<n>,kayůn<n>,CORRECT
fukaθ,fukaθ<pro>,fuk<pro>><int>/fukaθ<pro>/fukaϑ<pro>,CORRECT
taxirm,taxirm<n>,taxirm<adj>,FAIL
sut,su<v><m>><pst>,sut<v><pst>,FAIL
wind,wi<dem><d3><m><sg><obl>><loc>,wi<dem><d3><m><sg>><loc>/wind<pro>,FAIL
yamand,yam<dem><d1><sg>><loc>,yam<dem><d1><sg>><loc>/yam<n>><loc>/yam<pro>><loc>,CORRECT
wi,wi<dem><d3><m><sg><obl>,wi<dem><d3><m><sg><obl>,CORRECT
doδga,doδ<n>><add1>,doð<n>><add>/doδ<n>><add>,FAIL
bačgalāyaken,bač<n>><pl>><dim>><pl>,bačgalā<n>><dim>><3pl>,FAIL
bačamardaθen,bačamard<n>><int>><3pl>,bačamard<n>><int>><3pl>,CORRECT
tar,tar<prep><eq>,tar<prep>,FAIL
wi,wi<dem><d3><m><sg><obl>,wi<dem><d3><m><sg><obl>,CORRECT
uz,uz<pers><prn><1sg>,uz<n>/uz<pers><1sg><nom>,FAIL
lům,lů<v>><prs><1sg>,lům<n>,FAIL
baɣer,baɣer<n>,<with><adj>>ɣer<n>,FAIL
wāδ,wāδ<dem><d3><pl>,wāð<dem><d3><pl><nom>/wāδ<dem><d3><pl><nom>,FAIL
taš,taš<prt><prosp>,taš<n>,FAIL
andiӡen,andiӡ<v>><prs><3pl>,andiӡ<v><prs>><3pl>,FAIL
xu,xu<cnj><coord1>,xu<conj><coord1>/xu<pro><refl>,FAIL
disga,dis<pro>><add1>,dis<pro>><add>,FAIL
taš,taš<prt><prosp>,taš<n>,FAIL
wi,wi<dem><d3><m><sg><obl>,wi<dem><d3><m><sg><obl>,CORRECT
diyen,di<dem>><prs><3pl>,di<dem><d2><m><sg><obl>><3pl>/di<pro>><3pl>/di<v><imp>><3pl>/di<v><prs>><3pl>,FAIL
pi,pi<prep><up>,pi<prep>/pi<v><prs>,FAIL
čurt,čurt<n>,čurt<n>,CORRECT
δa,δa<v>,ða<v><imp>/δa<v><imp>,FAIL
wāδen,wāδ<dem><d3><pl>><3pl>,wāð<dem><d3><pl><nom>><3pl>/wāδ<dem><d3><pl><nom>><3pl>/wāðen<pro>/wāδen<pro>,FAIL
disga,dis<pro>><add1>,dis<pro>><add>,FAIL
bašānd,bašānd<n>,bašānd<adj>,FAIL
ɣiδā-yen,ɣiδā<n>><pl>,ɣiðā<n>><3pl>/ɣiδā<n>><3pl>/ɣiðā<n>><pl>/ɣiδā<n>><pl>,CORRECT
vad,va<v><f>><pst>,vad<v><pst><f>,FAIL
wiyen,wi<dem><d3><m><sg><obl>><3pl>,wi<dem><d3><m><sg><obl>><3pl>,CORRECT
sent,sen<v>><pst>,sen<v><prs>><2sg>/sen<v><prs>><3sg>/sent<v><inf>/sent<v><pst>,FAIL
taxen,tax<n>><3pl>,tax<adj>><3pl>/tax<n>><3pl>/tax<n>><pl>/tax<v><prs>><3pl>,CORRECT
wi,wi<dem><d3><m><sg><obl>,wi<dem><d3><m><sg><obl>,CORRECT
δod,δo<v>><pst>,ðod<v><pst>/δod<v><pst>,FAIL
wi,wi<dem><d3><m><sg><obl>,wi<dem><d3><m><sg><obl>,CORRECT
kayůnenen,kayůn<n>><pl>><3pl>,kayůn<n>><3pl>><3pl>/kayůn<n>><pl>><3pl>,CORRECT
ǰām,ǰām<n>,ǰām<adj>/ǰām<adj>/ǰām<n>/ǰām<n>,CORRECT
čūd,čū<v>><pst>,čūd<v><pst>,FAIL
yi,yi<num>,yi<adj>/yi<pro>,FAIL
wiyen,wi<dem><d3><m><sg><obl>><3pl>,wi<dem><d3><m><sg><obl>><3pl>,CORRECT
ar,ar<prep><down>,ar<n>/ar<prep>/ar<pro>,FAIL
xu,xu<pro><refl>,xu<conj><coord1>/xu<pro><refl>,CORRECT
ǰebak,ǰebak<n>,ǰeb<n>><dim>/ǰeb<n>><dim>/ǰebak<n>/ǰebak<n>,CORRECT
mis,mis<prt><add2>,mis<n>,FAIL
