sarāmo?,sar<n>><1pl>><q>,*sarāmo?,UNKNOWN
nurand,nur<n>><loc>,*nurand,UNKNOWN
ši,ši<prt>,*ši,UNKNOWN
vīdeoyak,vīdeo<n>><dim>,*vīdeoyak,UNKNOWN
aro,aro<prt><adr>,*aro,UNKNOWN
aro,aro<prt><adr>,*aro,UNKNOWN
kix̌t…,kix̌<v>><prs><3sg>,*kix̌t…,UNKNOWN
fāmtato?,fām<v>><pst>><2sg>><q>,*fāmtato?,UNKNOWN
bād,bād<n>,*bād,UNKNOWN
aray,aray<num>,*aray,UNKNOWN
ata,ata<cnj><coord2>,*ata,UNKNOWN
uži,uži<rus>,*uži,UNKNOWN
čūǰ,čū<v>><pf>,*čūǰ,UNKNOWN
ata,ata<cnj><advs>,*ata,UNKNOWN
ɣal,ɣal<prt>,*ɣal,UNKNOWN
koroči,koroči<rus><hez>,*koroči,UNKNOWN
ata,ata<cnj><coord2>,*ata,UNKNOWN
ata,ata<cnj><advs>,*ata,UNKNOWN
aro…,aro<prt><adr>,*aro…,UNKNOWN
aro,aro<prt><adr>,*aro,UNKNOWN
velusipedti,velusiped<n>><sup>,*velusipedti,UNKNOWN
bādi,bād<n>><3sg>,*bādi,UNKNOWN
ata,ata<cnj><coord2>,*ata,UNKNOWN
ɣamaθ,ɣam<n>><adv>,*ɣamaθ,UNKNOWN
aro,aro<prt><adr>,*aro,UNKNOWN
aro,aro<prt><adr>,*aro,UNKNOWN
čīz…,čīz<pro>,*čīz…,UNKNOWN
spokoynikaθi,spokoyn<n>><dim>><adv>><3sg>,*spokoynikaθi,UNKNOWN
ga,ga<prt><add1>,*ga,UNKNOWN
ɣulāyaθat…,ɣulā<n>><int>><coord2>,*ɣulāyaθat…,UNKNOWN
ribūδǰ,ribūδ<v>><pf>,*ribūδǰ,UNKNOWN
ga,ga<prt><add1>,*ga,UNKNOWN
velasipedti,velasiped<n>><sup>,*velasipedti,UNKNOWN
aro,aro<prt><adr>,*aro,UNKNOWN
velasiped,velasiped<n>,*velasiped,UNKNOWN
disga…,dis<pro>><add1>,*disga…,UNKNOWN
carāng,carāng<pro>,*carāng,UNKNOWN
ɣulāyaθ,ɣulā<n>><int>,*ɣulāyaθ,UNKNOWN
