xāy,xāy<prt>,xāy<n>,FAIL
māš,māš<pers><prn><1pl>,māš<pers><1pl><nom>/māš<pers><1pl><obl>,FAIL
ca,ca<cnj><subd>,ca<conj><subd>/ca<n>/ca<pro>,FAIL
yat,ya<v>><-pst>,ya<v><imp>><2sg>/yat<v><inf>/yat<v><pst>,FAIL
yakumaθ,yak<num>><-ord>><-adv>,yakum<adj>><int>,FAIL
misoland,misol<n>><=loc>,<cont2>>sol<n>><loc>/misol<n>><loc>,FAIL
māš,māš<pers><prn><1pl>,māš<pers><1pl><nom>/māš<pers><1pl><obl>,FAIL
mardumen,mardum<n>><-pl>,mard<adj>><1sg>><3pl>/mard<n>><1sg>><3pl>/mardum<n>><3pl>/mardum<n>><pl>,FAIL
wi,wi<dem><d3><m><sg><obl>,wi<dem><d3><m><sg><obl>,CORRECT
xuɣ̌nůni,xuɣ̌nůn<n><shughnan>><-adj>,xuɣ̌nůn<n>><3sg>/xuɣ̌nůni<adj>/xuɣ̌nůni<n>,FAIL
as,as<prep><el>,as<prep>,FAIL
wi,wi<dem><d3><m><sg><obl>,wi<dem><d3><m><sg><obl>,CORRECT
taraf,taraf<n>,taraf<n>,CORRECT
xuɣ̌nůni,xuɣ̌nůn<n><shughnan>><-adj>,xuɣ̌nůn<n>><3sg>/xuɣ̌nůni<adj>/xuɣ̌nůni<n>,FAIL
farq,farq<n>,farq<n>,CORRECT
yāni,yāni<cnj>,yān<v><prs>><2sg>/yān<v><prs>><3sg>,FAIL
māšta,māš<pers><prn><1pl>><=irr>,māš<pers><1pl><nom>><fut>/māš<pers><1pl><obl>><fut>,FAIL
dev,dev<dem><d2><pl><obl>,dev<dem><d2><pl><obl>/dev<pro>,CORRECT
kalamoti,kalamot<n><pl>><=ez>,kal<adj>>амо<n>><2sg>><3sg>,FAIL
rūsi,rūs<n><russian>><adj>,rūs<adj>><3sg>/rūs<n>><3sg>/rūsi<adj>/rūsi<n>,FAIL
istifodā,istifodā<n>,istifodā<n>,CORRECT
az,az<prep><el>,az<prep>,FAIL
mi,mi<dem><d1><m><sg><obl>,mi<dem><d1><m><sg><obl>/mi<pro>,CORRECT
tarafta,taraf<n>><=irr>,taraf<n>><fut>,FAIL
dev,dev<dem><d2><pl><obl>,dev<dem><d2><pl><obl>/dev<pro>,CORRECT
istifodā,istifodā<n>,istifodā<n>,CORRECT
kinen,kin<v>><-prs><3pl>,kin<v><imp>><3pl>/kin<v><prs>><3pl>,FAIL
ala,ala<prt><quot>,ala<n>,FAIL
kalamoten,kalamot<n><pl>><-pl>,kal<adj>>амо<n>><2sg>><3pl>,FAIL
māš,māš<pers><prn><1pl>,māš<pers><1pl><nom>/māš<pers><1pl><obl>,FAIL
istifodā,istifodā<n>,istifodā<n>,CORRECT
