xāy,xāy<prt>,xāy<n>,CORRECT
māš,māš<pers><prn><1pl>,māš<pers><1pl><nom>/māš<pers><1pl><obl>,CORRECT
ca,ca<cnj><subd>,ca<conj><subd>/ca<n>/ca<pro>,CORRECT
yat,ya<v>><-pst>,ya<v><imp>><2sg>/yat<v><inf>/yat<v><pst>,CORRECT
yakumaθ,yak<num>><-ord>><-adv>,yakum<adj>><int>,FAIL
māš,māš<pers><prn><1pl>,māš<pers><1pl><nom>/māš<pers><1pl><obl>,CORRECT
mardumen,mardum<n>><-pl>,mard<adj>><1sg>><3pl>/mard<n>><1sg>><3pl>/mardum<n>><3pl>/mardum<n>><pl>,CORRECT
wi,wi<dem><d3><m><sg><o>,wi<dem><d3><m><sg><obl>,CORRECT
xuɣ̌nůni,xuɣ̌nůn<n><shughnan>><-adj>,xuɣ̌nůn<n>><3sg>/xuɣ̌nůni<adj>/xuɣ̌nůni<n>,CORRECT
as,as<prep><el>,as<prep>,CORRECT
wi,wi<dem><d3><m><sg><o>,wi<dem><d3><m><sg><obl>,CORRECT
taraf,taraf<n>,taraf<n>,CORRECT
xuɣ̌nůni,xuɣ̌nůn<n><shughnan>><-adj>,xuɣ̌nůn<n>><3sg>/xuɣ̌nůni<adj>/xuɣ̌nůni<n>,CORRECT
farq,farq<n>,farq<n>,CORRECT
yāni,yāni<cnj>,yān<v><prs>><2sg>/yān<v><prs>><3sg>,FAIL
māšta,māš<pers><prn><1pl>><=irr>,māš<pers><1pl><nom>><fut>/māš<pers><1pl><obl>><fut>,CORRECT
dev,dev<dem><d2><pl><o>,dev<pro>,CORRECT
kalamoti,kalamot<n><pl>><=ez>,kal<adj>>амо<n>><2sg>><3sg>,FAIL
rūsi,rūs<n><russian>><adj>,rūs<adj>><3sg>/rūs<n>><3sg>/rūsi<adj>/rūsi<n>,CORRECT
istifodā,istifodā<n>,istifodā<n>,CORRECT
az,az<prep><el>,az<prep>,CORRECT
mi,mi<dem><d1><m><sg><o>,mi<pro>,CORRECT
tarafta,taraf<n>><=irr>,taraf<n>><fut>,CORRECT
dev,dev<dem><d2><pl><o>,dev<pro>,CORRECT
istifodā,istifodā<n>,istifodā<n>,CORRECT
kinen,kin<v>><-prs><3pl>,kin<v><imp>><3pl>/kin<v><prs>><3pl>,CORRECT
ala,ala<prt><quot>,ala<n>,CORRECT
kalamoten,kalamot<n><pl>><-pl>,kal<adj>>амо<n>><2sg>><3pl>,FAIL
māš,māš<pers><prn><1pl>,māš<pers><1pl><nom>/māš<pers><1pl><obl>,CORRECT
istifodā,istifodā<n>,istifodā<n>,CORRECT
ca,ca<cnj><subd>,ca<conj><subd>/ca<n>/ca<pro>,CORRECT
kinām,kin<v>><-prs><1pl>,kin<v><imp>><1pl>/kin<v><prs>><1pl>,CORRECT
wāδ,wāδ<dem><d3><pl>,wāð<dem><d3><pl><nom>/wāδ<dem><d3><pl><nom>,CORRECT
viyen,vi<v>><-prs><3pl>,vi<v><prs>><3pl>,CORRECT
istifodā,istifodā<n>,istifodā<n>,CORRECT
ca,ca<cnj><subd>,ca<conj><subd>/ca<n>/ca<pro>,CORRECT
yat,ya<v>><-pst>,ya<v><imp>><2sg>/yat<v><inf>/yat<v><pst>,CORRECT
yo,yo<cnj><or>,yo<conj><disj>,CORRECT
qīnām,qīn<n>><=1pl>,qīn<adj>><1pl>,CORRECT
sat,sa<v>><-pst>,sa<v><imp>><2sg>/sat<v><pst><f>,CORRECT
yo,yo<cnj><or>,yo<conj><disj>,CORRECT
tar,tar<prep><eq>,tar<prep>,CORRECT
dargoyām,dargo<n>><=1pl>,dargo<n>><1pl>,CORRECT
bozi,bozi<n>,boz<n>><3sg>/boz<v><prs>><2sg>/boz<v><prs>><3sg>/bozi<n>,CORRECT
čīd,čīd<n>,čīd<n>/čīd<v><inf>/čīd<v><pst>,CORRECT
ca,ca<cnj><subd>,ca<conj><subd>/ca<n>/ca<pro>,CORRECT
