vuδǰ,vuδ<v>><pf><m>,vuðǰ<v><prf>/vuðǰ<v><prf>/vuδǰ<v><prf>/vuδǰ<v><prf>/vuðǰ<v><prf><m>/vuðǰ<v><prf><m>/vuδǰ<v><prf><m>/vuδǰ<v><prf><m>,FAIL
navuδǰ,<neg>>vuδ<v>><pf><m>,<neg>>vuðǰ<v><prf>/<neg>>vuðǰ<v><prf>/<neg>>vuδǰ<v><prf>/<neg>>vuδǰ<v><prf>/<neg>>vuðǰ<v><prf><m>/<neg>>vuðǰ<v><prf><m>/<neg>>vuδǰ<v><prf><m>/<neg>>vuδǰ<v><prf><m>,FAIL
yi,yi<prt><indef>,yi<adj>/yi<pro>,FAIL
vuδǰ,vuδ<v>><pf><m>,vuðǰ<v><prf>/vuðǰ<v><prf>/vuδǰ<v><prf>/vuδǰ<v><prf>/vuðǰ<v><prf><m>/vuðǰ<v><prf><m>/vuδǰ<v><prf><m>/vuδǰ<v><prf><m>,FAIL
yu-yi,yu<dem><d3><m><sg>><3sg>,yu<dem><d3><m><sg><nom>><3sg>,FAIL
pi,pi<prep><up>,pi<prep>/pi<v><prs>,FAIL
yi,yi<prt><indef>,yi<adj>/yi<pro>,FAIL
biland,biland<n>,biland<adj>,FAIL
kū,kū<n>,kū<n>,CORRECT
zindagi,zindagi<n>,zindagi<n>,CORRECT
čūɣ̌ǰ,čūɣ̌<v>><pf>,čūɣ̌ǰ<v><prf>/čūɣ̌ǰ<v><prf>,FAIL
di,di<dem><d2><m><sg><obl>,di<conj><when>/di<dem><d2><m><sg><obl>/di<pro>/di<v><imp>/di<v><prs>,CORRECT
kū,kū<n>,kū<n>,CORRECT
bīr-and,bīr<post><sub>><loc>,bīr<n>><loc>,FAIL
yi,yi<prt><indef>,yi<adj>/yi<pro>,FAIL
qišloq,qišloq<n>,qišloq<n>,CORRECT
