cyrillic,meaning
анца,шить; зашивать; прошивать
инца,шить; зашивать; прошивать
дê,"бить, колотить, ударять; толочь, разбивать, раскалывать"
ди,"бить, колотить, ударять; толочь, разбивать, раскалывать"
дê,"гнать, гонять, погонять; пускать"
ди,"гнать, гонять, погонять; пускать"
дê,"пускать воду, поливать"
ди,"пускать воду, поливать"
дê,"критиковать, пропесочивать; чернить"
ди,"критиковать, пропесочивать; чернить"
дê,"пить; хлебать; жрать, лопать и т.п."
ди,"пить; хлебать; жрать, лопать и т.п."
δāδ,давать; дарить; отдавать; предоставлять
δāδ,выдавать замуж
δāδ,"ударять, бить, стегать; вонзать, втыкать"
δāδ,бодать
δāδ,"разбивать, побеждать (в борьбе, в состязании); одолевать"
δāδ,"убивать, подстреливать (на охоте)"
δāδ,давить; жать
δāδ,"бросать, кидать; швырять"
δāδ,"касаться, трогать, задевать (прям. и перен.)"
δāδ,точить
δāδ,играть (на музыкальном инструменте)
δāδ,"помещать, класть (в разн. знач.)"
δāδ,"связывать, соединять; добавлять, прибавлять"
δāδ,"воздействовать, влиять, оказывать влияние, охватывать"
δāδ,передвигаться (в разн. знач.)
δāδ,делать; устраивать (в разн. знач.)
δāδ,ругать
δāδ,"тратить, расходовать"
δāδ,"лопать, лакать, дуть, пить; жрать"
δāδ,одеваться
δāδ,"бросаться; передвигаться, двигаться, добираться"
δāδ,"вспомогательный глагол, образует сложноименные глаголы активного значения"
жӣwҷ кин,любить; одобрять; уважать
жӣwҷ кин,"хотеть, желать; намереваться"
жӣwҷ кин,"требоваться, быть нужным"
зêз,"брать; взимать, взыскивать (в разн. знач.)"
зêз,получать (в разн. знач.); принимать
зêз,покупать
зêз,снимать (напр. головной убор)
зêз,"освобождать, снимать (с должности)"
зêз,"фотографировать, снимать, делать снимок"
зêз,"убирать, собирать (урожай)"
зêз,"усваивать, выучивать"
зêз,"начинать (делать что-л.), приступать, приниматься (за что-л.)"
сā,"идти, ехать, отправляться; доходить (до предела)"
сāw,"идти, ехать, отправляться; доходить (до предела)"
сā,"становиться, делаться, превращаться"
сāw,"становиться, делаться, превращаться"
сā,"быть, происходить, случаться"
сāw,"быть, происходить, случаться"
сā,"появляться, возникать; рождаться"
сāw,"появляться, возникать; рождаться"
сā,"водиться, встречаться; произрастать"
сāw,"водиться, встречаться; произрастать"
сā,"получаться, выходить"
сāw,"получаться, выходить"
сā,"наступать, исполняться; проходить"
сāw,"наступать, исполняться; проходить"
сā,"быть, приходиться кем-л. кому-л."
сāw,"быть, приходиться кем-л. кому-л."
сā,"(с предлогом тар) походить на кого-либо, удаваться в кого-либо"
сāw,"(с предлогом тар) походить на кого-либо, удаваться в кого-либо"
сā,попадать
сāw,попадать
сā,"деваться, пропадать"
сāw,"деваться, пропадать"
сā,"вспомогательный глагол сложноименных глаголов с непереходным значением (противоп. кин: чӯд, δāδ:δод)"
сāw,"вспомогательный глагол сложноименных глаголов с непереходным значением (противоп. кин: чӯд, δāδ:δод)"
сā,"вспомогательный глагол в начинательных конструкциях с кратким инфинитивом или именем глагольного значения (обычно в сочетании со служебными словами дар, дараw, чи, пай, даwу̊м)"
сāw,"вспомогательный глагол в начинательных конструкциях с кратким инфинитивом или именем глагольного значения (обычно в сочетании со служебными словами дар, дараw, чи, пай, даwу̊м)"
сā,(редко) вспомогательный глагол в составе сложноименных глаголов с переходным значением
сāw,(редко) вспомогательный глагол в составе сложноименных глаголов с переходным значением
сā,тк. в форме су́т-ат(ā) (подчинительный союз) если
сāw,тк. в форме су́т-ат(ā) (подчинительный союз) если
тê,"идти; ходить, ездить; отправляться, уезжать, улетать"
тê-,"идти; ходить, ездить; отправляться, уезжать, улетать"
ти,"идти; ходить, ездить; отправляться, уезжать, улетать"
тий,"идти; ходить, ездить; отправляться, уезжать, улетать"
тê,"иметь течь, течь"
тê-,"иметь течь, течь"
ти,"иметь течь, течь"
тий,"иметь течь, течь"
тê,"идти, течь, струиться (о потоке и т. п.)"
тê-,"идти, течь, струиться (о потоке и т. п.)"
ти,"идти, течь, струиться (о потоке и т. п.)"
тий,"идти, течь, струиться (о потоке и т. п.)"
тê,"исходить, распространяться"
тê-,"исходить, распространяться"
ти,"исходить, распространяться"
тий,"исходить, распространяться"
тê,ходить (о часах)
тê-,ходить (о часах)
ти,ходить (о часах)
тий,ходить (о часах)
тê,идти (о времени)
тê-,идти (о времени)
ти,идти (о времени)
тий,идти (о времени)
тê,дуть (о ветре)
тê-,дуть (о ветре)
ти,дуть (о ветре)
тий,дуть (о ветре)
хāр,"есть, кушать, съедать; питаться"
хāр,"расходовать, разбрасывать, тратить"
хāр,"наслаждаться, кайфовать"
хāр,"упрекать, наказывать"
хāр,"вспомогательный глагол, входит в состав ряда сложноименных глаголов"
кин,"делать, поступать (определенным образом); заниматься чем-л."
кин,"делать, изготовлять, производить; создавать; выполнять, устраивать (что-л.)"
кин,делать что-л. чем-л.; превращать
кин,строить
кин,"приготовлять; заготовлять; справлять, собирать"
кин,"варить, готовить; печь"
кин,класть; помещать; сыпать; лить
кин,"одевать, надевать"
кин,"делать, выбирать, избирать (кем-л.); назначать"
кин,"(противоп. сāw:сут) вспомогательный глагол, образующий сложноименные глаголы, преимущественно активного (переходного) и реже среднего (непереходного) значения"
кин,сост. часть сложных глаголов
анцāв,шить
анҷāв,"держать, приобретать, овладевать, брать, ловить"
бих̌чāр,"черпать, зачерпывать (жидкость, зерно)"
лу̊д,"говорить, петь, называть"
