cyrillic,meaning
а-бачен,"формулы обращения: ребята, ребятки, детки; эй, вы"
а-бачо,"формулы обращения: ребята, ребятки, детки; эй, вы"
а-чен,"формулы обращения: ребята, ребятки, детки; эй, вы"
абаш,"чернокожий, негр"
абδуст,рукавица
абδустеҷ,"материал, кожа для рукавиц"
абед,обед; время обеда
абӣб,название дикорастущего цветка
абӣб,"имя собств. муж. или его компонент, напр. Абӣб, Абӣбилло"
абӣн,жена многоженца (по отношению к другим его женам)
абӣнêрӡ,жена многоженца (по отношению к другим его женам)
абӣнен,жена многоженца (по отношению к другим его женам)
абӣнорҷ,жена многоженца (по отношению к другим его женам)
абӣн,ненавистница
абӣнêрӡ,ненавистница
абӣнен,ненавистница
абӣнорҷ,ненавистница
абку̊м,обком
апку̊м,обком
обку̊м,обком
абку̊м,секретарь обкома; работник обкома
апку̊м,секретарь обкома; работник обкома
обку̊м,секретарь обкома; работник обкома
абку̊мпāрт,обком партии
абку̊мпāртийа,обком партии
обку̊мпāрт,обком партии
обку̊мпāртийа,обком партии
аблагари,"глупость, дурость"
аблаги,"глупость, дурость"
аблаку̊в,цеп
аблā,"глупец, дурак, дурень"
аблā,"простак, простачок"
аботā,"глупец, дурак, дурачок"
аботā,"глупость; ерунда, чепуха"
абохи,тупость; бестолковость
абрайеҷ,ткань для лицевой стороны одежды
абрат,обман; надувательство
абрат-δāδӣҷ,"обманщик, плут"
абрā,"лицевая сторона ткани; верх, лицо (напр. шубы, ватного халата); ткань лицевой стороны верхней одежды"
абрех̌ум,"шелк, шелковая ткань; шелковая одежда"
вирех̌ум,"шелк, шелковая ткань; шелковая одежда"
абрех̌ум,"шелк, шелковые нитки"
вирех̌ум,"шелк, шелковые нитки"
абрê,"облако, туча"
абри,"облако, туча"
ҳабрê,"облако, туча"
абридахи,облачность
абтари,"лень, леность; нерасторопность"
абӯбāк,удод
бубӯбāк,удод
абҷад,"абджад (счет, основанный на числовом значении букв арабского алфавита)"
авāнц,аванс; долг
авāр,авария
авиāцийа,авиация
авийāцийа,авиация
авих̌ц,пучок; охапка; ворох (о траве)
авлӣз,стенки глиняного сосуда (при выделке)
аw-аw,"тявканье, лай"
аw-аw,"слух, слухи; известие, вести"
аwал-вегā,сумерки; предвечернее время
аwас,"желание, охота, мечта; увлечение, интерес, тяга"
аwwал,начало
аwал,начало
аwели,дом; двор
аwеҷ-хух̌пā,похлебка; каша (из смеси просяной и гороховой муки)
аwлāқ,"скиталец, бродяга, непоседа"
аwлāқи,скиталец; бродяга
аwлāқгари,"скитание, бродяжничество"
аwлāқигари,"скитание, бродяжничество"
аwли,"двор, дом, усадьба"
аwлийо,"предсказатель, провидец, пророк"
аwлод,потомок; потомство; род; поколение
аwлод,"близкие, родня"
аwлодā,"потомство, потомки"
аwлод-бāх̌,"разделение по родству, по принадлежности к роду"
аwо,"воздух, атмосфера"
аwо,погода
аwо,климат
аwобаланди,"высокомерие, чванство; самонадеянность"
аwо-буцак,небольшой дождь или снег при солнце; слепой дождь
аwоги,"погода, ясная погода, погожие дни"
аwойи,"погода, ясная погода, погожие дни"
āwоз,"голос, голоса́; звук"
аwоз,"голос, голоса́; звук"
оwоз,"голос, голоса́; звук"
āwоз,право голоса; голос (избирателя)
аwоз,право голоса; голос (избирателя)
оwоз,право голоса; голос (избирателя)
аwоз-δêд,голосование
оwоз-δêд,голосование
аwолā,"кидание, бросок"
аwопаймо,воздухоплаватель
аwопаймойи,воздухоплавание
аwохо,"хвастун, бахвал"
аwохойи,"хвастовство, бахвальство"
аwрат,женщина
аwрат,жена
аwратӣнā,"женский пол, женщины"
аwз,"бассейн, пруд, водоем"
аwӡ,"бассейн, пруд, водоем"
аwӡи,"глубина, глубокое место; омут"
аwғу̊н,афганец
афғу̊н,афганец
аwқот,"пропитание, провизия; еда, пища; блюдо, кушанье; обед"
афқот,"пропитание, провизия; еда, пища; блюдо, кушанье; обед"
аwқот-вор,"тот, кто снабжает провизией; кормилец; снабженец"
аwқотwори,"продукты питания, провизия, провиант"
аwҷ,"энтузиазм; воодушевление; увлечение, подъем"
ага-чи,побудка; выведение человека из состояния сна
ага-чӣд,побудка; выведение человека из состояния сна
агент,агент
агетпӯнкт,агитпункт
агитāтор,агитатор
агитāтур,агитатор
агитāтори,"агитаторство, работа агитатора"
агитāтури,"агитаторство, работа агитатора"
агитāцийа,агитация
аграну̊м,агроном
аграну̊ми,обязанности агронома
адаб,"благонравие, воспитанность, учтивость, вежливость"
адабийот,литература
адад,"число, количество; численность"
адāх̌ц,"железная накладка в верхнем жернове водяной мельницы, передающая ему вращательное движение вала"
адāғ̌ӡ,"железная накладка в верхнем жернове водяной мельницы, передающая ему вращательное движение вала"
адwо,средства; имущество
идwо,средства; имущество
йидwо,средства; имущество
адир,луг; поросшее травой место
адгāл,одеяло
адйāл,одеяло
адли,"справедливость, правосудие"
адо,"выполнение, исполнение; уплата"
адолат,"справедливость, правосудие"
адолатхо,поборник справедливости; справедливый человек
а-δа,"обращение к молодым мужчинам: эй, парень!, (эй), друг!, приятель!, эй, ты!"
аθêрӣҷ,"податель, вручитель; раздатчик"
аθич,пучок; охапка; ворох (о траве)
адич,пучок; охапка; ворох (о траве)
аждаор,"сказочное чудовище, дракон"
аждар,"сказочное чудовище, дракон"
аждаҳор,"сказочное чудовище, дракон"
аждуор,"сказочное чудовище, дракон"
аждуҳор,"сказочное чудовище, дракон"
азал,начало
азал,"имя собств. муж. и жен. или его компонент, напр. м. Азал, Азалшо; ж. Азалбегим"
азӣз,"имя собств. муж. и жен. или его компонент, напр. м. Азӣз, Азӣзбек, Азӣзшо, Миразӣз; ж. Азӣзмо, Мо(а)зӣз, Азӣзā"
азли,"шутка, забава; насмешка; острота"
азлигӯй,шутник; насмешник; остряк
азо,"траур, оплакивание умершего"
азоб,"мучение, страдание"
азойим,"заклинания, молитвы (муллы у постели больного)"
азорзā,"мешанка (смешанныӣ посев зерновых, за исключением пшеницы, с некоторыми сортами бобовых; зерна, семена такого посева)"
азорсалги,тысячелетие
азорсолаги,тысячелетие
азорҷӣд,"отдел желудка, книжка (у жвачных животных)"
азрат,"светлость, величество, святейшество (титул пророков)"
азрат,"компонент имени собств. муж., напр. Азратқул"
аз-ро-δāδӣҷ,совратитель
аз-ро-зан,совратитель
айал-даwо,старание; усердие
айб,"изъян, недостаток, дефект; порок"
айб,вина; грех
айбдор,"виновник; обвиняемый, подсудимый; преступник"
айбдори,виновность; провинность
айбну̊мā,"обвинительное заключение, обвинительный акт"
айбпӯх̌и,"сокрытие недостатков, вины; укрывательство"
айбпӯши,"сокрытие недостатков, вины; укрывательство"
айwу̊н,"животное; скот, скотина"
еwу̊н,"животное; скот, скотина"
айwу̊нгари,скотство; зверство
айwу̊ни,скотство; зверство
еwу̊ни,скотство; зверство
айwу̊ндор,"владеющий скотом, имеющий скот; животновод; скотовод"
айwу̊ндори,"животноводство, скотоводство"
айwу̊нот,животные; скот
āйд,праздник
айд,праздник
йӣд,праздник
ӣд,праздник
айкал,памятник
екал,памятник
йекал,памятник
айкал,амулет (чаще йекал)
екал,амулет (чаще йекал)
йекал,амулет (чаще йекал)
ай-кинӣҷ,погонщик
ай-кунӣҷ,погонщик
айму̊н,"вера, верование"
аймун,"вера, верование"
ему̊н,"вера, верование"
йему̊н,"вера, верование"
йемун,"вера, верование"
айни,"самое время, самая пора (делать что-то)"
айо,"стыд; стыдливость, застенчивость"
аййор,"имя собств. или его компонент, напр. Айор, Аййор, Айорсилту̊н, Аййорсилту̊н"
айор,"имя собств. или его компонент, напр. Айор, Аййор, Айорсилту̊н, Аййорсилту̊н"
айори,хитрость; ловкость
айос,"мороз; стужа, холод"
айот,"жизнь, существование"
айот,память; мысль
айоти,память; мысль
айрапилāн,"аэроплан, самолет"
алапилāн,"аэроплан, самолет"
айрапорт,аэропорт; аэродром
айрат,"удивление, изумление"
айру̊нги,"удивление, изумление"
айру̊ни,"удивление, изумление"
еру̊нги,"удивление, изумление"
йеру̊нги,"удивление, изумление"
айу̊м,"праздник, празднество"
айу̊м,"имя собств. муж. или его компонент, напр. Айу̊м, Айу̊мбек"
айу̊меҷ,"продукты, припасы (к празднику)"
айу̊ғи,верхняя часть позвоночника; часть спины между лопатками
айш,"наслаждение, блаженство; удовольствие; развлечение"
академ,Академия (наук)
академи,Академия (наук)
академ,академик
академи,академик
академийā,академия
академик,академик
акак,дрожь (от холода)
акā,брат
акā,"обращение мужчин друг к другу: эй, брат, братец, браток"
акбар,"имя собств. муж. или его компонент, напр. Акбар, Акбаршо, Акбарāли"
акӣм,"врач, лекарь"
акӣм,"имя собств. муж. или его компонент, напр. Акӣм, Акӣмбек, Акӣмшо"
āкс,"отражение, отображение"
āкц,"отражение, отображение"
акс,"отражение, отображение"
акц,"отражение, отображение"
āкс,испуг; страх
āкц,испуг; страх
акс,испуг; страх
акц,испуг; страх
аксарийат,большинство
актӣв,актив
актӣв,активист
акӯмат,"правительство; власть, власти"
укӯмат,"правительство; власть, власти"
алаби,чашка (обычно из меди)
алалаш,"смесь, смешение; ералаш; хаос"
алараш,"смесь, смешение; ералаш; хаос"
аралаш,"смесь, смешение; ералаш; хаос"
арараш,"смесь, смешение; ералаш; хаос"
алалот,"громкий шум, гам, гомон"
алалот,"плач; рыдание, рев"
алам,"обида, досада"
алам,огорчение; печаль
аламу̊н,"вор, грабитель"
аламӯн,"вор, грабитель"
алаф,трава; сено
алафзор,"луг, лужайка"
албу̊м,альбом
албу̊н,альбом
алwанд,подготовка тока для молотьбы
алwо,халва (из пережаренной в масле муки)
алwо,"имя собств. жен. или его компонент, напр. Алwо, Алwо-бегим"
алwобаӡ,мастерица готовить халву
алwопаӡ,мастерица готовить халву
алwу̊н,"кумач, ярко-красная ткань"
алиле,"плач, рыдание"
алиф,алиф (название первой буквы арабского алфавита)
алиф,"черта, прямая линия"
алиф,"имя собственное или его компонент, напр. Алиф, Алифбек"
алиф,олифа
алифбê,"азбука, алфавит"
алифбо,"азбука, алфавит"
айлок,пресный сыр (делается из свернувшегося кипяченого молока с пахтаньем в виде круглых толстых сырков-лепешек)
алйок,пресный сыр (делается из свернувшегося кипяченого молока с пахтаньем в виде круглых толстых сырков-лепешек)
алйумӣн,алюминий
алумӣн,алюминий
алло,"безудержный плач, рыдание"
ало,"безудержный плач, рыдание"
аллоз,"прыжок, скачок"
алоз,"прыжок, скачок"
алмасти,ведьма; алмасти (сказочное злое существо женского пола)
алмасти,"обжора, прорва"
алмос,алмаз
алмос,кварц
алмос-жӣр,кварц
а-ло,"обращение женщин или девушек друг к другу: сестра, сестрица; подружка, девушка"
а-ло,"обращение родственников друг к другу, напр., сестры к брату"
алоw,"огонь, пламя; костер"
