cyrillic,meaning
абади,вечный
аблā,"глупый, бестолковый"
аблā,"простоватый, наивный, простодушный"
аботā,"глупый, бестолковый"
абох,"бестолковый; нерасторопный, неловкий; рассеянный"
абрех̌умин,шелковый
вирех̌умин,шелковый
авда-салā,семнадцатилетний
авда-солā,семнадцатилетний
аwал-баӡ,скороспелый
аwалӣн,"первый; начальный, первоначальный"
аwезу̊н,"висячий; висящий, повисший; свисающий"
аwезу̊н,привязчивый
аwеӡу̊н,"висячий; висящий, повисший; свисающий"
аwеӡу̊н,привязчивый
аwобаланд,"высокомерный, чванливый; самонадеянный"
аwоздо́р,голосистый; с приятным голосом
оwоздо́р,голосистый; с приятным голосом
аwз,глубокий (о воде)
аwӡ,глубокий (о воде)
аwғу̊ни,афганский
афғу̊ни,афганский
агитāтори,агитаторский
агитāтури,агитаторский
аграну̊ми,агрономический
адаби,литературный
аданг,"прямой, бесхитростный; доверчивый"
адwодор,"имущий, состоятельный"
адо,"исключительный, достойный"
адолатхо,справедливый
азӣз,"дорогой, милый, любимый"
азо́лаwу̊н,"всякий, разный, всякого рода"
азорсалā,тысячелетний
азорсолā,тысячелетний
азор-ҷӯфи,очень хитрый
азор-ҷӯфи,разный; различный
айбдор,"виновный, виноватый"
айби,"с недостатком, с изъяном"
айодор,"стыдливый, застенчивый"
аййор,"хитрый, лукавый; ловкий"
айор,"хитрый, лукавый; ловкий"
айоти,"жизненный, реальный; деловой"
акӣм,полезный
акӯмати,государственный
укӯмати,государственный
алами,"печальный, удрученный"
алафхор,травоядный
алафхур,травоядный
алйумӣнин,алюминиевый
алумӣнин,алюминиевый
аллā,"пегий, пестрый, пятнистый (о масти лошади)"
алоw,крупноузорчатые (о чулках-джурабах)
алойид,отдельный; особый; отделенный
алойидā,отдельный; особый; отделенный
алолкор,"добросовестный, честный"
алпинӣсти,альпинистский
алу̊мот,трудный
амали,"практический, действенный; реальный"
аматарафā,всесторонний; разносторонний
амбêх̌цин,"арчовый, из арчи"
амбах̌цин,"арчовый, из арчи"
амбех̌цин,"арчовый, из арчи"
анбах̌цин,"арчовый, из арчи"
амwазм,"одного веса, равный по весу"
амwазн,"одного веса, равный по весу"
амwор,ровный; гладкий; плоский
анwор,ровный; гладкий; плоский
āмийатдор,"значимый, важный; полезный"
амйатдор,"значимый, важный; полезный"
амӣр,"щедрый (противоп. хас, хасӣс)"
амоwоз,согласный; солидарный
амсойаги,соседний; соседский
амтан,одинаковой величины; одного роста; под стать
амто,"равный, одинаковый"
аму̊мā,"огромный, большой (о чалме)"
аму̊мā,"опухший, разбухший, отекший"
амқад,одного роста
амҷинс,"однородный, одинаковый; подходящий"
амҷинц,"однородный, одинаковый; подходящий"
а́нга,"другой, следующий"
йа́нга,"другой, следующий"
ангилӣс,английский
ангилӣси,английский
ангӯрδин,"виноградный, из виноградной лозы"
андарғамуч,"упрямый; своевольный, своенравный"
