cyrillic,meaning
абромез,"облачно, пасмурно"
аwало,"прежде всего, сначала; во-первых"
аwалу̊н,"сначала, вначале; первоначально, поначалу"
азам,оттуда; издали; издалека
аза́манд,оттуда (из определенного места)
аамард,местоименное наречие дальн. ст.: оттуда (из неопределенного места)
азамāҷ,"оттуда (со стороны); с той стороны, с того края"
азамāҷанд,"вон у того, (который там, оттуда)"
азамā́ҷард,"субстантивированное местоименное наречие дальней степени со значением адресата действия: вон тому (тем), который (которые) там, с той стороны"
азамти,"местоименное наречие дальн. ст.: оттуда (с поверхности, сверху)"
азамтов,местоименное наречие дальн. ст.: оттуда (часто при глаголе йатоw возвращаться)
аз-бāр,наизусть
аз-бāраки,"наизусть, на память"
аз-δа́р-аθ,издалека
аз-δараки,"издали, издалека"
азе,"местоименное наречие средн. ст.: с той стороны, оттуда"
азеданд,местоименное наречие средн. ст. оттуда (из определенного места; ср. азедард)
азедард,местоименное наречие средн. ст.: оттуда (из неопределенного места)
азедāҷ,"местоименное наречие средн. ст.: оттуда (со стороны), с той стороны, с того края"
азедāҷанд,"субстантивированное местоименное наречие средней степени со значением принадлежности: вот у того, (который там, оттуда)"
азедāҷард,"субстантивированное местоименное наречие средней степени со значением адресата действия: вот тому, (который там, с той стороны)"
азедти,"местоименное наречие средн. ст.: оттуда (с поверхности, сверху)"
азедтов,местоименное наречие средн. ст.: оттуда (часто при глаголе йатоw возвращаться)
азору̊н,"(с последующим ца) сколько ни, как часто ни"
азу̊,"здесь, тут, с этой стороны"
азу̊данд,местоименное наречие ближн. ст.: отсюда (из определенного места)
азу̊дард,местоименное наречие ближн. ст.: отсюда (из неопределенного места)
азу̊дāҷ,"здесь, тут, с этой стороны, с этого края"
азу̊дāҷанд,"субстантивированное местоименное наречие ближней степени со значением принадлежности: вот у этого, (который тут, отсюда)"
азу̊дāҷард,"субстантивированное местоименное наречие ближней степени со значением адресата действия: вот этому, (который тут, с этой стороны)"
азу̊дти,"местоименное наречие ближн. ст.: отсюда (с поверхности, сверху)"
азу̊дтов,"местоименное наречие ближн. ст.: отсюда (часто при глаголах ситоw, тӣдоw)"
а́лаθ,"как раз, точь в точь; именно"
а́дли,"как раз, прямо; именно; точно, точь-в-точь"
алмиду̊м,"всегда, постоянно"
амаги,"в целом, в сумме, всего"
амбоз,"совместно (напр., обрабатывать землю, пользоваться скотом)"
амдойи,"зря, напрасно, понапрасну"
амех̌ā,"всегда, постоянно; обычно, как правило"
а́мтаро,"не беда, неважно"
амчуну̊н,"так, как (сильно, долго)"
андак,"немного, чуть; чуточку"
анда́к-аθ,"немножечко, чуть-чуть, слегка; еле-еле"
андакик,"немножечко, чуть-чуть"
андак-мандак,"немного, чуть-чуть"
арам,местоименное наречие дальн. ст.: там (внизу)
араманд,"субстантивированное местоименное наречие дальней степени со значением принадлежности: у тех, что там (внизу, внутри)"
арамāҷ,"местоименное наречие дальн. ст.: туда, в ту сторону (вниз)"
