cyrillic,meaning
ааā,ха-ха-ха
а́-бачен,"ой, батюшки (мои)!, о боже!, боже мой!, господи!"
а́-бачо,"ой, батюшки (мои)!, о боже!, боже мой!, господи!"
ай,"ай!, ой!, эй!, ах!"
айу̊,киш!
айф,"жалко!, как жаль!, увы!"
а́лале,"при удивлении, сожалении: вот беда!, ах!, ой!, ах, да!"
а́лиле,"при удивлении, сожалении: вот беда!, ах!, ой!, ах, да!"
аламдулилло,восклицание: слава богу!
аламдулулло,восклицание: слава богу!
алwобаӡ,поздравление с рождением девочки
алwопаӡ,поздравление с рождением девочки
а́лилӯ,"возглас при неожиданной боли: ой (больно)!, ой-ой!"
а́лилā,"возглас при неожиданной боли: ой (больно)!, ой-ой!"
а́лло,"ах!, ох!, ой!"
а́ло,"ах!, ох!, ой!"
а́дло,"ах!, ох!, ой!"
ало-а́wли,"какой стыд!, как не стыдно!"
wало-а́wли,"какой стыд!, как не стыдно!"
алоҳа́wли,"какой стыд!, как не стыдно!"
а́лҳа́му̊н,"да будет мир!, да будет покой!"
а́рра!,"возглас, побуждающий осла издавать крик"
а́ра!,"возглас, побуждающий осла издавать крик"
ару̊дард,"при субстантивации имеет значение адресата действия: тем, тому, что тут, здесь (внизу)"
к-ару̊дард,"при субстантивации имеет значение адресата действия: тем, тому, что тут, здесь (внизу)"
ару̊дра,"при субстантивации имеет значение адресата действия: тем, тому, что тут, здесь (внизу)"
к-ару̊дра,"при субстантивации имеет значение адресата действия: тем, тому, что тут, здесь (внизу)"
ару̊дирд,"при субстантивации имеет значение адресата действия: тем, тому, что тут, здесь (внизу)"
к-ару̊дирд,"при субстантивации имеет значение адресата действия: тем, тому, что тут, здесь (внизу)"
афсӯс,"возглас сожаления: увы!, ах!, жаль!"
аҷаб,"в конструкциях со сказуемым - отрицательной формой глагола или связи для усиления утверждения: (ну) что за!, (уж) как(ой) же!, уж так(ой)!"
аҷабо,"увы!, как жаль"
бали-йā,увы!
бали-йе,"ой!; ужас!; ну и ну, вот оно что"
ту чу̊н бандā!,"браво тебе!, молодец!"
бар,"возглас, которым понукают правого быка во время пахоты, если он отклоняется в сторону"
баракалло,"здорово!, браво!, молодец! (восклицание одобрения)"
баракалло,"спасибо (в ответ на ""хушу̊мад"" добро пожаловать!)"
боракалло,"здорово!, браво!, молодец! (восклицание одобрения)"
боракалло,"спасибо (в ответ на ""хушу̊мад"" добро пожаловать!)"
баракато,"изобилие!, обилие! (возглас пришедшего на ток во время уборки умолота)"
ба-худо,ей-богу!
бāт-салӯм,"приветствие во время новогоднего праздника ""бāт""; человек, произносящий при входе в дом это приветствие: ""шогӯн буор муборак"", получив от хозяина ответ ""ба рӯ́йи шумо муборак"", может попросить у хозяина доме любую вещь (одежду, барана, лошадь и т. п.); в этом случае произносится определенная формула, напр. б. тама миwӣ́ҷ-ти-йум бāт-салу̊м йат за приветствие на празднике прошу вашего барана"
бигардум,"(возглас одобрения) молодец!, браво!"
бигӣр-ку́ш-ку́ш,"держи!, возьми!, куси! (кричат собаке при натравливании)"
биж,"окрик, которым подзывают теленка"
бийомурзах̌,"(выражение почтительности к умершему) мир его праху!, царство ему небесное!, да отпустятся ему грехи на том свете!, да попадет он в рай!"
бийомурзих̌,"(выражение почтительности к умершему) мир его праху!, царство ему небесное!, да отпустятся ему грехи на том свете!, да попадет он в рай!"
бийомурзад,"(выражение почтительности к умершему) мир его праху!, царство ему небесное!, да отпустятся ему грехи на том свете!, да попадет он в рай!"
бийомурзӣдā,"царство ему небесное!, мир праху его!"
бираwиш,пусть уходит!
бисмилло,"с богом!, во имя бога!"
бисмулло,"с богом!, во имя бога!"
бод,"да будет!, пусть будет!"
бош,стой! (окрик лошади); тпру!
буwā,"возглас, с которым приступают к физической работе"
бучча,призывный возглас для козлов
wай,"ой!, ох!; батюшки!"
wалоҳаw,[бог] да спасет от страха! (восклицание в момент опасности)
wалоаw,[бог] да спасет от страха! (восклицание в момент опасности)
wас,цыц! (собаке)
wāлек,(ответное приветствие) здравствуй(те)!
алек,(ответное приветствие) здравствуй(те)!
wоwайло,"о, горе!; увы!, жаль!; ужас!"
wо-wо,"ну и ну!, вой-вой!"
wур,"н-но!, ну! (покрикивание на верблюдов)"
wуш,"пошла!, пшла! (возглас, которым отгоняют коров и быков)"
wу̊́р-wу̊́р,призывной возглас для верблюдов
wу̊́р-wу̊ра́к,обращение к верблюдам
гале,окрик для коз при доении
галу̊,окрик для коз при доении
гал,окрик для коз при доении
гаржаст,"шипя, потрескивая, с треском"
даw,дав! (возглас при игре в чижик)
дар,"(в сочет. с му, мāш) боже (мой)! господи!"
дарик,"(в сочет. с му, мāш) боже (мой)! господи!"
дар-ба-кали,"боже мой!, господи!, боже упаси!, ужасно!, что за напасть!"
дар-баста-кали,"боже мой!, господи!, боже упаси!, ужасно!, что за напасть!"
дар-бас-кали,"боже мой!, господи!, боже упаси!, ужасно!, что за напасть!"
дар-ба-калак,"боже мой!, господи!, боже упаси!, ужасно!, что за напасть!"
дар-бастā,"что за напасть!, вот беда!, ужас какой!"
дар-дил,"на сердце, в сердце, на душе, в душе; на уме, в мыслях"
диғ,"окрик, которым отгоняют ягнят"
ди́ғ-ди́ғ,"окрик, которым отгоняют и подзывают ягнят"
ди́ғға,"окрик, которым подзывают ягнят"
ди́ға,"окрик, которым подзывают ягнят"
дӣл,баю-бай
ду̊мбаст,"бух, шлеп, бах (звук от падения предмета)"
ду̊мбас,"бух, шлеп, бах (звук от падения предмета)"
ду̊́мбат,"бух, шлеп, бах (звук от падения предмета)"
е,"э!, о!, ах!, эх!"
зойā,"увы!, жаль, к сожалению"
илло,ей-богу; честное слово
йа́-йа́!,призывной возглас для лошадей
йа́ҳ-йа́ҳ!,призывной возглас для лошадей
йих,"окрик, которым погоняют ослов: пошел!"
йо,"о!, ох!"
йодило,вот как! (при удивлении)
йодло,вот как! (при удивлении)
караф,"окрик, которым призывают быков к драке"
кашшā,"горе (мне)! (возглас, вопль при оплакивании покойника)"
киш,"кш!, киш! (возглас, которым отгоняют птиц)"
