cyrillic,meaning
абӣнêрӡ,жена многоженца (по отношению к другим его женам)
абӣнêрӡ,ненавистница
бачо,"дитя, ребенок; дети, ребята"
бачғала,"дитя, ребенок; дети, ребята"
бачо,мальчик; сын
бачғала,мальчик; сын
бачгалахел,"детвора, ребятишки, ребята"
баҷгалахел,"детвора, ребятишки, ребята"
бобêрӡ,"дед, дедушка"
бобêрӡ,"внучек, сынок (обращение стариков к детям, молодежи)"
бучхел,козел
бучхел,"горный козел, киик"
бӯтхел,"ботинок, башмак; туфля (фабричного производства)"
бу̊қā-бу̊қā,взрослые
бу̊қā-бу̊қā,знаменитые
вазхел,коза
ваӡхел,коза
вāх̌хел,"веревка, канат; трос"
ворҷхел,"конь, жеребец; лошадь"
ворҷхел,взрослый (о мужчине); возмужавший
wêбхел,"сноп; вязанка, связка"
гунохел,"вина, грех, проступок, преступление"
гуҷхел,"козленок, козочка"
гуҷ-wāргхел,"козлята и ягнята, молодняк"
дāх̌то,"степь, равнина, пустыня"
дāх̌тҳо,"степь, равнина, пустыня"
дāх̌то,часто выступает в качестве топонима
дāх̌тҳо,часто выступает в качестве топонима
дӣданио,"мучение, страдание; трудности"
дӣданиҳо,"мучение, страдание; трудности"
ду̊модêрӡ,зять
ду̊ғобихел,"большая фарфоровая чаша, миска"
ду̊ғовихел,"большая фарфоровая чаша, миска"
жāwхел,корова
жоwхел,корова
жāwхел,"дура, дуреха, растяпа (о женщине)"
жоwхел,"дура, дуреха, растяпа (о женщине)"
зимцхел,"участок земли, посевное поле"
зиндао,живой
зиндаҳо,живой
зиндао,"здоровый, жив-здоров"
зиндаҳо,"здоровый, жив-здоров"
зиндао,"способный, живой, ловкий"
зиндаҳо,"способный, живой, ловкий"
зирйотхел,"ребенок, дитя; дети"
идорахел,"контора, учреждение"
йахӡинêрӡ,сестра
йахӡинêрӡ,"(обращение к равной по возрасту) сестра, сестричка"
кāҷао,"куда?, в каком направлении?"
кāҷаҳо,"куда?, в каком направлении?"
кāҷуо,"куда?, в каком направлении?"
кāҷуҳо,"куда?, в каком направлении?"
китобхел,книга
кудхел,"пес, собака"
маркāбхел,осел
маркабхел,осел
мах̌хел,"вид фасоли, бобов и поле, засеянное такой фасолью"
мах̌хел,"горох (Рisum sativum), посев гороха"
минечхел,"овцы, бараны"
минечхел,овечий
миwӣҷхел,баран
миɣ̌ӣҷхел,баран
миҷāдêрӡ,жены братьев по отношению друг к другу
миҷадêрӡ,жены братьев по отношению друг к другу
нāнêрӡ,"мать, мама; матка (о животном)"
нāнêрӡ,"в функции обращения в сочетании с частицами е, а, у̊: мать, матушка (к пожилой женщине)"
нāнêрӡ,"то же: детка, детки; доченька, сынок (обращение женщин к детям)"
нолао,"стоны, плач, причитания; жалобы"
нолаҳо,"стоны, плач, причитания; жалобы"
оламо,"тк. ед. мир, вселенная, свет"
оламҳо,"тк. ед. мир, вселенная, свет"
оламо,"все (люди), весь свет"
оламҳо,"все (люди), весь свет"
оху̊нхел,учитель
пāқхел,"кудель, валик шерсти, подготовленной для прядения"
пидêрӡ,отец
пидêрӡ,"дитя, сынок, доченька (при обращении отца к своим детям)"
пидêрӡ,"тот, кто снимает платок с лица невесты во время свадебного обряда; названый отец"
пацêрӡ,сын
пацêрӡ,"сынок (обращение к посторонним детям, молодым людям)"
ризӣнêрӡ,дочь
ризӣнêрӡ,"дочка, доченька (при обращении старших к младшим)"
рӣмхел,тополь белый (Рopulus alba); серебристый тополь
ситу̊рхел,крупный рогатый скот
ситу̊рхел,"скотина, дурак"
сиғурхел,сурок
сиғурхел,упрямец
солао,год
солаҳо,год
соло,год
солҳо,год
харичбуц,"дитя, ребенок; мальчуган"
харичхел,"дитя, ребенок; мальчуган"
хийу̊нêрӡ,"невестка, жена брата, жена родственника; свояченица (сестра жены); золовка (сестра мужа)"
х̌āхел,"шах; князь, правитель (раньше – титул самостоятельных правителей Шугнана и Рушана)"
х̌āхел,"имя собств. муж. или его компонент, напр. *Малак-х̌ā*, *Х̌ā-малак*"
х̌итурхел,верблюд
х̌аҷхел,"бык, вол"
х̌ӣҷхел,"бык, вол"
х̌аҷхел,"глупый, тупой"
