cyrillic,meaning
абӣн,жена многоженца (по отношению к другим его женам)
абӣн,жена многоженца (по отношению к другим его женам)
абӣн,ненавистница
абӣн,ненавистница
амакй,"дядя, брат отца (в сочетании с притяжательными местоимениями 1-го, 2-го и 3-го лица имеет в Шугнане стяженные формы)"
макй,"дядя, брат отца (в сочетании с притяжательными местоимениями 1-го, 2-го и 3-го лица имеет в Шугнане стяженные формы)"
амакй,"дядюшка, дяденька (почтительное обращение младших к мужчине)"
макй,"дядюшка, дяденька (почтительное обращение младших к мужчине)"
амаг,"тетка, тетя (сестра или другая родственница отца)"
ама,"тетка, тетя (сестра или другая родственница отца)"
аммаг,"тетка, тетя (сестра или другая родственница отца)"
амма,"тетка, тетя (сестра или другая родственница отца)"
амаг,"тетушка, тетенька (почтительное обращение к женщине средних лет)"
ама,"тетушка, тетенька (почтительное обращение к женщине средних лет)"
аммаг,"тетушка, тетенька (почтительное обращение к женщине средних лет)"
амма,"тетушка, тетенька (почтительное обращение к женщине средних лет)"
амрог,"попутчик, спутник"
амро,"попутчик, спутник"
амрог,"друг; сослуживец, товарищ по работе, по (какому-л.) занятию"
амро,"друг; сослуживец, товарищ по работе, по (какому-л.) занятию"
амсойаг,сосед
амсойа,сосед
андиwолг,"приятель, друг, товарищ"
андиwол,"приятель, друг, товарищ"
арwог,"дух предков, душа умершего"
арwо,"дух предков, душа умершего"
арwог,"память об умершем, память о предках"
арwо,"память об умершем, память о предках"
ах̌ӣб,"позавчера, третьего дня"
ах̌ӣб,вчера
бандаг,раб
банда,раб
бандаг,"слуга, челядин"
банда,"слуга, челядин"
бандаг,отданный в залог; заложенный
банда,отданный в залог; заложенный
бач,"дитя, ребенок; дети, ребята"
бачғала,"дитя, ребенок; дети, ребята"
бач,мальчик; сын
бачғала,мальчик; сын
бачгала,"детвора, ребятишки, ребята"
биҷу̊нҷ,"биджонджец, уроженец Биджонджа"
боб,"дед, дедушка"
бобй,"дед, дедушка"
боб,"внучек, сынок (обращение стариков к детям, молодежи)"
бобй,"внучек, сынок (обращение стариков к детям, молодежи)"
боҷаг,"свояк, муж сестры жены"
боҷа,"свояк, муж сестры жены"
бац,"дитя, ребенок"
буц,"дитя, ребенок"
бац,"при обращении к младшему (""буц"" к мальчику, ""биц"" – к девочке): детка, деточка"
буц,"при обращении к младшему (""буц"" к мальчику, ""биц"" – к девочке): детка, деточка"
бац,"детеныш (животных); птенец, птенчик, цыпленок, (тк. буц, буцен, бацен)"
буц,"детеныш (животных); птенец, птенчик, цыпленок, (тк. буц, буцен, бацен)"
бӯт,"ботинок, башмак; туфля (фабричного производства)"
бу̊н,борода
ваз,коза
вāх̌,"веревка, канат; трос"
виц,"тетя, тетушка, тетка (по матери)"
вицй,"тетя, тетушка, тетка (по матери)"
ворҷ,"конь, жеребец; лошадь"
ворҷ,взрослый (о мужчине); возмужавший
wахаҷ,"ваханец, житель Вахана, уроженец Вахана"
wахеҷ,"ваханец, житель Вахана, уроженец Вахана"
wêб,"сноп; вязанка, связка"
гач,"портянка, онуча (только для стопы)"
гуч,"портянка, онуча (только для стопы)"
гаҷ,"козленок, козочка"
гуҷ,"козленок, козочка"
гуҷ-wāрг,"козлята и ягнята, молодняк"
дарморахтеҷ,"дарморахтец, житель Дарморахта"
дарморахтҷ,"дарморахтец, житель Дарморахта"
дāх̌т,"степь, равнина, пустыня"
дāх̌т,часто выступает в качестве топонима
дев,"вторичное мн. девен; формы вторичного множественного имеют значения: таких, такого рода, тех и прочих, подобных, остальных и т. п."
деф,"вторичное мн. девен; формы вторичного множественного имеют значения: таких, такого рода, тех и прочих, подобных, остальных и т. п."
дев,"адъективно: в собственно указательном значении: тех, тем, теми, (у) тех и т. п."
деф,"адъективно: в собственно указательном значении: тех, тем, теми, (у) тех и т. п."
дев,адъективно: в ослабленном указательном значении в роли определенного артикля (всегда без частицы ик-)
деф,адъективно: в ослабленном указательном значении в роли определенного артикля (всегда без частицы ик-)
дела,"дело, документы"
дивāр,дверь
дива,дверь
диви,дверь
диву,дверь
дишад,"крыша, кровля"
дӯст,"друг, приятель"
ду̊мод,зять
ду̊мод,зять
ду̊ғоби,"большая фарфоровая чаша, миска"
ду̊ғови,"большая фарфоровая чаша, миска"
жāw,корова
жоw,корова
жāw,"дура, дуреха, растяпа (о женщине)"
жоw,"дура, дуреха, растяпа (о женщине)"
зимц,"участок земли, посевное поле"
зинаw,"невестка, жена сына"
зинаɣ̌,"невестка, жена сына"
зинаɣ̌,"невестка, жена сына"
зинда,живой
зинда,"здоровый, жив-здоров"
зинда,"способный, живой, ловкий"
зирйот,"ребенок, дитя; дети"
заw,рукав
заɣ̌,рукав
зуw,рукав
зӯɣ̌,рукав
идора,"контора, учреждение"
йидора,"контора, учреждение"
йах,сестра
йахӡин,сестра
йах,"(обращение к равной по возрасту) сестра, сестричка"
йахӡин,"(обращение к равной по возрасту) сестра, сестричка"
йемцаҷ,житель Емца
йорг,"друг, приятель; милый друг"
йорг,игрок (команды)
йор,"приставание, цепляние, прилипание; приближение, подход (к кому-л.)"
йу̊мҷаҷ,житель Емджа
йу̊мҷеҷ,житель Емджа
камӣс,комиссия
камӣс,член комиссии
кахо,женщина
кахо,жена
кахо,бережливая; расчетливая; запасливая
кāдир,"кадры, специалист(ы)"
кирйāр,"по́мочь, работа миром"
кирйāр,"помочанин, участник работы миром"
китоб,книга
кад,"пес, собака"
куд,"пес, собака"
куд-бац,щенок
ланҷ,щека
мардӣнаг,мужчина
мардӣна,мужчина
мардӣнаг,"мужественный; настоящий, замечательный; достойный"
мардӣна,"мужественный; настоящий, замечательный; достойный"
маркāб,осел
маркаб,осел
мах̌,"вид фасоли, бобов и поле, засеянное такой фасолью"
мах̌,"горох (Рisum sativum), посев гороха"
минеч,"овцы, бараны"
минеч,овечий
миwаҷ,баран
миɣ̌аҷ,баран
миҷāд,жены братьев по отношению друг к другу
миҷāд,жены братьев по отношению друг к другу
миҷад,жены братьев по отношению друг к другу
мунҷаҷ,"мунджанец, житель Мунджана"
мунҷеҷ,"мунджанец, житель Мунджана"
набӣраг,"внук, внучка; правнук, правнучка; потомок"
набӣра,"внук, внучка; правнук, правнучка; потомок"
нафар,"человек, лицо, персона"
нафар,"друг, приятель"
нафар,нумератив при счете людей
нāн,"мать, мама; матка (о животном)"
нāн,"в функции обращения в сочетании с частицами е, а, у̊: мать, матушка (к пожилой женщине)"
нāн,"то же: детка, детки; доченька, сынок (обращение женщин к детям)"
нибêс,внучка
нибêсй,внучка
нибêсҷ,внучка
нибосг,внук
нибос,внук
нибосй,внук
нибосҷ,внук
нолāн,"стоны, плач, причитания; жалобы"
оху̊н,учитель
пайзор,"афганские башмаки, полуботинки"
пайса,деньги
пāқ,"кудель, валик шерсти, подготовленной для прядения"
пид,отец
пид,"дитя, сынок, доченька (при обращении отца к своим детям)"
пид,"тот, кто снимает платок с лица невесты во время свадебного обряда; названый отец"
питиш,двоюродный брат; двоюродная сестра
питишй,двоюродный брат; двоюродная сестра
пац,сын
пац,"сынок (обращение к посторонним детям, молодым людям)"
пӯх̌ок,"одежда, одеяние; белье"
рафӣқ,"товарищ; друг, подруга"
