cyrillic,meaning
авен,"цели, назначения: для, ради, из-за; за"
анд,"(при глаголах wизентоw, фāмтоw) источник сведений"
анд,"(при глаголах типа ш. анҷӣвдоw, б. инҷӣвдоw, шб. қāп δêдоw) соприкосновение, контакт: за"
анд,"время, временно́й промежуток во временных, обстоятельственных оборотах с инфинитивом"
анд,"время, временно́й промежуток при существительных"
анд,"входит в состав местоименных наречий, напр., ш. азу̊данд(ӣр), азу̊динд(ӣр), ш. азеданд(ӣр), азединди(ӣр) (см.) отсюда, оттуда."
анд,"замена, возмещение: взамен чего-то, кого-то; за что-то, за кого-то"
анд,"место, местонахождение: в, на"
анд,"направление движения, действия: в, на"
анд,"причина: из-за, ради, по причине"
анд,"употребляется для выражения определенно-локативных и временны́х значений с предлогом ас (см.) и послелогами бӣр, хез (см.)"
бӣр,под(о)
бӣр-ва,под(о)
бӣр-ви,под(о)
бӣрӣн,под(о); из-под
бун,именной послеслог: под
гаргинӯх̌ā,"вокруг, кругом"
гаргӯх̌ā,"вокруг, кругом"
гуна,"отыменный послелог: возле, около"
гунā,"отыменный послелог: возле, около"
дарӯн,"именной послелог (часто в сочетании с простыми предлогами и послелогами) внутрь; внутри; в, на; среди; между"
дастӯр,"отыменный послелог: похожий, подобный; подобно, как; вроде"
дāм,"(*с последующим -тӣр, -ти*) отыменный послелог: за, сзади, вслед, следом за"
δум,"отыменный послелог (часто в сочетании с предлогами или другими послелогами): позади, следом; за, вслед за; с"
зибо,"за, сзади; позади"
зибо,"после, потом, впоследствии; затем"
зибо,"следом за, вслед; после"
кинорā,"вокруг, кругом"
миδенā,"именной послелог: посередине, в середине; между"
пāли,"послелог, обозначает место (с локативными послелогами *-андӣр, -ри, -ард, -ва*): у, рядом, возле, сбоку; вокруг"
пāли,"послелог, обозначает место и направление (часто с локативными предлогами *тар, ас, ар, пи, пис*): к, ко; около, рядом; мимо; вокруг; в"
пи-бӣр,"под(о), внизу; вниз"
пи-бун,"сложный послелог под, внизу; вниз"
пи-кāл,"сложный послелог: над, сверху"
пиро,"отыменный послелог с предлогом тар или без него: перед, около, у, возле; к"
пирод,"отыменный послелог с предлогом тар или без него: перед, около, у, возле; к"
пис-пāли,"сложный послелог, обозначает местонахождение или движение в непосредственной близости от кого-чего-л.: около, рядом, при"
пӣц,"отыменный послелог (в сочетании с некоторыми локативными предлогами): в, на; к"
рā́нг-тӣр,"наподобие, подобно, как, вроде"
рā́нг-ти,"наподобие, подобно, как, вроде"
ра́нг-тӣр,"наподобие, подобно, как, вроде"
ра́нг-ти,"наподобие, подобно, как, вроде"
сил,"послелог подобия, обычно в сочетании с указательными и личными местоимениями"
сохт,"как, подобно, вроде"
сохт,"такого рода, такой (при местоимениях)"
тар-бӣр,под
тар-кāл,"над, поверх"
тар… кāл,"над, поверх"
тар-кинорā,"вокруг, кругом"
тӣр,"косвенное дополнение, не имеющее пространственного значения (на русский язык иногда переводится как прямое дополнение)"
тӣр,"местонахождение (обычно на поверхности чего-л.): на, в"
тӣр,"направление (обычно на поверхность чего-л.); на, в"
тӣрӣн,"на, над, по, сверху, через"
хез,"без предлога обозначает местонахождение и направление (в конкретно-пространственном и отвлеченном смысле): перед, пред; при, у, около, возле; к"
хез,"в сочетании с предлогами указывает направление к кому-, чему-л., от кого-, чего-л."
хез,"с послелогами ш. -анд(ӣр), -инд(ӣр), ш. -ард, -ирд указывает на местонахождение (в конкретно-пространственном отвлеченном смысле): перед, пред; при, у, около, возле"
хез,с послелогом -āҷ указывает направление
хеӡ,"без предлога обозначает местонахождение и направление (в конкретно-пространственном и отвлеченном смысле): перед, пред; при, у, около, возле; к"
хеӡ,"в сочетании с предлогами указывает направление к кому-, чему-л., от кого-, чего-л."
хеӡ,"с послелогами ш. -анд(ӣр), -инд(ӣр), ш. -ард, -ирд указывает на местонахождение (в конкретно-пространственном отвлеченном смысле): перед, пред; при, у, около, возле"
хеӡ,с послелогом -āҷ указывает направление
хел,послелог подобия
хусӯс,"*ас хусӯ́си*, *хусӯс-анд*: об, относительно, про"
хисӯс,"*ас хусӯ́си*, *хусӯс-анд*: об, относительно, про"
қати,"времени; при, на, во время; с (наступлением)"
қати,"лица, предмета, на которые распространяется действие, состояние: с; на; в"
қати,"наличие чего-л., обладание чем-л."
қати,"орудийности; средства, способа, образа действия: с помощью, на"
қати,"совместности: с, вместе с"
қатӣр,"времени; при, на, во время; с (наступлением)"
қатӣр,"лица, предмета, на которые распространяется действие, состояние: с; на; в"
қатӣр,"наличие чего-л., обладание чем-л."
қатӣр,"орудийности; средства, способа, образа действия: с помощью, на"
қатӣр,"совместности: с, вместе с"
қатê,"времени; при, на, во время; с (наступлением)"
қатê,"лица, предмета, на которые распространяется действие, состояние: с; на; в"
қатê,"наличие чего-л., обладание чем-л."
қатê,"орудийности; средства, способа, образа действия: с помощью, на"
қатê,"совместности: с, вместе с"
қатеθ,"времени; при, на, во время; с (наступлением)"
қатеθ,"лица, предмета, на которые распространяется действие, состояние: с; на; в"
қатеθ,"наличие чего-л., обладание чем-л."
қатеθ,"орудийности; средства, способа, образа действия: с помощью, на"
қатеθ,"совместности: с, вместе с"
қатӣ,"времени; при, на, во время; с (наступлением)"
қатӣ,"лица, предмета, на которые распространяется действие, состояние: с; на; в"
қатӣ,"наличие чего-л., обладание чем-л."
қатӣ,"орудийности; средства, способа, образа действия: с помощью, на"
қатӣ,"совместности: с, вместе с"
қӣч-ти,"на поверхность, на"
қӣч-тӣр,"на поверхность, на"
ҷиноw,"подобно, наподобие, вроде, как"
то́р-тӣр,"сверх(у), поверх"
то́р-ти,"сверх(у), поверх"
то́р-ард,"сверх(у), наверх, поверх; на, над"
то́р-рад,"сверх(у), наверх, поверх; на, над"
то́р-ад,"сверх(у), наверх, поверх; на, над"
то́р-а,"сверх(у), наверх, поверх; на, над"
то́р-ирд,"сверх(у), наверх, поверх; на, над"
то́р-рид,"сверх(у), наверх, поверх; на, над"
то́р-ид,"сверх(у), наверх, поверх; на, над"
то́р-и,"сверх(у), наверх, поверх; на, над"
гаргинӯх̌ā,"окружность, вокруг, кругом"
қӣч-ти,"на поверхности, на"
тар-пиро,перед
тар-про,перед
тар-тӣр,"через, поверх"
тӣр,"на, над, за (для); через, после, ради, по, соответственно, сообразно"
хез,перед
