cyrillic,meaning
амбоҷ,"вместо, взамен, за"
ар,(при употреблении названий частей тела) направление и место безотносительно к положению внизу: на
ар,"(с послелогом дарӯн) направление внутрь и местонахождение внутри чего-л.: в, внутри, внутрь; среди, между"
ар,"(с послелогом хез) направление к чему-либо; местонахождение возле, около чего-либо: к; возле, около"
ар,"местонахождение внизу: в, на"
ар,местонахождение внутри чего-либо: в
ар,"направление вниз: в, на; до"
ар,направление внутрь чего-либо: в
ас,"(с послелогом -ти, -тӣр) направление движения, действия сверху, с чего-л."
ас,"(с послелогом бӣр, послеложным сочетанием ш. бӣр-вад и сочетанием послелога бӣр с послелогами ш. -анд, -инд) направление движения, действия из-под чего-л., из-под низа"
ас,"(с послелогом хез и сочетанием послелога хез с послелогами ш. -анд(ӣр), б. -инд(ӣр), ш. -ард, б. -ирд) направление движения, действия от места, расположенного возле, около, у чего-л., а также от какого-л. лица: от"
ас,"(с послелогом ш. -анд(ӣр), б. -инд(ӣр)) направление движения, действия из определенного места или изнутри чего-л.: из, от, с"
ас,"(с послелогом ш. -ард, б. -ирд) направление движения, действия из неопределенного места: из, от, с"
ас,"направление движения, действия из какого-л. места, откуда-л.: из, с, от"
ас,оформляет прямое дополнение
ас,"указывает на источник получения, приобретения чего-л. (иногда в сочетании с послелогом ш. -анд(ӣр), б. -инд(ӣр): из, с, от, у"
ас,"указывает на источник сведений: от, у, из, по"
ас,"указывает на источник, происхождение откуда-л. (иногда в сочетании с послелогом ш. -андӣр, б. -индӣр): из чего-л. (родом), в кого-л., от кого-л."
ас,указывает на исходное число при счете
ас,"указывает на исходный пункт, точку отсчета в пространстве (иногда в сочетании с послелогом ш. -андӣр, б. -индӣр): от, с, из"
ас,"указывает на исходный пункт, точку отсчета во времени [иногда в сочетании с послелогом ш. -анд(ӣр), б. -инд(ӣр)]; с, от"
ас,указывает на косвенное дополнение со значением адресата действия при ряде глаголов и глагольных сочетаний
ас,"указывает на материал, из которого сделан предмет: из"
ас,"указывает на место прохождения, пересечения чего-л.: по, через"
ас,"указывает на отделение; освобождение; отстранение: от, из, с"
ас,указывает на оценку по тому или иному учебному предмету (перед названием этого предмета): по
ас,"указывает на предмет речи, предмет, о котором что-либо сообщается: о, про, относительно"
ас,"указывает на предмет, с которым что-л. сравнивается: по сравнению с, чем (с); как"
ас,"указывает на причину: от, из, из-за, благодаря"
ас,"указывает на целое, из которого выделяется часть (иногда в сочетании с послелогом ш. -андӣр, б. -индӣр): из"
аз,"(с послелогом -ти, -тӣр) направление движения, действия сверху, с чего-л."
аз,"(с послелогом бӣр, послеложным сочетанием ш. бӣр-вад и сочетанием послелога бӣр с послелогами ш. -анд, -инд) направление движения, действия из-под чего-л., из-под низа"
аз,"(с послелогом хез и сочетанием послелога хез с послелогами ш. -анд(ӣр), б. -инд(ӣр), ш. -ард, б. -ирд) направление движения, действия от места, расположенного возле, около, у чего-л., а также от какого-л. лица: от"
аз,"(с послелогом ш. -анд(ӣр), б. -инд(ӣр)) направление движения, действия из определенного места или изнутри чего-л.: из, от, с"
аз,"(с послелогом ш. -ард, б. -ирд) направление движения, действия из неопределенного места: из, от, с"
аз,"направление движения, действия из какого-л. места, откуда-л.: из, с, от"
аз,оформляет прямое дополнение
аз,"указывает на источник получения, приобретения чего-л. (иногда в сочетании с послелогом ш. -анд(ӣр), б. -инд(ӣр): из, с, от, у"
аз,"указывает на источник сведений: от, у, из, по"
аз,"указывает на источник, происхождение откуда-л. (иногда в сочетании с послелогом ш. -андӣр, б. -индӣр): из чего-л. (родом), в кого-л., от кого-л."
аз,указывает на исходное число при счете
аз,"указывает на исходный пункт, точку отсчета в пространстве (иногда в сочетании с послелогом ш. -андӣр, б. -индӣр): от, с, из"
аз,"указывает на исходный пункт, точку отсчета во времени [иногда в сочетании с послелогом ш. -анд(ӣр), б. -инд(ӣр)]; с, от"
аз,указывает на косвенное дополнение со значением адресата действия при ряде глаголов и глагольных сочетаний
аз,"указывает на материал, из которого сделан предмет: из"
аз,"указывает на место прохождения, пересечения чего-л.: по, через"
аз,"указывает на отделение; освобождение; отстранение: от, из, с"
аз,указывает на оценку по тому или иному учебному предмету (перед названием этого предмета): по
аз,"указывает на предмет речи, предмет, о котором что-либо сообщается: о, про, относительно"
аз,"указывает на предмет, с которым что-л. сравнивается: по сравнению с, чем (с); как"
аз,"указывает на причину: от, из, из-за, благодаря"
аз,"указывает на целое, из которого выделяется часть (иногда в сочетании с послелогом ш. -андӣр, б. -индӣр): из"
к-ас,"(с послелогом -ти, -тӣр) направление движения, действия сверху, с чего-л."
к-ас,"(с послелогом бӣр, послеложным сочетанием ш. бӣр-вад и сочетанием послелога бӣр с послелогами ш. -анд, -инд) направление движения, действия из-под чего-л., из-под низа"
к-ас,"(с послелогом хез и сочетанием послелога хез с послелогами ш. -анд(ӣр), б. -инд(ӣр), ш. -ард, б. -ирд) направление движения, действия от места, расположенного возле, около, у чего-л., а также от какого-л. лица: от"
к-ас,"(с послелогом ш. -анд(ӣр), б. -инд(ӣр)) направление движения, действия из определенного места или изнутри чего-л.: из, от, с"
к-ас,"(с послелогом ш. -ард, б. -ирд) направление движения, действия из неопределенного места: из, от, с"
к-ас,"направление движения, действия из какого-л. места, откуда-л.: из, с, от"
к-ас,оформляет прямое дополнение
к-ас,"указывает на источник получения, приобретения чего-л. (иногда в сочетании с послелогом ш. -анд(ӣр), б. -инд(ӣр): из, с, от, у"
к-ас,"указывает на источник сведений: от, у, из, по"
к-ас,"указывает на источник, происхождение откуда-л. (иногда в сочетании с послелогом ш. -андӣр, б. -индӣр): из чего-л. (родом), в кого-л., от кого-л."
к-ас,указывает на исходное число при счете
к-ас,"указывает на исходный пункт, точку отсчета в пространстве (иногда в сочетании с послелогом ш. -андӣр, б. -индӣр): от, с, из"
к-ас,"указывает на исходный пункт, точку отсчета во времени [иногда в сочетании с послелогом ш. -анд(ӣр), б. -инд(ӣр)]; с, от"
к-ас,указывает на косвенное дополнение со значением адресата действия при ряде глаголов и глагольных сочетаний
к-ас,"указывает на материал, из которого сделан предмет: из"
к-ас,"указывает на место прохождения, пересечения чего-л.: по, через"
к-ас,"указывает на отделение; освобождение; отстранение: от, из, с"
к-ас,указывает на оценку по тому или иному учебному предмету (перед названием этого предмета): по
к-ас,"указывает на предмет речи, предмет, о котором что-либо сообщается: о, про, относительно"
к-ас,"указывает на предмет, с которым что-л. сравнивается: по сравнению с, чем (с); как"
к-ас,"указывает на причину: от, из, из-за, благодаря"
к-ас,"указывает на целое, из которого выделяется часть (иногда в сочетании с послелогом ш. -андӣр, б. -индӣр): из"
к-аз,"(с послелогом -ти, -тӣр) направление движения, действия сверху, с чего-л."
к-аз,"(с послелогом бӣр, послеложным сочетанием ш. бӣр-вад и сочетанием послелога бӣр с послелогами ш. -анд, -инд) направление движения, действия из-под чего-л., из-под низа"
к-аз,"(с послелогом хез и сочетанием послелога хез с послелогами ш. -анд(ӣр), б. -инд(ӣр), ш. -ард, б. -ирд) направление движения, действия от места, расположенного возле, около, у чего-л., а также от какого-л. лица: от"
к-аз,"(с послелогом ш. -анд(ӣр), б. -инд(ӣр)) направление движения, действия из определенного места или изнутри чего-л.: из, от, с"
к-аз,"(с послелогом ш. -ард, б. -ирд) направление движения, действия из неопределенного места: из, от, с"
к-аз,"направление движения, действия из какого-л. места, откуда-л.: из, с, от"
к-аз,оформляет прямое дополнение
к-аз,"указывает на источник получения, приобретения чего-л. (иногда в сочетании с послелогом ш. -анд(ӣр), б. -инд(ӣр): из, с, от, у"
к-аз,"указывает на источник сведений: от, у, из, по"
к-аз,"указывает на источник, происхождение откуда-л. (иногда в сочетании с послелогом ш. -андӣр, б. -индӣр): из чего-л. (родом), в кого-л., от кого-л."
к-аз,указывает на исходное число при счете
к-аз,"указывает на исходный пункт, точку отсчета в пространстве (иногда в сочетании с послелогом ш. -андӣр, б. -индӣр): от, с, из"
к-аз,"указывает на исходный пункт, точку отсчета во времени [иногда в сочетании с послелогом ш. -анд(ӣр), б. -инд(ӣр)]; с, от"
к-аз,указывает на косвенное дополнение со значением адресата действия при ряде глаголов и глагольных сочетаний
к-аз,"указывает на материал, из которого сделан предмет: из"
к-аз,"указывает на место прохождения, пересечения чего-л.: по, через"
к-аз,"указывает на отделение; освобождение; отстранение: от, из, с"
к-аз,указывает на оценку по тому или иному учебному предмету (перед названием этого предмета): по
к-аз,"указывает на предмет речи, предмет, о котором что-либо сообщается: о, про, относительно"
к-аз,"указывает на предмет, с которым что-л. сравнивается: по сравнению с, чем (с); как"
к-аз,"указывает на причину: от, из, из-за, благодаря"
к-аз,"указывает на целое, из которого выделяется часть (иногда в сочетании с послелогом ш. -андӣр, б. -индӣр): из"
ас-дасти,"(отыменный предлог для обозначения цели, назначения, причины): из-за, по причине, для"
аз-дасти,"(отыменный предлог для обозначения цели, назначения, причины): из-за, по причине, для"
ас-пиро,"спереди, впереди"
ақ,"в сочетании с ба, дар образует изафетный предлог: для, ради, из-за, во имя, на пользу, на благо кого-чего- л.; по отношению к"
байн,"с изафетом: между, среди"
бар,"при ряде глаголов, преимущественно сложных с глаголом чӣдоw во второй части, обозначает направление или адресат действия: к, на"
бар,"указывает на направление движения к поверхности земли или вверх в небо: к, на"
бар,"употребляется при сравнении перед словом, обозначающим объект сравнения"
баройи,"предлог: для, ради, за, из-за"
барост,"послелог и предлог: по отношению к, к; с"
барости,"послелог и предлог: по отношению к, к; с"
бар-сари,"изафетный предлог при инфинитиве, обозначающий начало действия"
ба-сари,"изафетный предлог при инфинитиве, обозначающий начало действия"
ба-рӯйи,предлог: для; на; по отношению к; про
ба-сар,намерение (с инфинитивом)
ба-сар,направление действия (в пространственном и отвлеченном значении); отношение
ба-сар,"цель, назначение: за"
ба-ғайри,кроме; помимо
бе-ғайри,кроме; помимо
бāwойи,"ради, из-за (кого-, чего-л.)"
бāди,"изафетный предлог: после, следом за (в разн. знач.); кроме"
бе,предлог: без
бидӯни,"предлог: кроме, помимо"
бидӯн,"предлог: кроме, помимо"
wарғ,"вместо, в счет, за счет (чего-л.); из-за"
гирд,"изафетный предлог: вокруг, кругом"
дар,"(в заимствованных сочетаниях) в; с, от"
дар-ало́йи,"для, ради, из-за; в ожидании, в стремлении к"
дар-борайи,"(сложный предлог) относительно, о (обо), про"
дар-мобен,"между; среди, из"
дар-мобайн,"между; среди, из"
даро́йи,"(изафетный предлог цели и причины) за, для, ради; из-за, по причине"
даст,"в составе изафетного предлога ас дасти: ради, для; из-за, по причине"
ас думбо́ли,"(вслед) за (кем-, чем-л.)"
зид,изафетный предлог (часто в сочетании с основными предлогами) против; напротив
зид,"против, несогласный"
кāл,"(в сочетании с предлогом *ас*) от края, от поверхности чего-л.; от"
кāл,"локативное служебное слово, указывающее место вверху чего-л.; в сочетании с локативными предлогами – также направление вверх, в сторону, к краю чего-л.: к, на; над; наверху, сверху"
миδен,"среди, между"
мобен,"(постпозитивно): между, среди"
пар,предлог орудийности
