cyrillic,meaning
мāш,"мест. 1-го л. мн. ч., употребляется адъективно, в притяжательной функции: наш"
мāш,"мест. 1-го л. мн. ч., употребляется субстантивно в косвенных функциях (часто с предлогами и послелогами): нам, нас и т.п."
мāш,"мест. 1-го л. мн. ч., употребляется субстантивно в функции подлежащего: мы"
маш,"мест. 1-го л. мн. ч., употребляется адъективно, в притяжательной функции: наш"
маш,"мест. 1-го л. мн. ч., употребляется субстантивно в косвенных функциях (часто с предлогами и послелогами): нам, нас и т.п."
маш,"мест. 1-го л. мн. ч., употребляется субстантивно в функции подлежащего: мы"
азор-таҳо,"всякое, разное; все"
азор-тао,"всякое, разное; все"
амдигар,"взаимно, друг с другом; друг друга; один другого; друг другу"
ар,"определит.: каждый; всякий, любой, весь"
арамард,"при субстантивации имеет значение адресата действия: тем, тому, что там (внизу, внутри)"
к-арамард,"при субстантивации имеет значение адресата действия: тем, тому, что там (внизу, внутри)"
арамирд,"при субстантивации имеет значение адресата действия: тем, тому, что там (внизу, внутри)"
к-арамирд,"при субстантивации имеет значение адресата действия: тем, тому, что там (внизу, внутри)"
арумард,"при субстантивации имеет значение адресата действия: тем, тому, что там (внизу, внутри)"
к-арумард,"при субстантивации имеет значение адресата действия: тем, тому, что там (внизу, внутри)"
аредард,"при субстантивации имеет значение адресата действия: тем, тому, что там (внизу, внутри)"
к-аредард,"при субстантивации имеет значение адресата действия: тем, тому, что там (внизу, внутри)"
аредра,"при субстантивации имеет значение адресата действия: тем, тому, что там (внизу, внутри)"
к-аредра,"при субстантивации имеет значение адресата действия: тем, тому, что там (внизу, внутри)"
аредирд,"при субстантивации имеет значение адресата действия: тем, тому, что там (внизу, внутри)"
к-аредирд,"при субстантивации имеет значение адресата действия: тем, тому, что там (внизу, внутри)"
а-редри,"при субстантивации имеет значение адресата действия: тем, тому, что там (внизу, внутри)"
а-рāнғāҷ,какой (бы) ни
ар-рāнғāҷ,какой (бы) ни
а-рāнғāҷ-аθ,какой (бы) ни
ар-рāнғāҷ-аθ,какой (бы) ни
а-рāнг-ца,что-то
ар-рāнг-ца,что-то
а-ранг-ца,что-то
ар-ранг-ца,что-то
ар-тāм,"каждый (кто), всякий; любой (человек)"
ар-тāн,"каждый (кто), всякий; любой (человек)"
а́р-цу̊н,все (что имеется)
а́р-цу̊нд,все (что имеется)
а́р-чāй,"каждый (кто); всякий, любой, кто бы ни... (о человеке)"
а́р-чи,"косв. к ар-чāй, употр. в различных косвенных позициях"
а́р-чê,"косв. к ар-чāй, употр. в различных косвенных позициях"
а́р-чӣ,"косв. к ар-чāй, употр. в различных косвенных позициях"
а́р-чиду̊м,"любой; каждый, какой бы ни"
а́р-чӣз,"кое-что, кое-какой (из вещей); все, что бы ни"
ар-чӣзин,"какой угодно; (сделанный) из чего угодно, из чего бы то ни было"
ач,"местоимение в вопросительных предложениях: разве; все же, все-таки; хоть"
ачаθ,"местоимение (с последующим отрицанием): вовсе, совсем; никак, никогда, ничто, ничего"
аччаθ,"местоимение (с последующим отрицанием): вовсе, совсем; никак, никогда, ничто, ничего"
ачча,"местоимение (с последующим отрицанием): вовсе, совсем; никак, никогда, ничто, ничего"
бāзи,"некоторые, кое-какие"
бāзе,"некоторые, кое-какие"
бêмадуни,"такой-то, поименованный (употребляется после предшествующего фалу̊ни)"
бемаду̊ни,"такой-то, поименованный (употребляется после предшествующего фалу̊ни)"
wам,в знач. мест.: ее(его)
wам,в ослабленном указательном значении в роли определенного артикля (всегда без частицы ик-)
wам,"в собственно указательном значении: ту (тот, то)"
wам,"косв. форма указ. мест. ж. р. дальн. ст. к прямой форме йā употребляется в знач. личн. мест.: ее (его), у нее (него) и т. п."
wим,в знач. мест.: ее(его)
wим,в ослабленном указательном значении в роли определенного артикля (всегда без частицы ик-)
wим,"в собственно указательном значении: ту (тот, то)"
wим,"косв. форма указ. мест. ж. р. дальн. ст. к прямой форме йā употребляется в знач. личн. мест.: ее (его), у нее (него) и т. п."
wāδ,адъективно в знач. указ. мест.: те
wāδ,в ослабленном указательном значении в роли определенного артикля (всегда без частицы ик-)
wāδ,"прямая форма указ. мест. дальн. ст. мн. ч.; употребляется субстантивно в знач. личн. мест.: они, те"
wā,адъективно в знач. указ. мест.: те
wā,в ослабленном указательном значении в роли определенного артикля (всегда без частицы ик-)
wā,"прямая форма указ. мест. дальн. ст. мн. ч.; употребляется субстантивно в знач. личн. мест.: они, те"
wев,адъективно: в ослабленном указательном значении в роли определенного артикля (всегда без частицы ик-)
wев,"адъективно: в собственно указательном значении: тех, тем, теми, (у) тех и т. п."
wев,в знач. притяж. мест.: их
wев,"косв. форма мн. ч. указ. мест. дальн. ст. к прямой форме wāδ (см.); употребляется субстантивно в знач. личн. мест.: их, им, ими, (у) них и т. п.; вторичн. мн. wевен; формы вторичн. множественного имеют значения: таких, такого рода, тех и прочих, подобных, остальных и т. п."
wеф,адъективно: в ослабленном указательном значении в роли определенного артикля (всегда без частицы ик-)
wеф,"адъективно: в собственно указательном значении: тех, тем, теми, (у) тех и т. п."
wеф,в знач. притяж. мест.: их
wеф,"косв. форма мн. ч. указ. мест. дальн. ст. к прямой форме wāδ (см.); употребляется субстантивно в знач. личн. мест.: их, им, ими, (у) них и т. п.; вторичн. мн. wевен; формы вторичн. множественного имеют значения: таких, такого рода, тех и прочих, подобных, остальных и т. п."
wе,адъективно: в ослабленном указательном значении в роли определенного артикля (всегда без частицы ик-)
wе,"адъективно: в собственно указательном значении: тех, тем, теми, (у) тех и т. п."
wе,в знач. притяж. мест.: их
wе,"косв. форма мн. ч. указ. мест. дальн. ст. к прямой форме wāδ (см.); употребляется субстантивно в знач. личн. мест.: их, им, ими, (у) них и т. п.; вторичн. мн. wевен; формы вторичн. множественного имеют значения: таких, такого рода, тех и прочих, подобных, остальных и т. п."
wи,"адъективно: в собственно указательном значении: того (ту, то)"
wи,в ослабленном указательном значении в роли определенного артикля (всегда без частицы ик-)
wи,"косв. форма указ. мест. дальн. ст. муж. р. к прямой форме йу (см); употребляется субстантивно в знач. личн. мест.: его (ее), (у) него (нее) и т. п."
wи,субстантивно в знач. притяж. мест.: его (ее)
дам,"в знач. личн. мест.: ее (его), (у) нее (него) и т. п."
дам,в знач. притяж. мест.: ее (его)
дам,в ослабленном указательном значении в роли определенного артикля (всегда без частицы ик-)
дам,"в собственно указательном значении: ту (тот, то); (у) той (того) и т. п."
дам,косв. форма указ. – личн. мест. ж. р. средн. ст. удаления к прямой форме йид (см. йид)
дим,"в знач. личн. мест.: ее (его), (у) нее (него) и т. п."
дим,в знач. притяж. мест.: ее (его)
дим,в ослабленном указательном значении в роли определенного артикля (всегда без частицы ик-)
дим,"в собственно указательном значении: ту (тот, то); (у) той (того) и т. п."
дим,косв. форма указ. – личн. мест. ж. р. средн. ст. удаления к прямой форме йид (см. йид)
дāδ,адъективно в значении указательного местоимения: те
дāδ,адъективно в ослабленном указательном значении в роли определенного артикля (всегда без частицы ик-)
дāδ,"субстантивно в значении личного местоимения: они, те, эти; они; эти; те"
дā,адъективно в значении указательного местоимения: те
дā,адъективно в ослабленном указательном значении в роли определенного артикля (всегда без частицы ик-)
дā,"субстантивно в значении личного местоимения: они, те, эти; они; эти; те"
дев,адъективно: в ослабленном указательном значении в роли определенного артикля (всегда без частицы ик-)
дев,"адъективно: в собственно указательном значении: тех, тем, теми, (у) тех и т. п."
дев,"вторичное мн. девен; формы вторичного множественного имеют значения: таких, такого рода, тех и прочих, подобных, остальных и т. п."
дев,"косв. форма указательно-личного местоимения мн. ч. средн. ст. удаления к прямой форме дāδ, употребляется 1. субстантивно: в значении личного местоимения: их, им, ими, (у) них и т. п."
дев,субстантивно в значении притяжательного местоимения: их
деф,адъективно: в ослабленном указательном значении в роли определенного артикля (всегда без частицы ик-)
деф,"адъективно: в собственно указательном значении: тех, тем, теми, (у) тех и т. п."
деф,"вторичное мн. девен; формы вторичного множественного имеют значения: таких, такого рода, тех и прочих, подобных, остальных и т. п."
деф,"косв. форма указательно-личного местоимения мн. ч. средн. ст. удаления к прямой форме дāδ, употребляется 1. субстантивно: в значении личного местоимения: их, им, ими, (у) них и т. п."
деф,субстантивно в значении притяжательного местоимения: их
дига́р-гад,"другой, другие"
дига́р-га,"другой, другие"
дига́р-гид,"другой, другие"
дига́р-ги,"другой, другие"
дис,"такой, таков"
дисāҷ,"такой, такого рода; такой-сякой"
ду̊нд,такой
ду̊н,такой
идик,уменьш.-ласк. к йид
ич,"ничто, ничего; никакой (при отрицании)"
йич,"ничто, ничего; никакой (при отрицании)"
йака-чӣн,"все до одного, от мала до велика"
йакдигар,друг друга; друг другу; взаимно
акдигар,друг друга; друг другу; взаимно
йам,"употребляется адъективно: этот, эта, это"
йам,"употребляется субстантивно: этот, эта, это; он(а), оно"
йā,"прямая форма указательно-личного местоимения ж. дальн. ст., употребляется адъективно: та, тот"
йā,"прямая форма указательно-личного местоимения ж. дальн. ст., употребляется субстантивно: она; та"
йи,в знач. местоимения при противопоставлении (один – другой)
йид,"прямая форма указательно-личного местоимения средн. ст., употребляется адъективно: (э)тот, (э)та, (э)то"
йид,"прямая форма указательно-личного местоимения средн. ст., употребляется адъективно: в ослабленном указательном значении в роли определенного артикля (всегда без частицы ик-)"
йид,"прямая форма указательно-личного местоимения средн. ст., употребляется субстантивно: (э)то, (э)тот, (э)та; он, она, оно"
к-ид,"прямая форма указательно-личного местоимения средн. ст., употребляется адъективно: (э)тот, (э)та, (э)то"
к-ид,"прямая форма указательно-личного местоимения средн. ст., употребляется адъективно: в ослабленном указательном значении в роли определенного артикля (всегда без частицы ик-)"
к-ид,"прямая форма указательно-личного местоимения средн. ст., употребляется субстантивно: (э)то, (э)тот, (э)та; он, она, оно"
йи́-рāнг,"ничто, ничего (при отрицании)"
йи́-рāнг,что-нибудь; что-то
йи́-ранг,"ничто, ничего (при отрицании)"
йи́-ранг,что-нибудь; что-то
йи́-рāнг-аθ,"как-нибудь, каким-либо образом"
йи́-рāнг-аθ,"ничто, ничего (при отрицании)"
йи́-ранг-аθ,"как-нибудь, каким-либо образом"
йи́-ранг-аθ,"ничто, ничего (при отрицании)"
йи́-ца,"ничто, ничего (при отрицании)"
йи́-ца,"что-нибудь, что-то"
и́-ца,"ничто, ничего (при отрицании)"
и́-ца,"что-нибудь, что-то"
йи́-цав,"ничто, ничего (при отрицании)"
йи́-цав,"что-нибудь, что-то"
йи́-чāй,"кто-нибудь, кто-л., некто"
йи́-чāй,"никто, никого (при отрицании)"
йи́-чи,"кого-л.; кого-нибудь; кому-л., кому-нибудь"
йи́-чи,"никого, никому (при отрицании)"
йи́-чӣз,"какой-л., какой-то"
йи́-чӣз,"нечто, что-нибудь"
йи́-чӣз,"ничто, ничего (при отрицании)"
и́-чӣз,"какой-л., какой-то"
и́-чӣз,"нечто, что-нибудь"
и́-чӣз,"ничто, ничего (при отрицании)"
йи́-чӣзаθ,"ничто, ничего (при отрицании)"
йӣw,в значении субстантивного местоимения при противопоставлении (один – другой)
йу,"прямая форма указательно-личного местоимения дальн. ст. м. р.; употребляется адъективно: тот (та, то)"
йу,прямая форма указательно-личного местоимения дальн. ст. м. р.; употребляется в ослабленном указательном значении в роли определенного артикля (всегда без частицы ик-)
йу,прямая форма указательно-личного местоимения дальн. ст. м. р.; употребляется субстантивно: то(т); он
к-ам,вариант указательного местоимения йам с усилительной частицей
к-ā,вариант мест. йā (см.)
кā́ҷа,"куда?, в каком направлении?"
кā́ҷад,"куда?, в каком направлении?"
кā́ҷо,"куда?, в каком направлении?"
кā́ҷи,"куда?, в каком направлении?"
кā́ҷид,"куда?, в каком направлении?"
кāҷуҳ,"куда?, в каком направлении?"
кочор,"то самое, это самое, как его"
ку́лаθ,"все, всё, весь, целиком"
ку́ллаθ,"все, всё, весь, целиком"
кулаки,"все, всё, весь, целиком"
куллаки,"все, всё, весь, целиком"
ку́ли,"весь, все, всё"
ку́лли,"весь, все, всё"
мам,в ослабленном указательном значении в роли определенного артикля (всегда без частицы ик-)
мам,"в собственно указательном значении эту (этот, это)"
мам,"косв. форма указ. мест, ближн. ст. ж. р. к прямой форме йам, к-ам"
мам,"личн. мест. ее (его), (у) нее (него) и т. п."
мам,"притяж. мест, ее (его)"
мим,в ослабленном указательном значении в роли определенного артикля (всегда без частицы ик-)
мим,"в собственно указательном значении эту (этот, это)"
мим,"косв. форма указ. мест, ближн. ст. ж. р. к прямой форме йам, к-ам"
мим,"личн. мест. ее (его), (у) нее (него) и т. п."
мим,"притяж. мест, ее (его)"
мāδ,прямая форма указательного местоимения мн. ч. ближн. ст.; употребляется адъективно в значении указательного местоимения: эти
мāδ,прямая форма указательного местоимения мн. ч. ближн. ст.; употребляется адъективно в ослабленном указательном значении в роли определенного артикля (всегда без частицы ик-)
мāδ,"прямая форма указательного местоимения мн. ч. ближн. ст.; употребляется субстантивно в значении личного местоимения: они, эти"
мā,прямая форма указательного местоимения мн. ч. ближн. ст.; употребляется адъективно в значении указательного местоимения: эти
мā,прямая форма указательного местоимения мн. ч. ближн. ст.; употребляется адъективно в ослабленном указательном значении в роли определенного артикля (всегда без частицы ик-)
мā,"прямая форма указательного местоимения мн. ч. ближн. ст.; употребляется субстантивно в значении личного местоимения: они, эти"
мев,"косв. форма указ. мест. мн. ч. ближн. ст. к прямой мāδ употребляется адъективно в собственно указательном значении: этих, этим, этими, (у) этих и т.п."
мев,"косв. форма указ. мест. мн. ч. ближн. ст. к прямой мāδ употребляется субстантивно в знач. личн. мест.: их, им, ими, (у) них и т.п."
меф,"косв. форма указ. мест. мн. ч. ближн. ст. к прямой мāδ употребляется адъективно в собственно указательном значении: этих, этим, этими, (у) этих и т.п."
меф,"косв. форма указ. мест. мн. ч. ближн. ст. к прямой мāδ употребляется субстантивно в знач. личн. мест.: их, им, ими, (у) них и т.п."
ме,"косв. форма указ. мест. мн. ч. ближн. ст. к прямой мāδ употребляется адъективно в собственно указательном значении: этих, этим, этими, (у) этих и т.п."
ме,"косв. форма указ. мест. мн. ч. ближн. ст. к прямой мāδ употребляется субстантивно в знач. личн. мест.: их, им, ими, (у) них и т.п."
ми,косв. форма указ. мест. ближн. ст. м. р. к прямой форме йам употребляется адъективно: в ослабленном указательном значении в роли определенного артикля (всегда без частицы ик-)
ми,косв. форма указ. мест. ближн. ст. м. р. к прямой форме йам употребляется адъективно: в собственно указательном значении
ми,"косв. форма указ. мест. ближн. ст. м. р. к прямой форме йам употребляется субстантивно: в знач. личн. мест.: его (ее, это), (у) него (нее, этого) и т.п"
ми,косв. форма указ. мест. ближн. ст. м. р. к прямой форме йам употребляется субстантивно: в знач. притяж. мест.: его
мо,вариант му (см.) при стяжениях
мо-т,< му́-ат (см. му)
му,"косв. ф. мест. 1-го л. ед. ч. к wуз, б. wаз употребляется в функции подлежащего (при однородных подлежащих) с союзом т, ат"
му,"косв. ф. мест. 1-го л. ед. ч. к wуз, б. wаз употребляется в функции подлежащего при переходных глаголах в прош. вр."
му,"косв. ф. мест. 1-го л. ед. ч. к wуз, б. wаз употребляется во всех косвенных функциях"
па́дамард,"при субстантивации имеет значение адресата действия: тем, тому, что там (наверху)"
па́дамирд,"при субстантивации имеет значение адресата действия: тем, тому, что там (наверху)"
па́думард,"при субстантивации имеет значение адресата действия: тем, тому, что там (наверху)"
са́ри,каждый
тама,"личное мест. 2-го л. мн. ч., употребляется в косвенных функциях с предлогами и послелогами: вам, вас и т. п."
тама,"личное мест. 2-го л. мн. ч., употребляется в притяжательной функции при имени в прямой и косвенной позиции"
тама,"личное мест. 2-го л. мн. ч., употребляется в функции подлежащего: вы, Вы"
таму̊м,"весь, все, всё"
ту,"употребляется адъективно, в притяжательной функции: твой"
ту,употребляется в выделительной функции (обычно постпозитивно с изафетом)
ту,"употребляется субстантивно, в прямой и косвенной функциях: ты"
фук,"употребляется адъективно: весь, вся, все, всякий, всякая, всякое; все; (в бдж. только препозитивно)"
фук,"употребляется субстантивно, в частности в описательных конструкциях превосходной степени: все, всё"
фукаθ,"все, всё (чаще субстантивно)"
фу́ка,"все, всё (чаще субстантивно)"
ху,возвр. себя
ху,свой (в прямой и косвенной позиции)
хо,возвр. себя
хо,свой (в прямой и косвенной позиции)
