cyrillic,meaning
йаттоw,"(тк. формы йа(д), йа́дет) ну-ка, давай(-ка); давайте(-ка)"
йатоw,"(тк. формы йа(д), йа́дет) ну-ка, давай(-ка); давайте(-ка)"
йаθч,"(тк. формы йа(д), йа́дет) ну-ка, давай(-ка); давайте(-ка)"
йиθч,"(тк. формы йа(д), йа́дет) ну-ка, давай(-ка); давайте(-ка)"
йат,"(тк. формы йа(д), йа́дет) ну-ка, давай(-ка); давайте(-ка)"
йад,"(тк. формы йа(д), йа́дет) ну-ка, давай(-ка); давайте(-ка)"
йа,"(тк. формы йа(д), йа́дет) ну-ка, давай(-ка); давайте(-ка)"
йаҳ,"(тк. формы йа(д), йа́дет) ну-ка, давай(-ка); давайте(-ка)"
йоδд,"(тк. формы йа(д), йа́дет) ну-ка, давай(-ка); давайте(-ка)"
а,"препозитивно в приименном употреблении при обращении к лицам: эй, о, а (сокр. от а́-ро, а-δа)"
а,"при обращении к животным (тк. в форме а-): прочь!, брысь!, киш!, вон!"
а,"в косвенном повелении, в бранных пожеланиях и проклятиях"
а,"в постпозитивном приглагольном употреблении при выражении одобрения, восхищения: вот так, ай да, ну и"
а,"с императивом при выражении досады, неудовольствия"
ā,"в косвенном повелении, в бранных пожеланиях и проклятиях"
ā,"в постпозитивном приглагольном употреблении при выражении одобрения, восхищения: вот так, ай да, ну и"
ā,"с императивом при выражении досады, неудовольствия"
йа,"в косвенном повелении, в бранных пожеланиях и проклятиях"
йа,"в постпозитивном приглагольном употреблении при выражении одобрения, восхищения: вот так, ай да, ну и"
йа,"с императивом при выражении досады, неудовольствия"
йā,"в косвенном повелении, в бранных пожеланиях и проклятиях"
йā,"в постпозитивном приглагольном употреблении при выражении одобрения, восхищения: вот так, ай да, ну и"
йā,"с императивом при выражении досады, неудовольствия"
аā,"в утвердительном значении: да, да-да; ага"
ā,"в утвердительном значении: да, да-да; ага"
аҳā,"в утвердительном значении: да, да-да; ага"
ави,"довольно, хватит, баста"
ай,"при обращении: о, эй"
ай-на,"вопросительная частица, с оттенком удивления; неужели?, разве?"
ай-на,"отрицательная частица: ой, нет!, да нет!"
ай-наҳ,"вопросительная частица, с оттенком удивления; неужели?, разве?"
ай-наҳ,"отрицательная частица: ой, нет!, да нет!"
ала,"говорят (будто бы), якобы, мол, дескать, де (при передаче чужой речи, в частности в пословицах и поговорках)"
ала,"как если бы, будто (бы), как бы"
а́-ла,"частица, употребляемая при пении стихов: ох, ой, эй, гой, гей"
е́-ла,"частица, употребляемая при пении стихов: ох, ой, эй, гой, гей"
у̊́-ла,"частица, употребляемая при пении стихов: ох, ой, эй, гой, гей"
а́-лā,"эй, (ты, вы); (по)слушай(те) (общая формула обращения)"
ани,"вопр.: не так ли?, что ли?"
анę,"вопр.: не так ли?, что ли?"
ар,"с оттенком усиления: такой!, уж такой!, (уж) так; какой (же)!"
атто,даже
ато,даже
ач,"частица, выражающая сомнение: едва ли, вряд ли"
ā,"употребляется для связи однородных членов предложения: а, но, да"
ā,"употребляется для связи последующего и предыдущего высказываний (в начале предложения): а, да"
ā,"употребляется для связи предложений: а, но"
ā,"эмоционально-усилительная постпозитивная частица: (так) ведь, же"
ā,"эмоционально-вопросительная частица при сказуемом: что ж, ведь, не так ж"
āм,"для сочинения предложений; и... и, как... так и"
āм,"употребляется для связи однородных членов предложения: и, а также, и... и"
āм-гад,"а также, тоже; к тому же"
āм-га,"а также, тоже; к тому же"
āм-гид,"а также, тоже; к тому же"
āм-ги,"а также, тоже; к тому же"
āна,"вот-вот, как только (с последующим союзом -ат)"
āна,"то есть, иначе говоря; так как"
āни,"вот-вот, как только (с последующим союзом -ат)"
āни,"то есть, иначе говоря; так как"
ба,"время: в, на"
ба,"направление действия: на, в; к"
ба,образ действия
ба,предлог (чаще употребляется с заимствованными из таджикского словами); указывает на
ба-доwи,направление: к
ба-доwи,"цель и намерение (с инфинитивом): для (того, чтобы)"
бали,"частица утверждения: да, так, конечно"
бале,"частица утверждения: да, так, конечно"
башāнд,"частица: хорошо, ладно, согласен"
башшāнд,"частица: хорошо, ладно, согласен"
бағер,"частица, выражающая предположение: наверное, должно быть, по всей вероятности, пожалуй; очевидно, возможно; кажется"
бор,"хоть, хотя бы, по крайней мере"
даδ,(при перфектной форме употр. для выражения вежливо-предупредительного пожелания): ...бы
дê,"глагольная частица, указывающая на постепенное развитие действия (часто с повтором)"
ди,"усилительная эмоциональная частица: как, и как"
ди-на,"эмоциональная: (ну) так, ну уж, тогда (уж), ладно (уж); (так) значит"
ди-на́-га,"эмоциональная: (ну) так, ну уж, тогда (уж), ладно (уж); (так) значит"
ди-на́-ги,"эмоциональная: (ну) так, ну уж, тогда (уж), ладно (уж); (так) значит"
дис,"так, так уж"
дис-наҳ,"как будто, будто бы"
дис-наҳ,"чтобы, ... бы (при выражении смягченного и косвенного пожелания)"
дис-на,"как будто, будто бы"
дис-на,"чтобы, ... бы (при выражении смягченного и косвенного пожелания)"
дис-най,"как будто, будто бы"
дис-най,"чтобы, ... бы (при выражении смягченного и косвенного пожелания)"
доwи,"в изафетной конструкции с последующим инфинитивом выражает склонность, намерение совершить какое-либо действие"
δар,"частица: прочь!, в сторону!, сторонись!, берегись!, отойди!"
дар,"частица: прочь!, в сторону!, сторонись!, берегись!, отойди!"
е,"(*постпозитивно в приименном и приглагольном употреблении; при усилении в сочетании с другими частицами обращения*): эй, э, а, о"
е,"(*препозитивно*): эй, ой, э, а, о; да, ну"
има,вариант указательной частицы йима
йа́к-бор,"ну-ка, -ка"
йи,"выделительная частица: лишь, только"
йи,определительно-усилительная частица: такой; так (часто с последующим (д)иди)
йида,указательная частица средн. ст. удаления: вот
ида,указательная частица средн. ст. удаления: вот
йиму̊-йима,"указательная частица ближн. ст.: вот тут, вот-вот"
йиму̊-йама,"указательная частица ближн. ст.: вот тут, вот-вот"
йуwу,"указательная частица дальн. ст. удаления: вон, вон там"
йиwа,"указательная частица дальн. ст. удаления: вон, вон там"
ко́шга,"усилительная: хоть, хоть бы; лишь бы; только бы"
ко́шгад,"усилительная: хоть, хоть бы; лишь бы; только бы"
ко́шги,"усилительная: хоть, хоть бы; лишь бы; только бы"
ко́шгид,"усилительная: хоть, хоть бы; лишь бы; только бы"
ку,"же; -то (при вопросе, недоумении, сомнении)"
ку,"ли, что ли (при вопросе)"
ку,"эмоциональная: а ну-ка, ну-ка, -ка"
лабай,"вопросительная: что прикажете?, что угодно?, что?, а?"
лаббай,"вопросительная: что прикажете?, что угодно?, что?, а?"
лӣш,"лишь, только, лишь только, всего лишь"
магар,"вопросительная: разве?, или?"
мис,"даже, (даже) и"
мис,"же, ведь, -то, уже, вот"
мис,"тоже, также, и"
на́wойи,неужели
на́wойи,"тем более, и подавно"
на́wо,неужели
на́wо,"тем более, и подавно"
на́йу̊,"вопросительная частица: неужели, разве"
на́йу̊,"отрицательная частица: нет (уж); ну, нет"
на́хо,"вопросительная частица: неужели, неужто; уж не... ли"
на́хо,не только
на́хо,"усилительная частица: (уж) столько, (уж) так много, уйма, тьма, прорва (чаще с последующе! частицей -нā)"
нā,"вопросительная эмоциональная частица: разве, неужели; ли"
нāла,"(частица, вводящая прямую речь) говорит, говорят"
нā,"(частица, вводящая прямую речь) говорит, говорят"
ног,"хоть бы, (желательно) чтобы; как бы (не)"
ногин,"хоть бы, (желательно) чтобы; как бы (не)"
но́то,"модальн. частица допустим, предположим"
но́то,"модальн. частица что ж, пожалуй"
но́то,усилительная частица даже
но́то,усилительная частица хоть бы
о,"частица обращения: эй (ты, вы)"
охир,"частица: ведь, же"
пай,"частица при кратком инфинитиве для выражения вероятного, ожидаемого действия"
пай,частица при кратком инфинитиве для выражения намерения
пай,"частица при кратком инфинитиве для выражения начала действия (при глаголах сāw: сут, кин: чӯд; δи: δод)"
пас,"частица со значением следствия: значит, следовательно; выходит, что; итак, ну так, ну"
тāм,"ну, же, ведь, да, уж"
тāмен,"ну, же, ведь, да, уж"
у̊,"частица обращения: эй, ой, о"
у̊н,утвердительная частица: да
у̊,утвердительная частица: да
хêр,"эмоциональная частица побуждения, выразительности, удивления: итак, в конце концов, так вот"
хêр,"эмоциональная частица побуждения, выразительности, удивления: ну; ну, ладно (хорошо); пусть"
хêр,"эмоциональная частица побуждения, выразительности, удивления: так, ведь"
хāй,"эмоциональная частица побуждения, выразительности, удивления: итак, в конце концов, так вот"
хāй,"эмоциональная частица побуждения, выразительности, удивления: ну; ну, ладно (хорошо); пусть"
хāй,"эмоциональная частица побуждения, выразительности, удивления: так, ведь"
хā́й-ат-чӣ́з,"да; ну, да; ну, конечно"
ху,возвр. при глаголе
хо,возвр. при глаголе
ху,"побудительная, выделительная; *ну*, *же*, *ведь*, *то*, *да*"
ху-рд,"побудительная, выделительная; *ну*, *же*, *ведь*, *то*, *да*"
х̌о,"вероятно, очевидно, по-видимому; кажется, быть может"
х̌о,оказывается
х̌о-лу,"вероятно, должно быть, может быть; (как) будто (бы)"
х̌о-лу̊,"вероятно, должно быть, может быть; (как) будто (бы)"
ца,"неопределенная, входит в состав ряда устойчивых местоименных и наречных оборотов"
чӣз,"разве?, ли?, неужели?"
чӣ,"разве?, ли?, неужели?"
ғал,"вот, это; это вот; ведь; же; уж"
қаст,"едва не, чуть (было) не"
қа́сти,"едва не, чуть (было) не"
йеро,к сожалению
йеро,обращение вроде *аро*
еро,к сожалению
еро,обращение вроде *аро*
ā,"препозитивно в приименном употреблении при обращении к лицам: эй, о, а (сокр. от а́-ро, а-δа)"
ā,"при обращении к животным (тк. в форме а-): прочь!, брысь!, киш!, вон!"
йа́дет,"(тк. формы йа(д), йа́дет) ну-ка, давай(-ка); давайте(-ка)"
ай-нā,"вопросительная частица, с оттенком удивления; неужели?, разве?"
ай-нā,"отрицательная частица: ой, нет!, да нет!"
йуwа,"указательная частица дальн. ст. удаления: вон, вон там"
кǫ,"же; -то (при вопросе, недоумении, сомнении)"
кǫ,"ли, что ли (при вопросе)"
кǫ,"эмоциональная: а ну-ка, ну-ка, -ка"
ди,"косв. форма указательно-личного местоимения м. р. средн. ст. удаления к прямой форме йид, употребляется адъективно в ослабленном указательном значении в роли определенного артикля"
на,нет (предикативно)
на,"отрицательная, частица: нет (противоп. у̊н)"
на,постпозитивная отрицательная частица: не
на,"усилительно-эмоциональная частица (в сочет. с аҷаб, на́хо): какой же, уж такой; что за; столько"
най,нет (предикативно)
най,"отрицательная, частица: нет (противоп. у̊н)"
най,постпозитивная отрицательная частица: не
най,"усилительно-эмоциональная частица (в сочет. с аҷаб, на́хо): какой же, уж такой; что за; столько"
нā,нет (предикативно)
нā,"отрицательная, частица: нет (противоп. у̊н)"
нā,постпозитивная отрицательная частица: не
нā,"усилительно-эмоциональная частица (в сочет. с аҷаб, на́хо): какой же, уж такой; что за; столько"
нāй,нет (предикативно)
нāй,"отрицательная, частица: нет (противоп. у̊н)"
нāй,постпозитивная отрицательная частица: не
нāй,"усилительно-эмоциональная частица (в сочет. с аҷаб, на́хо): какой же, уж такой; что за; столько"
наҳ,нет (предикативно)
наҳ,"отрицательная, частица: нет (противоп. у̊н)"
наҳ,постпозитивная отрицательная частица: не
наҳ,"усилительно-эмоциональная частица (в сочет. с аҷаб, на́хо): какой же, уж такой; что за; столько"
хếр-ат-чӣ́з,"да; ну, да; ну, конечно"
дę,"усилительная эмоциональная частица: как, и как"
ик-дис,"так, так уж"
а,частица обращения
ави,"довольно, баста"
дури,"будто бы, точно, можно сказать"
фақат,"только, лишь, исключительно"
фукаки,"всего, только, всего навсего"
ку,"ну-ка, ну"
лāк,"пусть, пускай"
мā,"не, чтобы не (запретительное отрицание)"
мис,"тоже, также, же"
муфт,"в выражениях типа: ну-ка попробуй, слабо тебе и т. п."
муфч,"в выражениях типа: ну-ка попробуй, слабо тебе и т. п."
на,не (отрицание при глаголе)
нā,"скрывать, не разглашать, утаивать в себе"
нāла,"говорят, будто бы"
нахо,"неужели, разве; не только"
нист,"нет, не имеется"
тāм,"ну, же"
у̊н,да (утверждение)
хêр,"ну, хорошо! нуте! ладно! пусть!"
х̌о,"вероятно, должно быть, может быть"
ху,"ну, -то, же"
йā,"ведь, -то"
йима,"вот, вон"
сирф,"только, ""чисто"""
абор,"ну-ка, -ка"
