cyrillic,meaning
анца,шить; зашивать; прошивать
ди,"бить, колотить, ударять; толочь, разбивать, раскалывать"
ди,"гнать, гонять, погонять; пускать"
ди,"критиковать, пропесочивать; чернить"
ди,"пить; хлебать; жрать, лопать и т.п."
ди,"пускать воду, поливать"
дę,"бить, колотить, ударять; толочь, разбивать, раскалывать"
дę,"гнать, гонять, погонять; пускать"
дę,"критиковать, пропесочивать; чернить"
дę,"пить; хлебать; жрать, лопать и т.п."
дę,"пускать воду, поливать"
δāδ,бодать
δāδ,"бросать, кидать; швырять"
δāδ,"бросаться; передвигаться, двигаться, добираться"
δāδ,"воздействовать, влиять, оказывать влияние, охватывать"
δāδ,"вспомогательный глагол, образует сложноименные глаголы активного значения"
δāδ,выдавать замуж
δāδ,давать; дарить; отдавать; предоставлять
δāδ,давить; жать
δāδ,делать; устраивать (в разн. знач.)
δāδ,играть (на музыкальном инструменте)
δāδ,"касаться, трогать, задевать (прям. и перен.)"
δāδ,"лопать, лакать, дуть, пить; жрать"
δāδ,одеваться
δāδ,передвигаться (в разн. знач.)
δāδ,"помещать, класть (в разн. знач.)"
δāδ,"разбивать, побеждать (в борьбе, в состязании); одолевать"
δāδ,ругать
δāδ,"связывать, соединять; добавлять, прибавлять"
δāδ,точить
δāδ,"тратить, расходовать"
δāδ,"убивать, подстреливать (на охоте)"
δāδ,"ударять, бить, стегать; вонзать, втыкать"
δа,бодать
δа,"бросать, кидать; швырять"
δа,"бросаться; передвигаться, двигаться, добираться"
δа,"воздействовать, влиять, оказывать влияние, охватывать"
δа,"вспомогательный глагол, образует сложноименные глаголы активного значения"
δа,выдавать замуж
δа,давать; дарить; отдавать; предоставлять
δа,давить; жать
δа,делать; устраивать (в разн. знач.)
δа,играть (на музыкальном инструменте)
δа,"касаться, трогать, задевать (прям. и перен.)"
δа,"лопать, лакать, дуть, пить; жрать"
δа,одеваться
δа,передвигаться (в разн. знач.)
δа,"помещать, класть (в разн. знач.)"
δа,"разбивать, побеждать (в борьбе, в состязании); одолевать"
δа,ругать
δа,"связывать, соединять; добавлять, прибавлять"
δа,точить
δа,"тратить, расходовать"
δа,"убивать, подстреливать (на охоте)"
δа,"ударять, бить, стегать; вонзать, втыкать"
δаҳ,бодать
δаҳ,"бросать, кидать; швырять"
δаҳ,"бросаться; передвигаться, двигаться, добираться"
δаҳ,"воздействовать, влиять, оказывать влияние, охватывать"
δаҳ,"вспомогательный глагол, образует сложноименные глаголы активного значения"
δаҳ,выдавать замуж
δаҳ,давать; дарить; отдавать; предоставлять
δаҳ,давить; жать
δаҳ,делать; устраивать (в разн. знач.)
δаҳ,играть (на музыкальном инструменте)
δаҳ,"касаться, трогать, задевать (прям. и перен.)"
δаҳ,"лопать, лакать, дуть, пить; жрать"
δаҳ,одеваться
δаҳ,передвигаться (в разн. знач.)
δаҳ,"помещать, класть (в разн. знач.)"
δаҳ,"разбивать, побеждать (в борьбе, в состязании); одолевать"
δаҳ,ругать
δаҳ,"связывать, соединять; добавлять, прибавлять"
δаҳ,точить
δаҳ,"тратить, расходовать"
δаҳ,"убивать, подстреливать (на охоте)"
δаҳ,"ударять, бить, стегать; вонзать, втыкать"
δā,бодать
δā,"бросать, кидать; швырять"
δā,"бросаться; передвигаться, двигаться, добираться"
δā,"воздействовать, влиять, оказывать влияние, охватывать"
δā,"вспомогательный глагол, образует сложноименные глаголы активного значения"
δā,выдавать замуж
δā,давать; дарить; отдавать; предоставлять
δā,давить; жать
δā,делать; устраивать (в разн. знач.)
δā,играть (на музыкальном инструменте)
δā,"касаться, трогать, задевать (прям. и перен.)"
δā,"лопать, лакать, дуть, пить; жрать"
δā,одеваться
δā,передвигаться (в разн. знач.)
δā,"помещать, класть (в разн. знач.)"
δā,"разбивать, побеждать (в борьбе, в состязании); одолевать"
δā,ругать
δā,"связывать, соединять; добавлять, прибавлять"
δā,точить
δā,"тратить, расходовать"
δā,"убивать, подстреливать (на охоте)"
δā,"ударять, бить, стегать; вонзать, втыкать"
жӣwҷ кин,любить; одобрять; уважать
жӣwҷ кин,"требоваться, быть нужным"
жӣwҷ кин,"хотеть, желать; намереваться"
зêз,"брать; взимать, взыскивать (в разн. знач.)"
зêз,"начинать (делать что-л.), приступать, приниматься (за что-л.)"
зêз,"освобождать, снимать (с должности)"
зêз,покупать
зêз,получать (в разн. знач.); принимать
зêз,снимать (напр. головной убор)
зêз,"убирать, собирать (урожай)"
зêз,"усваивать, выучивать"
зêз,"фотографировать, снимать, делать снимок"
зи,"брать; взимать, взыскивать (в разн. знач.)"
зи,"начинать (делать что-л.), приступать, приниматься (за что-л.)"
зи,"освобождать, снимать (с должности)"
зи,покупать
зи,получать (в разн. знач.); принимать
зи,снимать (напр. головной убор)
зи,"убирать, собирать (урожай)"
зи,"усваивать, выучивать"
зи,"фотографировать, снимать, делать снимок"
зę,"брать; взимать, взыскивать (в разн. знач.)"
зę,"начинать (делать что-л.), приступать, приниматься (за что-л.)"
зę,"освобождать, снимать (с должности)"
зę,покупать
зę,получать (в разн. знач.); принимать
зę,снимать (напр. головной убор)
зę,"убирать, собирать (урожай)"
зę,"усваивать, выучивать"
зę,"фотографировать, снимать, делать снимок"
зęҳ,"брать; взимать, взыскивать (в разн. знач.)"
зęҳ,"начинать (делать что-л.), приступать, приниматься (за что-л.)"
зęҳ,"освобождать, снимать (с должности)"
зęҳ,покупать
зęҳ,получать (в разн. знач.); принимать
зęҳ,снимать (напр. головной убор)
зęҳ,"убирать, собирать (урожай)"
зęҳ,"усваивать, выучивать"
зęҳ,"фотографировать, снимать, делать снимок"
йа,"(часто в сочетании с ас пиро) встречаться, попадаться, выходить навстречу; показываться"
йа,"вспомогательный глагол, образует сложноименные глаголы"
йа,"выходить, получаться"
йа,"приходить; прибывать, приезжать; возвращаться"
йа,"следовать, наступать, подходить (вслед за чем-л.)"
йаҳ,"(часто в сочетании с ас пиро) встречаться, попадаться, выходить навстречу; показываться"
йаҳ,"вспомогательный глагол, образует сложноименные глаголы"
йаҳ,"выходить, получаться"
йаҳ,"приходить; прибывать, приезжать; возвращаться"
йаҳ,"следовать, наступать, подходить (вслед за чем-л.)"
тий,дуть (о ветре)
тий,идти (о времени)
тий,"идти, течь, струиться (о потоке и т. п.)"
тий,"идти; ходить, ездить; отправляться, уезжать, улетать"
тий,"иметь течь, течь"
тий,"исходить, распространяться"
тий,ходить (о часах)
ти,дуть (о ветре)
ти,идти (о времени)
ти,"идти, течь, струиться (о потоке и т. п.)"
ти,"идти; ходить, ездить; отправляться, уезжать, улетать"
ти,"иметь течь, течь"
ти,"исходить, распространяться"
ти,ходить (о часах)
тê,дуть (о ветре)
тê,идти (о времени)
тê,"идти, течь, струиться (о потоке и т. п.)"
тê,"идти; ходить, ездить; отправляться, уезжать, улетать"
тê,"иметь течь, течь"
тê,"исходить, распространяться"
тê,ходить (о часах)
хāр,"вспомогательный глагол, входит в состав ряда сложноименных глаголов"
хāр,"есть, кушать, съедать; питаться"
хāр,"наслаждаться, кайфовать"
хāр,"расходовать, разбрасывать, тратить"
хāр,"упрекать, наказывать"
хаҳ,"вспомогательный глагол, входит в состав ряда сложноименных глаголов"
хаҳ,"есть, кушать, съедать; питаться"
хаҳ,"наслаждаться, кайфовать"
хаҳ,"расходовать, разбрасывать, тратить"
хаҳ,"упрекать, наказывать"
ха,"вспомогательный глагол, входит в состав ряда сложноименных глаголов"
ха,"есть, кушать, съедать; питаться"
ха,"наслаждаться, кайфовать"
ха,"расходовать, разбрасывать, тратить"
ха,"упрекать, наказывать"
кин,"(противоп. сāw:сут) вспомогательный глагол, образующий сложноименные глаголы, преимущественно активного (переходного) и реже среднего (непереходного) значения"
кин,"варить, готовить; печь"
кин,делать что-л. чем-л.; превращать
кин,"делать, выбирать, избирать (кем-л.); назначать"
кин,"делать, изготовлять, производить; создавать; выполнять, устраивать (что-л.)"
кин,"делать, поступать (определенным образом); заниматься чем-л."
кин,класть; помещать; сыпать; лить
кин,"одевать, надевать"
кин,"приготовлять; заготовлять; справлять, собирать"
кин,сост. часть сложных глаголов
кин,строить
ки,"(противоп. сāw:сут) вспомогательный глагол, образующий сложноименные глаголы, преимущественно активного (переходного) и реже среднего (непереходного) значения"
ки,"варить, готовить; печь"
ки,делать что-л. чем-л.; превращать
ки,"делать, выбирать, избирать (кем-л.); назначать"
ки,"делать, изготовлять, производить; создавать; выполнять, устраивать (что-л.)"
ки,"делать, поступать (определенным образом); заниматься чем-л."
ки,класть; помещать; сыпать; лить
ки,"одевать, надевать"
ки,"приготовлять; заготовлять; справлять, собирать"
ки,сост. часть сложных глаголов
ки,строить
кęҳ,"(противоп. сāw:сут) вспомогательный глагол, образующий сложноименные глаголы, преимущественно активного (переходного) и реже среднего (непереходного) значения"
кęҳ,"варить, готовить; печь"
кęҳ,делать что-л. чем-л.; превращать
кęҳ,"делать, выбирать, избирать (кем-л.); назначать"
кęҳ,"делать, изготовлять, производить; создавать; выполнять, устраивать (что-л.)"
кęҳ,"делать, поступать (определенным образом); заниматься чем-л."
кęҳ,класть; помещать; сыпать; лить
кęҳ,"одевать, надевать"
кęҳ,"приготовлять; заготовлять; справлять, собирать"
кęҳ,сост. часть сложных глаголов
кęҳ,строить
кę,"(противоп. сāw:сут) вспомогательный глагол, образующий сложноименные глаголы, преимущественно активного (переходного) и реже среднего (непереходного) значения"
кę,"варить, готовить; печь"
кę,делать что-л. чем-л.; превращать
кę,"делать, выбирать, избирать (кем-л.); назначать"
кę,"делать, изготовлять, производить; создавать; выполнять, устраивать (что-л.)"
кę,"делать, поступать (определенным образом); заниматься чем-л."
кę,класть; помещать; сыпать; лить
кę,"одевать, надевать"
кę,"приготовлять; заготовлять; справлять, собирать"
кę,сост. часть сложных глаголов
кę,строить
кê,"(противоп. сāw:сут) вспомогательный глагол, образующий сложноименные глаголы, преимущественно активного (переходного) и реже среднего (непереходного) значения"
кê,"варить, готовить; печь"
кê,делать что-л. чем-л.; превращать
кê,"делать, выбирать, избирать (кем-л.); назначать"
кê,"делать, изготовлять, производить; создавать; выполнять, устраивать (что-л.)"
кê,"делать, поступать (определенным образом); заниматься чем-л."
кê,класть; помещать; сыпать; лить
кê,"одевать, надевать"
кê,"приготовлять; заготовлять; справлять, собирать"
кê,сост. часть сложных глаголов
кê,строить
анҷа,"(*прям.*) держать; держать(ся), брать(ся), хватать(ся)"
анҷа,"брать в жены, жениться"
анҷа,"держать себя, держаться"
анҷа,"задерживать, удерживать"
анҷа,занимать место; захватывать
анҷа,"класть сверху, накладывать; покрывать"
анҷа,"ловить; поймать, схватить"
анҷа,"приступать к рассказу, начинать рассказывать"
анҷа,"схватить, одолеть (о болезни)"
инҷа,"(*прям.*) держать; держать(ся), брать(ся), хватать(ся)"
инҷа,"брать в жены, жениться"
инҷа,"держать себя, держаться"
инҷа,"задерживать, удерживать"
инҷа,занимать место; захватывать
инҷа,"класть сверху, накладывать; покрывать"
инҷа,"ловить; поймать, схватить"
инҷа,"приступать к рассказу, начинать рассказывать"
инҷа,"схватить, одолеть (о болезни)"
ва,"жениться, брать в жены"
ва,"переводить; переносить, перевозить; перегонять"
ва,"приглашать, звать (в гости)"
ва,"приносить, приводить, привозить"
ва,"рожать; давать, приносить приплод; нести яйца"
ва,"тк. формы шб. ва, ваҳ и сокр. 2-е л. мн. ч. наст. ш. вет: ну(-ка), давай(-ка)"
вā,"жениться, брать в жены"
вā,"переводить; переносить, перевозить; перегонять"
вā,"приглашать, звать (в гости)"
вā,"приносить, приводить, привозить"
вā,"рожать; давать, приносить приплод; нести яйца"
вā,"тк. формы шб. ва, ваҳ и сокр. 2-е л. мн. ч. наст. ш. вет: ну(-ка), давай(-ка)"
вāҳ,"жениться, брать в жены"
вāҳ,"переводить; переносить, перевозить; перегонять"
вāҳ,"приглашать, звать (в гости)"
вāҳ,"приносить, приводить, привозить"
вāҳ,"рожать; давать, приносить приплод; нести яйца"
вāҳ,"тк. формы шб. ва, ваҳ и сокр. 2-е л. мн. ч. наст. ш. вет: ну(-ка), давай(-ка)"
сā,(редко) вспомогательный глагол в составе сложноименных глаголов с переходным значением
сā,"(с предлогом тар) походить на кого-либо, удаваться в кого-либо"
сā,"быть, приходиться кем-л. кому-л."
сā,"быть, происходить, случаться"
сā,"водиться, встречаться; произрастать"
сā,"вспомогательный глагол в начинательных конструкциях с кратким инфинитивом или именем глагольного значения (обычно в сочетании со служебными словами дар, дараw, чи, пай, даwу̊м)"
сā,"вспомогательный глагол сложноименных глаголов с непереходным значением (противоп. кин: чӯд, δāδ:δод)"
сā,"деваться, пропадать"
сā,"идти, ехать, отправляться; доходить (до предела)"
сā,"наступать, исполняться; проходить"
сā,"получаться, выходить"
сā,попадать
сā,"появляться, возникать; рождаться"
сā,"становиться, делаться, превращаться"
сā,тк. в форме су́т-ат(ā) (подчинительный союз) если
сāw,(редко) вспомогательный глагол в составе сложноименных глаголов с переходным значением
сāw,"(с предлогом тар) походить на кого-либо, удаваться в кого-либо"
сāw,"быть, приходиться кем-л. кому-л."
сāw,"быть, происходить, случаться"
сāw,"водиться, встречаться; произрастать"
сāw,"вспомогательный глагол в начинательных конструкциях с кратким инфинитивом или именем глагольного значения (обычно в сочетании со служебными словами дар, дараw, чи, пай, даwу̊м)"
сāw,"вспомогательный глагол сложноименных глаголов с непереходным значением (противоп. кин: чӯд, δāδ:δод)"
сāw,"деваться, пропадать"
сāw,"идти, ехать, отправляться; доходить (до предела)"
сāw,"наступать, исполняться; проходить"
сāw,"получаться, выходить"
сāw,попадать
сāw,"появляться, возникать; рождаться"
сāw,"становиться, делаться, превращаться"
сāw,тк. в форме су́т-ат(ā) (подчинительный союз) если
йа́дет,"(часто в сочетании с ас пиро) встречаться, попадаться, выходить навстречу; показываться"
йа́дет,"вспомогательный глагол, образует сложноименные глаголы"
йа́дет,"выходить, получаться"
йа́дет,"приходить; прибывать, приезжать; возвращаться"
йа́дет,"следовать, наступать, подходить (вслед за чем-л.)"
бих̌ча,"хватать, захватывать"
бих̌ча,"черпать, зачерпывать; разливать; наливать; сгребать; рассыпать, насыпать (жидкости и сыпучие вещества)"
бах̌ча,"хватать, захватывать"
бах̌ча,"черпать, зачерпывать; разливать; наливать; сгребать; рассыпать, насыпать (жидкости и сыпучие вещества)"
инца,шить; зашивать; прошивать
па́рҷи,"брать; отнимать, отбирать, забирать"
пати,"бросать, кидать (в разн. знач.)"
пати,"валить, взваливать"
пати,"вычитывать, убавлять, сбрасывать"
пати,"задавать, бросать корм"
пати,"класть, помещать"
пати,оставлять; покидать; бросать
пати,"подбрасывать, подвозить, довозить"
пати,"поручать, перепоручать; доверять кому-л."
пати,ронять
лу̊д,"говорить, петь, называть"
лу̊,"говорить, петь, называть"
анцāв,шить
анца,шить
анҷāв,"держать, приобретать, овладевать, брать, ловить"
анҷа,"держать, приобретать, овладевать, брать, ловить"
бих̌чāр,"черпать, зачерпывать (жидкость, зерно)"
бих̌ча,"черпать, зачерпывать (жидкость, зерно)"
кин,делать
ки,делать
них̌па,"наступить ногой, придавить, раздавить ногой"
них̌пāр,"наступить ногой, придавить, раздавить ногой"
паттêw,"бросать, валить"
патêw,"бросать, валить"
питтêw,"бросать, валить"
питêw,"бросать, валить"
патти,"бросать, валить"
пати,"бросать, валить"
питти,"бросать, валить"
пити,"бросать, валить"
сāw,"делаться, становиться"
сāw,"отправляться, идти, уходить, уехать, уезжать"
са,"делаться, становиться"
са,"отправляться, идти, уходить, уехать, уезжать"
ти,"идти, ехать"
