cyrillic,meaning
анҷа,"(*прям.*) держать; держать(ся), брать(ся), хватать(ся)"
инҷа,"(*прям.*) держать; держать(ся), брать(ся), хватать(ся)"
анҷа,"ловить; поймать, схватить"
инҷа,"ловить; поймать, схватить"
анҷа,"задерживать, удерживать"
инҷа,"задерживать, удерживать"
анҷа,занимать место; захватывать
инҷа,занимать место; захватывать
анҷа,"схватить, одолеть (о болезни)"
инҷа,"схватить, одолеть (о болезни)"
анҷа,"брать в жены, жениться"
инҷа,"брать в жены, жениться"
анҷа,"класть сверху, накладывать; покрывать"
инҷа,"класть сверху, накладывать; покрывать"
анҷа,"приступать к рассказу, начинать рассказывать"
инҷа,"приступать к рассказу, начинать рассказывать"
бах̌ча,"черпать, зачерпывать; разливать; наливать; сгребать; рассыпать, насыпать (жидкости и сыпучие вещества)"
бих̌ча,"черпать, зачерпывать; разливать; наливать; сгребать; рассыпать, насыпать (жидкости и сыпучие вещества)"
бах̌ча,"хватать, захватывать"
бих̌ча,"хватать, захватывать"
δā,давать; дарить; отдавать; предоставлять
δа,давать; дарить; отдавать; предоставлять
δаҳ,давать; дарить; отдавать; предоставлять
δā,выдавать замуж
δа,выдавать замуж
δаҳ,выдавать замуж
δā,"ударять, бить, стегать; вонзать, втыкать"
δа,"ударять, бить, стегать; вонзать, втыкать"
δаҳ,"ударять, бить, стегать; вонзать, втыкать"
δā,бодать
δа,бодать
δаҳ,бодать
δā,"разбивать, побеждать (в борьбе, в состязании); одолевать"
δа,"разбивать, побеждать (в борьбе, в состязании); одолевать"
δаҳ,"разбивать, побеждать (в борьбе, в состязании); одолевать"
δā,"убивать, подстреливать (на охоте)"
δа,"убивать, подстреливать (на охоте)"
δаҳ,"убивать, подстреливать (на охоте)"
δā,давить; жать
δа,давить; жать
δаҳ,давить; жать
δā,"бросать, кидать; швырять"
δа,"бросать, кидать; швырять"
δаҳ,"бросать, кидать; швырять"
δā,"касаться, трогать, задевать (прям. и перен.)"
δа,"касаться, трогать, задевать (прям. и перен.)"
δаҳ,"касаться, трогать, задевать (прям. и перен.)"
δā,точить
δа,точить
δаҳ,точить
δā,играть (на музыкальном инструменте)
δа,играть (на музыкальном инструменте)
δаҳ,играть (на музыкальном инструменте)
δā,"помещать, класть (в разн. знач.)"
δа,"помещать, класть (в разн. знач.)"
δаҳ,"помещать, класть (в разн. знач.)"
δā,"связывать, соединять; добавлять, прибавлять"
δа,"связывать, соединять; добавлять, прибавлять"
δаҳ,"связывать, соединять; добавлять, прибавлять"
δā,"воздействовать, влиять, оказывать влияние, охватывать"
δа,"воздействовать, влиять, оказывать влияние, охватывать"
δаҳ,"воздействовать, влиять, оказывать влияние, охватывать"
δā,передвигаться (в разн. знач.)
δа,передвигаться (в разн. знач.)
δаҳ,передвигаться (в разн. знач.)
δā,делать; устраивать (в разн. знач.)
δа,делать; устраивать (в разн. знач.)
δаҳ,делать; устраивать (в разн. знач.)
δā,ругать
δа,ругать
δаҳ,ругать
δā,"тратить, расходовать"
δа,"тратить, расходовать"
δаҳ,"тратить, расходовать"
δā,"лопать, лакать, дуть, пить; жрать"
δа,"лопать, лакать, дуть, пить; жрать"
δаҳ,"лопать, лакать, дуть, пить; жрать"
δā,одеваться
δа,одеваться
δаҳ,одеваться
δā,"бросаться; передвигаться, двигаться, добираться"
δа,"бросаться; передвигаться, двигаться, добираться"
δаҳ,"бросаться; передвигаться, двигаться, добираться"
δā,"вспомогательный глагол, образует сложноименные глаголы активного значения"
δа,"вспомогательный глагол, образует сложноименные глаголы активного значения"
δаҳ,"вспомогательный глагол, образует сложноименные глаголы активного значения"
зę,"брать; взимать, взыскивать (в разн. знач.)"
зęҳ,"брать; взимать, взыскивать (в разн. знач.)"
зи,"брать; взимать, взыскивать (в разн. знач.)"
зę,получать (в разн. знач.); принимать
зęҳ,получать (в разн. знач.); принимать
зи,получать (в разн. знач.); принимать
зę,покупать
зęҳ,покупать
зи,покупать
зę,снимать (напр. головной убор)
зęҳ,снимать (напр. головной убор)
зи,снимать (напр. головной убор)
зę,"освобождать, снимать (с должности)"
зęҳ,"освобождать, снимать (с должности)"
зи,"освобождать, снимать (с должности)"
зę,"фотографировать, снимать, делать снимок"
зęҳ,"фотографировать, снимать, делать снимок"
зи,"фотографировать, снимать, делать снимок"
зę,"убирать, собирать (урожай)"
зęҳ,"убирать, собирать (урожай)"
зи,"убирать, собирать (урожай)"
зę,"усваивать, выучивать"
зęҳ,"усваивать, выучивать"
зи,"усваивать, выучивать"
зę,"начинать (делать что-л.), приступать, приниматься (за что-л.)"
зęҳ,"начинать (делать что-л.), приступать, приниматься (за что-л.)"
зи,"начинать (делать что-л.), приступать, приниматься (за что-л.)"
па́рҷи,"брать; отнимать, отбирать, забирать"
пати,"бросать, кидать (в разн. знач.)"
пати,"класть, помещать"
пати,оставлять; покидать; бросать
пати,ронять
пати,"задавать, бросать корм"
пати,"валить, взваливать"
пати,"подбрасывать, подвозить, довозить"
пати,"вычитывать, убавлять, сбрасывать"
пати,"поручать, перепоручать; доверять кому-л."
ха,"есть, кушать, съедать; питаться"
хаҳ,"есть, кушать, съедать; питаться"
ха,"расходовать, разбрасывать, тратить"
хаҳ,"расходовать, разбрасывать, тратить"
ха,"наслаждаться, кайфовать"
хаҳ,"наслаждаться, кайфовать"
ха,"упрекать, наказывать"
хаҳ,"упрекать, наказывать"
ха,"вспомогательный глагол, входит в состав ряда сложноименных глаголов"
хаҳ,"вспомогательный глагол, входит в состав ряда сложноименных глаголов"
кê,"делать, поступать (определенным образом); заниматься чем-л."
кę,"делать, поступать (определенным образом); заниматься чем-л."
кęҳ,"делать, поступать (определенным образом); заниматься чем-л."
ки,"делать, поступать (определенным образом); заниматься чем-л."
кê,"делать, изготовлять, производить; создавать; выполнять, устраивать (что-л.)"
кę,"делать, изготовлять, производить; создавать; выполнять, устраивать (что-л.)"
кęҳ,"делать, изготовлять, производить; создавать; выполнять, устраивать (что-л.)"
ки,"делать, изготовлять, производить; создавать; выполнять, устраивать (что-л.)"
кê,делать что-л. чем-л.; превращать
кę,делать что-л. чем-л.; превращать
