cyrillic,meaning
аwтоw,"плакать, реветь (о ребенке)"
аwездоw,"вешать, развешивать, подвешивать"
аwеӡдоw,"вешать, развешивать, подвешивать"
аwездоw,"вешать, казнить через повешение"
аwеӡдоw,"вешать, казнить через повешение"
аɣ̌āнтоw,"покрывать, укрывать; укутывать (напр. одеялом)"
агāнтоw,"покрывать, укрывать; укутывать (напр. одеялом)"
аθактоw,тяжело дышать; задыхаться (от жары)
аθêртоw,передавать (из рук в руки); протягивать; отдавать
ажêртоw,"мочить, смачивать, размачивать (кауз. к ш. ажир, б. нижир)"
нижêртоw,"мочить, смачивать, размачивать (кауз. к ш. ажир, б. нижир)"
ажиртоw,"мокнуть, намокнуть, размокать, намокать"
нижиртоw,"мокнуть, намокнуть, размокать, намокать"
анактоw,"трудиться, возиться; хлопотать"
анафцтоw,"мокнуть, размягчаться"
анафцтоw,размягчаться
анафцтоw,распариться (от жары)
ангтоw,"плакать, реветь (о ребенке)"
ангахтоw,попадать; застревать; вонзаться
ангихтоw,попадать; застревать; вонзаться
ингихтоw,попадать; застревать; вонзаться
йингихтоw,попадать; застревать; вонзаться
ангахтоw,"задевать, касаться"
ангихтоw,"задевать, касаться"
ингихтоw,"задевать, касаться"
йингихтоw,"задевать, касаться"
ангахтоw,"заикаться, запинаться"
ангихтоw,"заикаться, запинаться"
ингихтоw,"заикаться, запинаться"
йингихтоw,"заикаться, запинаться"
ангахтоw,"попадать впросак; оказываться в трудном положении, испытывать трудности, затрудняться"
ангихтоw,"попадать впросак; оказываться в трудном положении, испытывать трудности, затрудняться"
ингихтоw,"попадать впросак; оказываться в трудном положении, испытывать трудности, затрудняться"
йингихтоw,"попадать впросак; оказываться в трудном положении, испытывать трудности, затрудняться"
ангу̊хтоw,"путать, запутывать; сбивать с пути"
ингу̊хтоw,"путать, запутывать; сбивать с пути"
ангу̊хтоw,"заставлять поперхнуться, подавиться"
ингу̊хтоw,"заставлять поперхнуться, подавиться"
ангу̊хтоw,вводить в нужду
ингу̊хтоw,вводить в нужду
андӣдоw,"вставать, подниматься"
индӣдоw,"вставать, подниматься"
андӣдоw,"вставать, подниматься (с постели); просыпаться, пробуждаться (ото сна)"
индӣдоw,"вставать, подниматься (с постели); просыпаться, пробуждаться (ото сна)"
андӣдоw,"уходить, покидать"
индӣдоw,"уходить, покидать"
андӣдоw,"отставать, отделяться, отходить, отлипать"
индӣдоw,"отставать, отделяться, отходить, отлипать"
андӣдоw,"увеличиваться (об объеме, размере, количестве, уровне и т. д.)"
индӣдоw,"увеличиваться (об объеме, размере, количестве, уровне и т. д.)"
андӣдоw,"вырастать, подрастать (напр., о детях)"
индӣдоw,"вырастать, подрастать (напр., о детях)"
андӣдоw,"расти, вырастать; прорастать, появляться (о всходах растений)"
индӣдоw,"расти, вырастать; прорастать, появляться (о всходах растений)"
андӣдоw,"продвигаться по службе, идти в гору, делать карьеру"
индӣдоw,"продвигаться по службе, идти в гору, делать карьеру"
андӣдоw,"начинаться, возникать"
индӣдоw,"начинаться, возникать"
анду̊здоw,"будить, поднимать (с места, с постели)"
инду̊здоw,"будить, поднимать (с места, с постели)"
анцӣвдоw,шить; зашивать; прошивать
инцӣвдоw,шить; зашивать; прошивать
анҷафцтоw,"начинаться, идти (об осадках)"
инҷафцтоw,"начинаться, идти (об осадках)"
анҷӣвдоw,"(*прям.*) держать; держать(ся), брать(ся), хватать(ся)"
инҷӣвдоw,"(*прям.*) держать; держать(ся), брать(ся), хватать(ся)"
анҷӣвдоw,"ловить; поймать, схватить"
инҷӣвдоw,"ловить; поймать, схватить"
анҷӣвдоw,"задерживать, удерживать"
инҷӣвдоw,"задерживать, удерживать"
анҷӣвдоw,занимать место; захватывать
инҷӣвдоw,занимать место; захватывать
анҷӣвдоw,"схватить, одолеть (о болезни)"
инҷӣвдоw,"схватить, одолеть (о болезни)"
анҷӣвдоw,"брать в жены, жениться"
инҷӣвдоw,"брать в жены, жениться"
анҷӣвдоw,"класть сверху, накладывать; покрывать"
инҷӣвдоw,"класть сверху, накладывать; покрывать"
анҷӣвдоw,"приступать к рассказу, начинать рассказывать"
инҷӣвдоw,"приступать к рассказу, начинать рассказывать"
арах̌тоw,"прыгать, подскакивать; тянуться (вверх); подниматься на дыбы"
арих̌тоw,"прыгать, подскакивать; тянуться (вверх); подниматься на дыбы"
аррах̌тоw,"прыгать, подскакивать; тянуться (вверх); подниматься на дыбы"
аррих̌тоw,"прыгать, подскакивать; тянуться (вверх); подниматься на дыбы"
арах̌тоw,"бить ключом, струей; брызгать"
арих̌тоw,"бить ключом, струей; брызгать"
аррах̌тоw,"бить ключом, струей; брызгать"
аррих̌тоw,"бить ключом, струей; брызгать"
арах̌тоw,"чваниться, пыжиться, задирать нос, зазнаваться"
арих̌тоw,"чваниться, пыжиться, задирать нос, зазнаваться"
аррах̌тоw,"чваниться, пыжиться, задирать нос, зазнаваться"
аррих̌тоw,"чваниться, пыжиться, задирать нос, зазнаваться"
арδӣх̌цтоw,"сниться, грезиться во сне"
арδӣх̌цтоw,"болтать, наговаривать (на кого-л)"
бизӣдоw,"помещать (в загон, хлев и т.д.), загонять (скот, домашнюю птицу)"
бизӣдоw,"арестовывать, заключать в тюрьму"
бизӣдоw,"помещать; загонять; вносить, вводить (по отношению к одушевленным и неодушевленным предметам)"
бийу̊доw,чесаться (о носе)
бийу̊ӡдоw,чесаться (о носе)
бийӣwдоw,чесаться (о носе)
бийу̊ӡдоw,"раскалывать, разбивать, дробить, членить (голову животного перед ее варкой)"
бийу̊ӡдоw,"расшибать, разбивать (при угрозе)"
бинêстоw,"терять, девать"
бинêстоw,"тратить, расходовать"
бинêстоw,"губить, уничтожать, изводить"
бинêстоw,"гнать, выгонять, прогонять; удалять"
бирифтоw,"работать, трудиться, заниматься чем-л"
биридоw,перестать питаться материнским молоком; бросить сосать (грудь)
бирêwдоw,"отнимать от груди, переставать кормить молоком; отнимать от матки (молодняк)"
бирêwтоw,"отнимать от груди, переставать кормить молоком; отнимать от матки (молодняк)"
бирêх̌тоw,пить
бисхиртоw,"трогать, дотрагиваться, касаться; затрагивать (прям. и перен.)"
бих̌чӣдоw,"черпать, зачерпывать; разливать; наливать; сгребать; рассыпать, насыпать (жидкости и сыпучие вещества)"
бих̌чӣдоw,"хватать, захватывать"
биwайсентоw,"доводить до распухания, набухания; делать пухлым, раздувать"
биɣ̌айсентоw,"доводить до распухания, набухания; делать пухлым, раздувать"
биwистоw,"опухать, распухать; вздуваться, раздуваться, пучить"
биɣ̌едоw,"опухать, распухать; вздуваться, раздуваться, пучить"
биɣ̌истоw,"опухать, распухать; вздуваться, раздуваться, пучить"
биwистоw,"дуться, обижаться"
биɣ̌едоw,"дуться, обижаться"
биɣ̌истоw,"дуться, обижаться"
бӣлтоw,"говорить, рассказывать; шептать"
бêх̌тоw,"играть, заниматься игрой (в мяч, кости, поло и т. п.)"
бêх̌тоw,"посылать, отправлять, отсылать"
бубездоw,"обходить, объезжать"
бубрездоw,"обходить, объезжать"
буртоw,квакать
бурздоw,"дрожать, трепетать"
бу́чақентоw,"прыгать, бросаться, кидаться (как козел)"
бу́чақу̊нтоw,"прыгать, бросаться, кидаться (как козел)"
буғдоw,жужжать (о насекомых)
бӣwтоw,"рыдать, плакать"
бӯwтоw,"рыдать, плакать"
бу̊ғдоw,"мычать, реветь (о крупном рогатом скоте)"
бу̊ғдоw,"шуметь, кричать, орать, реветь"
бу̊ғдоw,"насмехаться, обсмеивать"
вāр-δêдоw,"мочь, быть в состоянии"
вāр-δêдоw,"справляться, одолевать, осиливать"
вāр-δêдоw,уметь
виwӣдоw,"отказываться от еды, переставать есть"
видêӡдоw,"орошать, поливать"
видӣwдоw,"орошать, поливать"
вирих̌тоw,"ломать; бить, разбивать, колоть, рубить"
вирих̌тоw,"обрабатывать (землю), пахать, поднимать зябь"
вирих̌тоw,"утолять (жажду, голод)"
вирих̌тоw,"пугать, спугнуть (куропатку)"
вирих̌тоw,"ломаться, разбиваться; раскалываться"
авӣдоw,"находить, отыскивать, обнаруживать"
вирêдоw,"находить, отыскивать, обнаруживать"
вӣстоw,"связывать, завязывать, привязывать; перевязывать"
вӣстоw,"заключать (напр., договор)"
вӣстоw,"застывать, густеть; леденеть, замерзать"
вӣстоw,"околдовывать, заколдовывать"
wарвентоw,"кипятить, варить"
wарвентоw,"печь, палить"
wарвентоw,"болтать, разглагольствовать"
wарwарθтоw,"возиться, двигаться; шевелиться; барахтаться"
wарwарθтоw,"искать, шарить (руками)"
wарwарθтоw,"привыкать, привязываться; симпатизировать"
wарwарθтоw,"перевертываться, ворочаться"
wарwêх̌тоw,"ворочать, перевертывать, шевелить, двигать, перевертывая"
wарδидоw,"болтать; сочинять, фантазировать"
wарδӣртоw,развлекать; утешать
wарδу̊ӡдоw,"очищать, отделять (напр. абрикосы от косточек, горох от кожуры)"
wарδӣwдоw,"очищать, отделять (напр. абрикосы от косточек, горох от кожуры)"
wарθāптоw,"болтать, говорить; фантазировать"
wарθāптоw,"искать, шарить, нащупывать (рукой)"
wақтоw,"петь, ворковать, верещать (о куропатке)"
wāздоw,"плавать, купаться"
wӣх̌тоw,"плавать, купаться"
wӣрвдоw,кипеть; вариться
wӣрвдоw,"шевелиться; возиться; баловаться; бегать, носиться"
wāрêздоw,"ударять, бить, стучать"
wāрêздоw,"подстреливать, подбивать"
wӣфтоw,ткать; вязать; плести; вить
wӣфтоw,"выдумывать, плести небылицы, нести вздор"
wāштоw,"размахивать, махать руками (при ходьбе)"
wāштоw,"отделять солому, сор от зерна (при веянии)"
wағдоw,"плакать навзрыд, реветь, рыдать"
wағдоw,"кричать, орать; грубить"
wағдоw,"выть, завывать (о ветре)"
wеδдоw,"класть, накладывать, укладывать; ставить"
wеδдоw,"стелить, расстилать; раскладывать"
wеδдоw,"вставлять, втыкать; вкладывать"
wеδдоw,"помещать, устраивать, определять"
wеδдоw,"организовывать, устраивать; налаживать, устанавливать"
wеδдоw,ставить отметку
wеδдоw,"вводить, вносить; загонять"
wеδдоw,"давать, накладывать, подбрасывать (корм); кормить (животных, птиц)"
wеδдоw,"снимать (одежду, обувь)"
wеδдоw,обвинять; сваливать вину на кого-л.
wеδдоw,"засевать, сеять"
wеδдоw,"готовить (пищу), варить; заваривать (чай)"
wеδдоw,"хватать (до какого-л. срока, предела)"
wеδдоw,"доводить, приводить (в какое-л. состояние)"
wеδдоw,"стрелять; бросать, кидать (в кого-л.)"
wеδдоw,"упоминать; замечать, отмечать; делать пометку"
wеδдоw,выступает во второй части сложноименных глаголов
wêбтоw,"вращаться, кружиться (о крайнем быке при молотьбе)"
wêптоw,"вращаться, кружиться (о крайнем быке при молотьбе)"
wêздоw,"купать, мыть"
wêздоw,"переправлять, тащить по воде; грести"
wêздоw,"очищать, отделять зерно от мелких камней (при помощи воды); промывать зерно"
wêрвдоw,кипятить
wêрвдоw,"болтать, разглагольствовать"
wêғдоw,блеять; мычать
wиδӣwдоw,"расщеплять; очищать, напр. горох, абрикос (ср. wарδу̊ȥ:wарδӯйд)"
wӣδу̊ӡдоw,"расщеплять; очищать, напр. горох, абрикос (ср. wарδу̊ȥ:wарδӯйд)"
wиδӣwдоw,"теребить (напр. шерсть, ср. wих̌камб:wих̌кӯвд)"
wӣδу̊ӡдоw,"теребить (напр. шерсть, ср. wих̌камб:wих̌кӯвд)"
wиδӣwдоw,"терзать, раздирать"
wӣδу̊ӡдоw,"терзать, раздирать"
wижӣвдоw,возвращать; поворачивать
wижӣвдоw,возвращаться; поворачивать назад
wиздоw,"помещаться, вмещаться, умещаться; пролезать, проходить; быть впору"
wиӡдоw,"помещаться, вмещаться, умещаться; пролезать, проходить; быть впору"
wизидоw,"гаснуть, угасать, потухать"
wизêwдоw,"тушить, гасить"
wизидоw,"тушить, гасить"
wизентоw,знать
wизентоw,узнавать
wизентоw,понимать
wизентоw,"считать, принимать (за кого-, что-л.)"
