cyrillic,meaning
дақтоw,идти рысью (о лошади)
дақентоw,"качать, шатать; трясти"
дақентоw,"возить; таскать, волочить"
лацтоw,"подаваться под нажимом, оставлять на себе вмятины"
лацтоw,быть вязким
лацтоw,"подрагивать, колебаться"
палтоw,"несильно гореть, теплиться"
палтоw,"поблескивать, блестеть, мерцать"
палтоw,слабо видеть (о глазах)
цартоw,"шуршать, шелестеть; царапаться"
цартоw,"капать, моросить, шуршать (напр., об осадках)"
ӡартоw,испускать газы
шитартоw,громко испускать ветры
шитартоw,"кричать, горланить, орать"
ғатоw,"гоготать (о гусях), кудахтать, крякать (о курах, утках и уларах)"
ғаттоw,"гоготать (о гусях), кудахтать, крякать (о курах, утках и уларах)"
ғатоw,"сердито бормотать, ворчать, бурчать"
ғаттоw,"сердито бормотать, ворчать, бурчать"
