cyrillic,meaning
хи,"молотить (обычно в сочетании хоҷ хӣстоw, в шгн. малоупотр.)"
хи,"колотить, бить"
чи,"делать, поступать (определенным образом); заниматься чем-л."
чи,"делать, изготовлять, производить; создавать; выполнять, устраивать (что-л.)"
чи,делать что-л. чем-л.; превращать
чи,строить
чи,"приготовлять; заготовлять; справлять, собирать"
чи,"варить, готовить; печь"
чи,класть; помещать; сыпать; лить
чи,"одевать, надевать"
чи,"делать, выбирать, избирать (кем-л.); назначать"
чи,"(противоп. сāw:сут) вспомогательный глагол, образующий сложноименные глаголы, преимущественно активного (переходного) и реже среднего (непереходного) значения"
чи,сост. часть сложных глаголов
чи,делать
