cyrillic,meaning
δӣв,собирать; рвать
δӣв,"клевать, склевывать"
δӣw,доить
θи,гореть; сгорать; зажигаться
θи,обжигаться
θи,пропадать (даром)
жирих̌,"кусать, жалить"
мӣ,"умирать, кончаться; погибать; испускать дух, подыхать"
мӣ,"выбиваться из сил, обессиливать, уставать"
мӣ,"помалкивать, сидеть тихо, не шуметь, замирать"
мӣ,"влюбляться по уши, сохнуть по кому-л."
нӣс,"сидеть; садиться, усаживаться; быть сидящим, сидеть (*в формах перфектной серии*)"
нӣс,"ждать (сидя, стоя), поджидать (часто с предлогом *пи*)"
нӣс,"оставаться; пребывать, проживать, останавливаться (на постой)"
нӣс,"садиться, опускаться (с высоты), приземляться"
нӣс,"приминаться, уминаться"
рӣв,"мести, сгребать (снег), очищать (от снега)"
си,"идти, ехать, отправляться; доходить (до предела)"
си,"идти, ехать, отправляться; доходить (до предела)"
си,"становиться, делаться, превращаться"
си,"становиться, делаться, превращаться"
си,"быть, происходить, случаться"
си,"быть, происходить, случаться"
си,"появляться, возникать; рождаться"
си,"появляться, возникать; рождаться"
си,"водиться, встречаться; произрастать"
си,"водиться, встречаться; произрастать"
си,"получаться, выходить"
си,"получаться, выходить"
си,"наступать, исполняться; проходить"
си,"наступать, исполняться; проходить"
си,"быть, приходиться кем-л. кому-л."
си,"быть, приходиться кем-л. кому-л."
си,"(с предлогом тар) походить на кого-либо, удаваться в кого-либо"
си,"(с предлогом тар) походить на кого-либо, удаваться в кого-либо"
си,попадать
си,попадать
си,"деваться, пропадать"
си,"деваться, пропадать"
си,"вспомогательный глагол сложноименных глаголов с непереходным значением (противоп. кин: чӯ, δāδ:δод)"
си,"вспомогательный глагол сложноименных глаголов с непереходным значением (противоп. кин: чӯ, δāδ:δод)"
си,"вспомогательный глагол в начинательных конструкциях с кратким инфинитивом или именем глагольного значения (обычно в сочетании со служебными словами дар, дараw, чи, пай, даwу̊м)"
си,"вспомогательный глагол в начинательных конструкциях с кратким инфинитивом или именем глагольного значения (обычно в сочетании со служебными словами дар, дараw, чи, пай, даwу̊м)"
си,(редко) вспомогательный глагол в составе сложноименных глаголов с переходным значением
си,(редко) вспомогательный глагол в составе сложноименных глаголов с переходным значением
си,тк. в форме су́т-ат(ā) (подчинительный союз) если
си,тк. в форме су́т-ат(ā) (подчинительный союз) если
тӣ,"идти; ходить, ездить; отправляться, уезжать, улетать"
тӣ,"иметь течь, течь"
тӣ,"идти, течь, струиться (о потоке и т. п.)"
тӣ,"исходить, распространяться"
тӣ,ходить (о часах)
тӣ,идти (о времени)
тӣ,дуть (о ветре)
тӣ,входит в состав ряда сложноименных глаголов
хӣ,"есть, кушать, съедать; питаться"
хӣ,"расходовать, разбрасывать, тратить"
хӣ,"наслаждаться, кайфовать"
хӣ,"упрекать, наказывать"
хӣ,"вспомогательный глагол, входит в состав ряда сложноименных глаголов"
х̌икӣ,"искать, разыскивать; обыскивать"
чӣ,"делать, поступать (определенным образом); заниматься чем-л."
чӣ,"делать, изготовлять, производить; создавать; выполнять, устраивать (что-л.)"
чӣ,делать что-л. чем-л.; превращать
чӣ,строить
чӣ,"приготовлять; заготовлять; справлять, собирать"
чӣ,"варить, готовить; печь"
чӣ,класть; помещать; сыпать; лить
чӣ,"одевать, надевать"
чӣ,"делать, выбирать, избирать (кем-л.); назначать"
чӣ,"(противоп. сāw:сут) вспомогательный глагол, образующий сложноименные глаголы, преимущественно активного (переходного) и реже среднего (непереходного) значения"
чӣ,сост. часть сложных глаголов
вӣ,"приносить, приводить, привозить"
вӣ,"переводить; переносить, перевозить; перегонять"
вӣ,"приглашать, звать (в гости)"
вӣ,"жениться, брать в жены"
вӣ,"рожать; давать, приносить приплод; нести яйца"
вӣ,"тк. формы шб. ва, ваҳ и сокр. 2-е л. мн. ч. наст. ш. вет: ну(-ка), давай(-ка)"
