cyrillic,meaning
анцā́в,шить; зашивать; прошивать
инцā́в,шить; зашивать; прошивать
анҷā́в,"(*прям.*) держать; держать(ся), брать(ся), хватать(ся)"
инҷā́в,"(*прям.*) держать; держать(ся), брать(ся), хватать(ся)"
анҷā́в,"ловить; поймать, схватить"
инҷā́в,"ловить; поймать, схватить"
анҷā́в,"задерживать, удерживать"
инҷā́в,"задерживать, удерживать"
анҷā́в,занимать место; захватывать
инҷā́в,занимать место; захватывать
анҷā́в,"схватить, одолеть (о болезни)"
инҷā́в,"схватить, одолеть (о болезни)"
анҷā́в,"брать в жены, жениться"
инҷā́в,"брать в жены, жениться"
анҷā́в,"класть сверху, накладывать; покрывать"
инҷā́в,"класть сверху, накладывать; покрывать"
анҷā́в,"приступать к рассказу, начинать рассказывать"
инҷā́в,"приступать к рассказу, начинать рассказывать"
бих̌чā́р,"черпать, зачерпывать; разливать; наливать; сгребать; рассыпать, насыпать (жидкости и сыпучие вещества)"
бих̌чā́р,"хватать, захватывать"
вāр-δий,"мочь, быть в состоянии"
вāр-δий,"справляться, одолевать, осиливать"
вāр-δий,уметь
авий,"находить, отыскивать, обнаруживать"
вирий,"находить, отыскивать, обнаруживать"
ди́й,"бить, колотить, ударять; толочь, разбивать, раскалывать"
ди́й,"гнать, гонять, погонять; пускать"
ди́й,"пускать воду, поливать"
ди́й,"критиковать, пропесочивать; чернить"
ди́й,"пить; хлебать; жрать, лопать и т.п."
δā́δ,давать; дарить; отдавать; предоставлять
δā́δ,выдавать замуж
δā́δ,"ударять, бить, стегать; вонзать, втыкать"
δā́δ,бодать
δā́δ,"разбивать, побеждать (в борьбе, в состязании); одолевать"
δā́δ,"убивать, подстреливать (на охоте)"
δā́δ,давить; жать
δā́δ,"бросать, кидать; швырять"
δā́δ,"касаться, трогать, задевать (прям. и перен.)"
δā́δ,точить
δā́δ,играть (на музыкальном инструменте)
δā́δ,"помещать, класть (в разн. знач.)"
δā́δ,"связывать, соединять; добавлять, прибавлять"
δā́δ,"воздействовать, влиять, оказывать влияние, охватывать"
δā́δ,передвигаться (в разн. знач.)
δā́δ,делать; устраивать (в разн. знач.)
δā́δ,ругать
δā́δ,"тратить, расходовать"
δā́δ,"лопать, лакать, дуть, пить; жрать"
δā́δ,одеваться
δā́δ,"бросаться; передвигаться, двигаться, добираться"
δā́δ,"вспомогательный глагол, образует сложноименные глаголы активного значения"
δи́й,"падать, валиться, сваливаться"
δи́й,"падать, выпадать, идти (об осадках)"
δи́й,"попадать, оказываться"
δи́й,"ударяться, стукаться; наталкиваться, натыкаться"
δи́й,"случаться, происходить"
δи́й,вспомогательный глагол образует сложноименные глаголы среднего (непереходного) значения
δи́й,"в конструкциях с кратким инфинитивом других глаголов, реже с существительными в сочетании с послелогами ш. -ард, -ирд употребляется для выражения начинательности (со словами пай, дараw, дар, чи)"
зếз,"брать; взимать, взыскивать (в разн. знач.)"
зếз,получать (в разн. знач.); принимать
зếз,покупать
зếз,снимать (напр. головной убор)
зếз,"освобождать, снимать (с должности)"
зếз,"фотографировать, снимать, делать снимок"
зếз,"убирать, собирать (урожай)"
зếз,"усваивать, выучивать"
зếз,"начинать (делать что-л.), приступать, приниматься (за что-л.)"
зини́й,"мыть, обмывать"
зини́й,мыться
зини́й,стирать
лā́к,"отпускать, освобождать; оставлять (в покое)"
лā́к,"оставлять; бросать, покидать"
лā́к,"класть, ставить; оставлять (на чем-л., где-л.)"
лā́к,"разрешать, допускать"
лā́к,распускать
лā́к,отпускать (о боли)
лā́к,"в форме императива в сочетании с 3-м, реже с 1-м л. наст. вр. употребляется для выражения косвенного приказания или пожелания; пусть; ну-ка, дай-(ка)"
лу́в,"говорить, сказать, молвить; утверждать"
лу̊́в,"говорить, сказать, молвить; утверждать"
лу́в,"рассказывать, повествовать; сообщать"
лу̊́в,"рассказывать, повествовать; сообщать"
лу́в,просить; спрашивать
лу̊́в,просить; спрашивать
лу́в,называть
лу̊́в,называть
лу́в,упрекать; ругать; бранить
лу̊́в,упрекать; ругать; бранить
лу́в,"предполагать, думать, считать"
лу̊́в,"предполагать, думать, считать"
лу́в,"обещать, давать слово"
лу̊́в,"обещать, давать слово"
лу́в,петь (песни)
лу̊́в,петь (песни)
лу́в,"токовать; ворковать, чирикать, петь, кричать (о птицах)"
лу̊́в,"токовать; ворковать, чирикать, петь, кричать (о птицах)"
лу́в,"вспомогательный глагол, входит в состав ряда сложных глаголов"
лу̊́в,"вспомогательный глагол, входит в состав ряда сложных глаголов"
парδā́δ,продавать; менять (*прям. и перен.*)
парҷāв,"брать; отнимать, отбирать, забирать"
парҷӣ́в,"брать; отнимать, отбирать, забирать"
патếw,"бросать, кидать (в разн. знач.)"
питếw,"бросать, кидать (в разн. знач.)"
патếw,"класть, помещать"
питếw,"класть, помещать"
патếw,оставлять; покидать; бросать
питếw,оставлять; покидать; бросать
патếw,ронять
питếw,ронять
патếw,"задавать, бросать корм"
питếw,"задавать, бросать корм"
патếw,"валить, взваливать"
питếw,"валить, взваливать"
патếw,"подбрасывать, подвозить, довозить"
питếw,"подбрасывать, подвозить, довозить"
патếw,"вычитывать, убавлять, сбрасывать"
питếw,"вычитывать, убавлять, сбрасывать"
патếw,"поручать, перепоручать; доверять кому-л."
питếw,"поручать, перепоручать; доверять кому-л."
рими́й,"велеть, приказывать; поручать; заставлять"
рими́й,посылать
рими́й,назначать; предлагать
сā́w,"идти, ехать, отправляться; доходить (до предела)"
сā́w,"становиться, делаться, превращаться"
сā́w,"быть, происходить, случаться"
сā́w,"появляться, возникать; рождаться"
сā́w,"водиться, встречаться; произрастать"
сā́w,"получаться, выходить"
сā́w,"наступать, исполняться; проходить"
сā́w,"быть, приходиться кем-л. кому-л."
сā́w,"(с предлогом тар) походить на кого-либо, удаваться в кого-либо"
сā́w,попадать
сā́w,"деваться, пропадать"
сā́w,"вспомогательный глагол сложноименных глаголов с непереходным значением (противоп. кин: чӯд, δāδ:δод)"
сā́w,"вспомогательный глагол в начинательных конструкциях с кратким инфинитивом или именем глагольного значения (обычно в сочетании со служебными словами дар, дараw, чи, пай, даwу̊м)"
сā́w,(редко) вспомогательный глагол в составе сложноименных глаголов с переходным значением
сā́w,тк. в форме су́т-ат(ā) (подчинительный союз) если
ти́й,"идти; ходить, ездить; отправляться, уезжать, улетать"
ти́й,"иметь течь, течь"
ти́й,"идти, течь, струиться (о потоке и т. п.)"
ти́й,"исходить, распространяться"
ти́й,ходить (о часах)
ти́й,идти (о времени)
ти́й,дуть (о ветре)
ти́й,входит в состав ряда сложноименных глаголов
хā́р,"есть, кушать, съедать; питаться"
хā́р,"расходовать, разбрасывать, тратить"
хā́р,"наслаждаться, кайфовать"
хā́р,"упрекать, наказывать"
хā́р,"вспомогательный глагол, входит в состав ряда сложноименных глаголов"
ций,"жать, косить"
ки́н,"делать, поступать (определенным образом); заниматься чем-л."
ки́н,"делать, изготовлять, производить; создавать; выполнять, устраивать (что-л.)"
ки́н,делать что-л. чем-л.; превращать
ки́н,строить
ки́н,"приготовлять; заготовлять; справлять, собирать"
ки́н,"варить, готовить; печь"
ки́н,класть; помещать; сыпать; лить
ки́н,"одевать, надевать"
ки́н,"делать, выбирать, избирать (кем-л.); назначать"
ки́н,"(противоп. сāw:сут) вспомогательный глагол, образующий сложноименные глаголы, преимущественно активного (переходного) и реже среднего (непереходного) значения"
ки́н,сост. часть сложных глаголов
вā́р,"приносить, приводить, привозить"
вā́р,"переводить; переносить, перевозить; перегонять"
вā́р,"приглашать, звать (в гости)"
вā́р,"жениться, брать в жены"
вā́р,"рожать; давать, приносить приплод; нести яйца"
вā́р,"тк. формы шб. ва, ваҳ и сокр. 2-е л. мн. ч. наст. ш. вет: ну(-ка), давай(-ка)"
нах̌тий,"выходить (в разн. знач. извне, откуда-л., из чего-л.)"
нах̌тий,"возникать, появляться, объявляться"
нах̌тий,"объявляться, заявляться, прибывать"
нах̌тий,добираться
нах̌тий,выходить из печати
нах̌тий,"выходить, получаться в итоге (при подсчете, взвешивании)"
нах̌тий,"оказываться, обнаруживаться"
нах̌тий,"оканчиваться, проходить, быть на исходе (о времени)"
нах̌тий,уходить (от мужа)
анҷā́в,"держать себя, держаться"
инҷā́в,"держать себя, держаться"
анцāв,шить
анҷāв,"держать, приобретать, овладевать, брать, ловить"
аррāз,"подниматься, стараться подняться, силиться подняться; вытягиваться в высоту, подниматься на дыбы"
бāф,"быть возможным, быть в состоянии, мочь"
бих̌чāр,"черпать, зачерпывать (жидкость, зерно)"
δāδ,"давать; ударять (по чему-либо); бросать; помещать; работать при помощи чего-либо, при водить в движение (об орудиях)"
дий,"гнать, пускать (о воде, о скоте)"
дий,бить
δий,"пуститься, броситься"
лу̊в,"говорить, петь, называть"
нах̌тий,выходить
римий,"приказывать, поручать, заставлять, велеть"
сāw,"отправляться, идти, уходить, уехать, уезжать"
тий,"идти, ехать"
вāр,"приносить, привозить, приводить"
хāр,есть
х̌иций,"мерзнуть, замерзать"
зêз,"брать, получать"
зêз,"усвоить, выучить"
сāw,"делаться, становиться"
δий,"попасть, очутиться"
δий,выпадать (об осадках)
