cyrillic,meaning
анцāм,шить; зашивать; прошивать
инцāм,шить; зашивать; прошивать
анҷāм,"(*прям.*) держать; держать(ся), брать(ся), хватать(ся)"
инҷāм,"(*прям.*) держать; держать(ся), брать(ся), хватать(ся)"
анҷāм,"ловить; поймать, схватить"
инҷāм,"ловить; поймать, схватить"
анҷāм,"задерживать, удерживать"
инҷāм,"задерживать, удерживать"
анҷāм,занимать место; захватывать
инҷāм,занимать место; захватывать
анҷāм,"схватить, одолеть (о болезни)"
инҷāм,"схватить, одолеть (о болезни)"
анҷāм,"брать в жены, жениться"
инҷāм,"брать в жены, жениться"
анҷāм,"класть сверху, накладывать; покрывать"
инҷāм,"класть сверху, накладывать; покрывать"
анҷāм,"приступать к рассказу, начинать рассказывать"
инҷāм,"приступать к рассказу, начинать рассказывать"
бах̌чам,"черпать, зачерпывать; разливать; наливать; сгребать; рассыпать, насыпать (жидкости и сыпучие вещества)"
бих̌чāм,"черпать, зачерпывать; разливать; наливать; сгребать; рассыпать, насыпать (жидкости и сыпучие вещества)"
бах̌чам,"хватать, захватывать"
бих̌чāм,"хватать, захватывать"
вāр-δӣм,"мочь, быть в состоянии"
вāр-δӣм,"справляться, одолевать, осиливать"
вāр-δӣм,уметь
авӣм,"находить, отыскивать, обнаруживать"
вирӣм,"находить, отыскивать, обнаруживать"
дӣм,"бить, колотить, ударять; толочь, разбивать, раскалывать"
дӣм,"гнать, гонять, погонять; пускать"
дӣм,"пускать воду, поливать"
дӣм,"критиковать, пропесочивать; чернить"
дӣм,"пить; хлебать; жрать, лопать и т.п."
δāм,давать; дарить; отдавать; предоставлять
δāм,выдавать замуж
δāм,"ударять, бить, стегать; вонзать, втыкать"
δāм,бодать
δāм,"разбивать, побеждать (в борьбе, в состязании); одолевать"
δāм,"убивать, подстреливать (на охоте)"
δāм,давить; жать
δāм,"бросать, кидать; швырять"
δāм,"касаться, трогать, задевать (прям. и перен.)"
δāм,точить
δāм,играть (на музыкальном инструменте)
δāм,"помещать, класть (в разн. знач.)"
δāм,"связывать, соединять; добавлять, прибавлять"
δāм,"воздействовать, влиять, оказывать влияние, охватывать"
δāм,передвигаться (в разн. знач.)
δāм,делать; устраивать (в разн. знач.)
δāм,ругать
δāм,"тратить, расходовать"
δāм,"лопать, лакать, дуть, пить; жрать"
δāм,одеваться
δāм,"бросаться; передвигаться, двигаться, добираться"
δāм,"вспомогательный глагол, образует сложноименные глаголы активного значения"
δӣм,"падать, валиться, сваливаться"
δӣм,"падать, выпадать, идти (об осадках)"
δӣм,"попадать, оказываться"
δӣм,"ударяться, стукаться; наталкиваться, натыкаться"
δӣм,"случаться, происходить"
δӣм,вспомогательный глагол образует сложноименные глаголы среднего (непереходного) значения
δӣм,"в конструкциях с кратким инфинитивом других глаголов, реже с существительными в сочетании с послелогами ш. -ард, -ирд употребляется для выражения начинательности (со словами пай, дараw, дар, чи)"
зêм,"брать; взимать, взыскивать (в разн. знач.)"
зêм,получать (в разн. знач.); принимать
зêм,покупать
зêм,снимать (напр. головной убор)
зêм,"освобождать, снимать (с должности)"
зêм,"фотографировать, снимать, делать снимок"
зêм,"убирать, собирать (урожай)"
зêм,"усваивать, выучивать"
зêм,"начинать (делать что-л.), приступать, приниматься (за что-л.)"
зинӣм,"мыть, обмывать"
зинӣм,мыться
зинӣм,стирать
лу̊м,"говорить, сказать, молвить; утверждать"
лу̊м,"рассказывать, повествовать; сообщать"
лу̊м,просить; спрашивать
лу̊м,называть
лу̊м,упрекать; ругать; бранить
лу̊м,"предполагать, думать, считать"
лу̊м,"обещать, давать слово"
лу̊м,петь (песни)
лу̊м,"токовать; ворковать, чирикать, петь, кричать (о птицах)"
лу̊м,"вспомогательный глагол, входит в состав ряда сложных глаголов"
парδāм,продавать; менять (*прям. и перен.*)
парҷӣм,"брать; отнимать, отбирать, забирать"
патêм,"бросать, кидать (в разн. знач.)"
питêм,"бросать, кидать (в разн. знач.)"
патêм,"класть, помещать"
питêм,"класть, помещать"
патêм,оставлять; покидать; бросать
питêм,оставлять; покидать; бросать
патêм,ронять
питêм,ронять
патêм,"задавать, бросать корм"
питêм,"задавать, бросать корм"
патêм,"валить, взваливать"
питêм,"валить, взваливать"
патêм,"подбрасывать, подвозить, довозить"
питêм,"подбрасывать, подвозить, довозить"
патêм,"вычитывать, убавлять, сбрасывать"
питêм,"вычитывать, убавлять, сбрасывать"
патêм,"поручать, перепоручать; доверять кому-л."
питêм,"поручать, перепоручать; доверять кому-л."
рима́йум,"велеть, приказывать; поручать; заставлять"
римӣм,"велеть, приказывать; поручать; заставлять"
рима́йум,посылать
римӣм,посылать
рима́йум,назначать; предлагать
римӣм,назначать; предлагать
сāм,"идти, ехать, отправляться; доходить (до предела)"
сāм,"становиться, делаться, превращаться"
сāм,"быть, происходить, случаться"
сāм,"появляться, возникать; рождаться"
сāм,"водиться, встречаться; произрастать"
сāм,"получаться, выходить"
сāм,"наступать, исполняться; проходить"
сāм,"быть, приходиться кем-л. кому-л."
сāм,"(с предлогом тар) походить на кого-либо, удаваться в кого-либо"
сāм,попадать
сāм,"деваться, пропадать"
сāм,"вспомогательный глагол сложноименных глаголов с непереходным значением (противоп. кин: чӯд, δāδ:δод)"
сāм,"вспомогательный глагол в начинательных конструкциях с кратким инфинитивом или именем глагольного значения (обычно в сочетании со служебными словами дар, дараw, чи, пай, даwу̊м)"
сāм,(редко) вспомогательный глагол в составе сложноименных глаголов с переходным значением
сāм,тк. в форме су́т-ат(ā) (подчинительный союз) если
тӣм,"идти; ходить, ездить; отправляться, уезжать, улетать"
тӣм,"иметь течь, течь"
тӣм,"идти, течь, струиться (о потоке и т. п.)"
тӣм,"исходить, распространяться"
тӣм,ходить (о часах)
тӣм,идти (о времени)
тӣм,дуть (о ветре)
тӣм,входит в состав ряда сложноименных глаголов
хāм,"есть, кушать, съедать; питаться"
хāм,"расходовать, разбрасывать, тратить"
хāм,"наслаждаться, кайфовать"
хāм,"упрекать, наказывать"
хāм,"вспомогательный глагол, входит в состав ряда сложноименных глаголов"
цӣм,"жать, косить"
вӣм,"быть, существовать; быть в наличии, иметься"
вӣм,"быть, находиться, присутствовать"
вӣм,"быть, происходить, случаться"
вӣм,(тк. перфектная форма) 3-е л.: оказывается
вӣм,"(глагол-связка) быть, являться"
вӣм,употребляется как вспомогательный глагол в описательном преждепрошедшем перфекте
кӣм,"делать, поступать (определенным образом); заниматься чем-л."
кӣм,"делать, изготовлять, производить; создавать; выполнять, устраивать (что-л.)"
кӣм,делать что-л. чем-л.; превращать
кӣм,строить
кӣм,"приготовлять; заготовлять; справлять, собирать"
кӣм,"варить, готовить; печь"
кӣм,класть; помещать; сыпать; лить
кӣм,"одевать, надевать"
кӣм,"делать, выбирать, избирать (кем-л.); назначать"
кӣм,"(противоп. сāw:сут) вспомогательный глагол, образующий сложноименные глаголы, преимущественно активного (переходного) и реже среднего (непереходного) значения"
кӣм,сост. часть сложных глаголов
вāм,"приносить, приводить, привозить"
вāм,"переводить; переносить, перевозить; перегонять"
вāм,"приглашать, звать (в гости)"
вāм,"жениться, брать в жены"
вāм,"рожать; давать, приносить приплод; нести яйца"
вāм,"тк. формы шб. ва, ваҳ и сокр. 2-е л. мн. ч. наст. ш. вет: ну(-ка), давай(-ка)"
нах̌тӣм,"выходить (в разн. знач. извне, откуда-л., из чего-л.)"
нах̌тӣм,"возникать, появляться, объявляться"
нах̌тӣм,"объявляться, заявляться, прибывать"
нах̌тӣм,добираться
нах̌тӣм,выходить из печати
нах̌тӣм,"выходить, получаться в итоге (при подсчете, взвешивании)"
нах̌тӣм,"оказываться, обнаруживаться"
нах̌тӣм,"оканчиваться, проходить, быть на исходе (о времени)"
нах̌тӣм,уходить (от мужа)
анҷāм,"держать себя, держаться"
инҷāм,"держать себя, держаться"
анцāм,шить
анҷāм,"держать, приобретать, овладевать, брать, ловить"
бих̌чāм,"черпать, зачерпывать (жидкость, зерно)"
δāм,"давать; ударять (по чему-либо); бросать; помещать; работать при помощи чего-либо, при водить в движение (об орудиях)"
дӣм,"гнать, пускать (о воде, о скоте)"
дӣм,бить
δӣм,"пуститься, броситься"
лу̊м,"говорить, петь, называть"
нах̌тӣм,выходить
римӣм,"приказывать, поручать, заставлять, велеть"
сāм,"отправляться, идти, уходить, уехать, уезжать"
тӣм,"идти, ехать"
вāм,"приносить, привозить, приводить"
хāм,есть
зêм,"брать, получать"
зêм,"усвоить, выучить"
сāм,"делаться, становиться"
δӣм,"попасть, очутиться"
δӣм,выпадать (об осадках)
