cyrillic,meaning
анцет,шить; зашивать; прошивать
анҷет,"(*прям.*) держать; держать(ся), брать(ся), хватать(ся)"
анҷет,"ловить; поймать, схватить"
анҷет,"задерживать, удерживать"
анҷет,занимать место; захватывать
анҷет,"схватить, одолеть (о болезни)"
анҷет,"брать в жены, жениться"
анҷет,"класть сверху, накладывать; покрывать"
анҷет,"приступать к рассказу, начинать рассказывать"
бих̌чет,"черпать, зачерпывать; разливать; наливать; сгребать; рассыпать, насыпать (жидкости и сыпучие вещества)"
бих̌чет,"хватать, захватывать"
δет,давать; дарить; отдавать; предоставлять
δет,выдавать замуж
δет,"ударять, бить, стегать; вонзать, втыкать"
δет,бодать
δет,"разбивать, побеждать (в борьбе, в состязании); одолевать"
δет,"убивать, подстреливать (на охоте)"
δет,давить; жать
δет,"бросать, кидать; швырять"
δет,"касаться, трогать, задевать (прям. и перен.)"
δет,точить
δет,играть (на музыкальном инструменте)
δет,"помещать, класть (в разн. знач.)"
δет,"связывать, соединять; добавлять, прибавлять"
δет,"воздействовать, влиять, оказывать влияние, охватывать"
δет,передвигаться (в разн. знач.)
δет,делать; устраивать (в разн. знач.)
δет,ругать
δет,"тратить, расходовать"
δет,"лопать, лакать, дуть, пить; жрать"
δет,одеваться
δет,"бросаться; передвигаться, двигаться, добираться"
δет,"вспомогательный глагол, образует сложноименные глаголы активного значения"
δет,"падать, валиться, сваливаться"
δет,"падать, выпадать, идти (об осадках)"
δет,"попадать, оказываться"
δет,"ударяться, стукаться; наталкиваться, натыкаться"
δет,"случаться, происходить"
δет,вспомогательный глагол образует сложноименные глаголы среднего (непереходного) значения
δет,"в конструкциях с кратким инфинитивом других глаголов, реже с существительными в сочетании с послелогами ш. -ард, -ирд употребляется для выражения начинательности (со словами пай, дараw, дар, чи)"
зет,"брать; взимать, взыскивать (в разн. знач.)"
зет,получать (в разн. знач.); принимать
зет,покупать
зет,снимать (напр. головной убор)
зет,"освобождать, снимать (с должности)"
зет,"фотографировать, снимать, делать снимок"
зет,"убирать, собирать (урожай)"
зет,"усваивать, выучивать"
зет,"начинать (делать что-л.), приступать, приниматься (за что-л.)"
зидет,"подметать, выметать, выгребать, вычищать, вытирать"
зидет,"обчищать, обкрадывать"
парδет,продавать; менять (*прям. и перен.*)
патет,"бросать, кидать (в разн. знач.)"
питет,"бросать, кидать (в разн. знач.)"
патет,"класть, помещать"
питет,"класть, помещать"
патет,оставлять; покидать; бросать
питет,оставлять; покидать; бросать
патет,ронять
питет,ронять
патет,"задавать, бросать корм"
питет,"задавать, бросать корм"
патет,"валить, взваливать"
питет,"валить, взваливать"
патет,"подбрасывать, подвозить, довозить"
питет,"подбрасывать, подвозить, довозить"
патет,"вычитывать, убавлять, сбрасывать"
питет,"вычитывать, убавлять, сбрасывать"
патет,"поручать, перепоручать; доверять кому-л."
питет,"поручать, перепоручать; доверять кому-л."
тет,"идти; ходить, ездить; отправляться, уезжать, улетать"
тет,"иметь течь, течь"
тет,"идти, течь, струиться (о потоке и т. п.)"
тет,"исходить, распространяться"
тет,ходить (о часах)
тет,идти (о времени)
тет,дуть (о ветре)
тет,входит в состав ряда сложноименных глаголов
хет,"есть, кушать, съедать; питаться"
хет,"расходовать, разбрасывать, тратить"
хет,"наслаждаться, кайфовать"
хет,"упрекать, наказывать"
хет,"вспомогательный глагол, входит в состав ряда сложноименных глаголов"
нах̌тет,"выходить (в разн. знач. извне, откуда-л., из чего-л.)"
нах̌тет,"возникать, появляться, объявляться"
нах̌тет,"объявляться, заявляться, прибывать"
нах̌тет,добираться
нах̌тет,выходить из печати
нах̌тет,"выходить, получаться в итоге (при подсчете, взвешивании)"
нах̌тет,"оказываться, обнаруживаться"
нах̌тет,"оканчиваться, проходить, быть на исходе (о времени)"
нах̌тет,уходить (от мужа)
анҷет,"держать себя, держаться"
анцет,шить
анҷет,"держать, приобретать, овладевать, брать, ловить"
бих̌чет,"черпать, зачерпывать (жидкость, зерно)"
δет,"давать; ударять (по чему-либо); бросать; помещать; работать при помощи чего-либо, при водить в движение (об орудиях)"
δет,"пуститься, броситься"
нах̌тет,выходить
патет,"бросать, валить"
паттет,"бросать, валить"
питет,"бросать, валить"
питтет,"бросать, валить"
римет,"приказывать, поручать, заставлять, велеть"
сет,"отправляться, идти, уходить, уехать, уезжать"
тет,"идти, ехать"
вет,"приносить, привозить, приводить"
хет,есть
зет,"брать, получать"
зидет,подметать
зет,"усвоить, выучить"
сет,"делаться, становиться"
δет,"попасть, очутиться"
δет,выпадать (об осадках)
