cyrillic,meaning
сā,"идти, ехать, отправляться; доходить (до предела)"
са,"идти, ехать, отправляться; доходить (до предела)"
сā,"становиться, делаться, превращаться"
са,"становиться, делаться, превращаться"
сā,"быть, происходить, случаться"
са,"быть, происходить, случаться"
сā,"появляться, возникать; рождаться"
са,"появляться, возникать; рождаться"
сā,"водиться, встречаться; произрастать"
са,"водиться, встречаться; произрастать"
сā,"получаться, выходить"
са,"получаться, выходить"
сā,"наступать, исполняться; проходить"
са,"наступать, исполняться; проходить"
сā,"быть, приходиться кем-л. кому-л."
са,"быть, приходиться кем-л. кому-л."
сā,"(с предлогом тар) походить на кого-либо, удаваться в кого-либо"
са,"(с предлогом тар) походить на кого-либо, удаваться в кого-либо"
сā,попадать
са,попадать
сā,"деваться, пропадать"
са,"деваться, пропадать"
сā,"вспомогательный глагол сложноименных глаголов с непереходным значением (противоп. кин: чӯд, δāδ:δод)"
са,"вспомогательный глагол сложноименных глаголов с непереходным значением (противоп. кин: чӯд, δāδ:δод)"
сā,"вспомогательный глагол в начинательных конструкциях с кратким инфинитивом или именем глагольного значения (обычно в сочетании со служебными словами дар, дараw, чи, пай, даwу̊м)"
са,"вспомогательный глагол в начинательных конструкциях с кратким инфинитивом или именем глагольного значения (обычно в сочетании со служебными словами дар, дараw, чи, пай, даwу̊м)"
сā,(редко) вспомогательный глагол в составе сложноименных глаголов с переходным значением
са,(редко) вспомогательный глагол в составе сложноименных глаголов с переходным значением
сā,тк. в форме су́т-ат(ā) (подчинительный союз) если
са,тк. в форме су́т-ат(ā) (подчинительный союз) если
