cyrillic,meaning
ажӯғ̌ҷ,"мокнуть, намокнуть, размокать, намокать"
нижӯғ̌ҷ,"мокнуть, намокнуть, размокать, намокать"
амбӯсч,"обваливаться, рушиться"
андӯйҷ,"вставать, подниматься"
индӯйҷ,"вставать, подниматься"
андӯйҷ,"вставать, подниматься (с постели); просыпаться, пробуждаться (ото сна)"
индӯйҷ,"вставать, подниматься (с постели); просыпаться, пробуждаться (ото сна)"
андӯйҷ,"уходить, покидать"
индӯйҷ,"уходить, покидать"
андӯйҷ,"отставать, отделяться, отходить, отлипать"
индӯйҷ,"отставать, отделяться, отходить, отлипать"
андӯйҷ,"увеличиваться (об объеме, размере, количестве, уровне и т. д.)"
индӯйҷ,"увеличиваться (об объеме, размере, количестве, уровне и т. д.)"
андӯйҷ,"вырастать, подрастать (напр., о детях)"
индӯйҷ,"вырастать, подрастать (напр., о детях)"
андӯйҷ,"расти, вырастать; прорастать, появляться (о всходах растений)"
индӯйҷ,"расти, вырастать; прорастать, появляться (о всходах растений)"
андӯйҷ,"продвигаться по службе, идти в гору, делать карьеру"
индӯйҷ,"продвигаться по службе, идти в гору, делать карьеру"
андӯйҷ,"начинаться, возникать"
индӯйҷ,"начинаться, возникать"
анҷӯвҷ,"начинаться, идти (об осадках)"
инҷӯвҷ,"начинаться, идти (об осадках)"
аррух̌ч,"прыгать, подскакивать; тянуться (вверх); подниматься на дыбы"
арух̌ч,"прыгать, подскакивать; тянуться (вверх); подниматься на дыбы"
аррух̌ч,"бить ключом, струей; брызгать"
арух̌ч,"бить ключом, струей; брызгать"
аррух̌ч,"чваниться, пыжиться, задирать нос, зазнаваться"
арух̌ч,"чваниться, пыжиться, задирать нос, зазнаваться"
бируδҷ,перестать питаться материнским молоком; бросить сосать (грудь)
биwеδҷ,"опухать, распухать; вздуваться, раздуваться, пучить"
биғ̌еδҷ,"опухать, распухать; вздуваться, раздуваться, пучить"
биғ̌иδҷ,"опухать, распухать; вздуваться, раздуваться, пучить"
биwеδҷ,"дуться, обижаться"
биғ̌еδҷ,"дуться, обижаться"
биғ̌иδҷ,"дуться, обижаться"
виwӣδҷ,"отказываться от еды, переставать есть"
вирух̌ч,"ломаться, разбиваться; раскалываться"
wижӣвҷ,возвращаться; поворачивать назад
wизуδҷ,"гаснуть, угасать, потухать"
wизӯδҷ,"гаснуть, угасать, потухать"
wирӯвҷ,"вставать, останавливаться; быть вставшим, стоять (*в формах перфектной серии*)"
wирӯвҷ,отставать (напр. в развитии); ослабевать; отцветать
wирӯйҷ,расплетаться; распарываться
дунгч,дрожать (от холода)
дункч,дрожать (от холода)
дуқч,идти рысью (о лошади)
δоδҷ,"падать, валиться, сваливаться"
δоδҷ,"падать, выпадать, идти (об осадках)"
δоδҷ,"попадать, оказываться"
δоδҷ,"ударяться, стукаться; наталкиваться, натыкаться"
δоδҷ,"случаться, происходить"
δоδҷ,вспомогательный глагол образует сложноименные глаголы среднего (непереходного) значения
δоδҷ,"в конструкциях с кратким инфинитивом других глаголов, реже с существительными в сочетании с послелогами ш. -ард, -ирд употребляется для выражения начинательности (со словами пай, дараw, дар, чи)"
θуδҷ,гореть; сгорать; зажигаться
θӯδҷ,гореть; сгорать; зажигаться
θуδҷ,обжигаться
θӯδҷ,обжигаться
θуδҷ,пропадать (даром)
θӯδҷ,пропадать (даром)
зибуδҷ,"прыгать, скакать; бросаться, кидаться (прям. и перен.)"
