cyrillic,meaning
аwойч,"ложиться, укладываться, разваливаться (чаще о животных)"
аɣ̌ойч,"ложиться, укладываться, разваливаться (чаще о животных)"
аwойч,"никнуть к земле, стелиться (о растениях)"
аɣ̌ойч,"никнуть к земле, стелиться (о растениях)"
аwойч,"рассаживаться, разваливаться (о человеке)"
аɣ̌ойч,"рассаживаться, разваливаться (о человеке)"
андӣц,"вставать, подниматься"
нихах̌ц,разрушаться
нихих̌ц,разрушаться
парwах̌т,"соскальзывать, падать в воду с меха для плавания"
парwих̌ц,"соскальзывать, падать в воду с меха для плавания"
сиц,"отправляться, идти, уходить, уехать, уезжать"
сифӣц,подниматься
сиц,"делаться, становиться"
