cyrillic,meaning
ажод,"мокнуть, намокнуть, размокать, намокать"
нижод,"мокнуть, намокнуть, размокать, намокать"
арах̌т,"прыгать, подскакивать; тянуться (вверх); подниматься на дыбы"
аррах̌т,"прыгать, подскакивать; тянуться (вверх); подниматься на дыбы"
арах̌т,"бить ключом, струей; брызгать"
аррах̌т,"бить ключом, струей; брызгать"
арах̌т,"чваниться, пыжиться, задирать нос, зазнаваться"
аррах̌т,"чваниться, пыжиться, задирать нос, зазнаваться"
виwāд,"отказываться от еды, переставать есть"
вирах̌т,"ломаться, разбиваться; раскалываться"
wижāвд,возвращаться; поворачивать назад
wировд,"вставать, останавливаться; быть вставшим, стоять (*в формах перфектной серии*)"
wировд,отставать (напр. в развитии); ослабевать; отцветать
дақт,идти рысью (о лошади)
дақент,"качать, шатать; трясти"
дақент,"возить; таскать, волочить"
зийах̌т,"вянуть, высыхать, засыхать, выгорать"
зинойд,"скользить, соскальзывать"
кидойд,"вытекать, течь, освобождаться (от жидкости)"
киройд,вытекать
лацт,"подаваться под нажимом, оставлять на себе вмятины"
лацт,быть вязким
лацт,"подрагивать, колебаться"
мод,"умирать, кончаться; погибать; испускать дух, подыхать"
мод,"выбиваться из сил, обессиливать, уставать"
мод,"помалкивать, сидеть тихо, не шуметь, замирать"
мод,"влюбляться по уши, сохнуть по кому-л."
нарфāд,выдернуться; вывихнуться
нах̌фāд,выдернуться; вывихнуться
них̌фāд,выдернуться; вывихнуться
нағ̌ҷāд,проходить; переходить (в разн. знач.); миновать
нағ̌ҷāд,"проходить, миновать (о времени)"
нағ̌ҷāд,"обходить, превосходить (в чем-л.)"
ност,"сидеть; садиться, усаживаться; быть сидящим, сидеть (*в формах перфектной серии*)"
ност,"ждать (сидя, стоя), поджидать (часто с предлогом *пи*)"
ност,"оставаться; пребывать, проживать, останавливаться (на постой)"
ност,"садиться, опускаться (с высоты), приземляться"
ност,"приминаться, уминаться"
нихаст,"спадать, уменьшаться (об опухоли и т. п.)"
нихах̌т,"разрушаться, обваливаться"
рихах̌т,"разрушаться, обваливаться"
нихах̌т,спускаться; опускаться
рихах̌т,спускаться; опускаться
парах̌т,"скакать, вскакивать, прыгать; кидаться"
пархах̌т,болеть повторно (рецидив болезни)
пирхах̌т,болеть повторно (рецидив болезни)
пиδāвд,"липнуть, клеиться, прилипать"
пиδовд,"липнуть, клеиться, прилипать"
пиδāвд,"приставать (о заразе, болезни), заражаться"
пиδовд,"приставать (о заразе, болезни), заражаться"
пиδāвд,"драться, сцепляться"
пиδовд,"драться, сцепляться"
пиδāвд,"начинать, приступать (чаще с кратким инфинитивом)"
пиδовд,"начинать, приступать (чаще с кратким инфинитивом)"
пад,портиться; гнить; тлеть
пад,свертываться (о молоке)
пад,чернеть; покрываться синяками
пармод,"вянуть, увядать; сохнуть"
пирмод,"вянуть, увядать; сохнуть"
пармод,терять силы; слабеть; становиться вялым
пирмод,терять силы; слабеть; становиться вялым
пишад,"утешаться; развлекаться, отвлекаться, заниматься чем-л."
ривод,"отдавать молоко, доиться"
ривод,опускаться (о губах при плаче)
сат,"идти, ехать, отправляться; доходить (до предела)"
сат,"становиться, делаться, превращаться"
сат,"быть, происходить, случаться"
сат,"появляться, возникать; рождаться"
сат,"водиться, встречаться; произрастать"
сат,"получаться, выходить"
сат,"наступать, исполняться; проходить"
