cyrillic,meaning
андойд,"вставать, подниматься"
индойд,"вставать, подниматься"
андойд,"вставать, подниматься (с постели); просыпаться, пробуждаться (ото сна)"
индойд,"вставать, подниматься (с постели); просыпаться, пробуждаться (ото сна)"
андойд,"уходить, покидать"
индойд,"уходить, покидать"
андойд,"отставать, отделяться, отходить, отлипать"
индойд,"отставать, отделяться, отходить, отлипать"
андойд,"увеличиваться (об объеме, размере, количестве, уровне и т. д.)"
индойд,"увеличиваться (об объеме, размере, количестве, уровне и т. д.)"
андойд,"вырастать, подрастать (напр., о детях)"
индойд,"вырастать, подрастать (напр., о детях)"
андойд,"расти, вырастать; прорастать, появляться (о всходах растений)"
индойд,"расти, вырастать; прорастать, появляться (о всходах растений)"
андойд,"продвигаться по службе, идти в гору, делать карьеру"
индойд,"продвигаться по службе, идти в гору, делать карьеру"
андойд,"начинаться, возникать"
индойд,"начинаться, возникать"
бирад,перестать питаться материнским молоком; бросить сосать (грудь)
wизад,"гаснуть, угасать, потухать"
дангт,дрожать (от холода)
θад,гореть; сгорать; зажигаться
θад,обжигаться
θад,пропадать (даром)
зибад,"прыгать, скакать; бросаться, кидаться (прям. и перен.)"
зибад,"отваливаться, отскакивать; падать, валиться"
зибад,"исчезать, пропадать; убегать"
зидах̌т,"рваться, разрываться; ломаться; лопаться, трескаться (прям. и перен.)"
зидах̌т,"валиться, обрушиваться"
зидах̌т,"распускаться, перестать владеть собой"
зидах̌т,"спадать, утихать"
зидах̌т,"заканчиваться, кончаться"
ниδāвд,"прилипать, приклеиваться, приставать"
ниδовд,"прилипать, приклеиваться, приставать"
ниδāвд,"приставать, задираться; сцепиться в схватке, драке"
ниδовд,"приставать, задираться; сцепиться в схватке, драке"
ниδāвд,"начинать (что-л. делать), приступать к чему-л., приняться за что-л."
ниδовд,"начинать (что-л. делать), приступать к чему-л., приняться за что-л."
парwах̌т,соскальзывать (с меха при плавании)
парwах̌т,"касаться, вмешиваться, интересоваться"
пирост,"рваться, разрываться"
пирост,"протекать; капать; просачиваться, прорываться (о воде)"
пирост,"проходить, прекращаться"
палт,"несильно гореть, теплиться"
палт,"поблескивать, блестеть, мерцать"
палт,слабо видеть (о глазах)
риwах̌т,"летать; улетать, взлетать"
рацост,"бежать; убегать, сбегать"
рицост,"бежать; убегать, сбегать"
сирад,"отделяться, выделяться"
сирад,сворачиваться (о молочных продуктах)
сирад,"перестать сосать грудь, отказываться от груди"
сифāд,подниматься
сифāд,достигать какого-л. уровня
сифāд,"преуспевать, расти (в должности)"
аwойд,"ложиться, укладываться, разваливаться (чаще о животных)"
аɣ̌ойд,"ложиться, укладываться, разваливаться (чаще о животных)"
аwойд,"никнуть к земле, стелиться (о растениях)"
аɣ̌ойд,"никнуть к земле, стелиться (о растениях)"
аwойд,"рассаживаться, разваливаться (о человеке)"
аɣ̌ойд,"рассаживаться, разваливаться (о человеке)"
āндойд,"вставать, подниматься"
аррах̌т,"подниматься, стараться подняться, силиться подняться; вытягиваться в высоту, подниматься на дыбы"
биδовд,закрываться (о глазах)
мод,умирать
нах̌фāд,"вывихиваться, выдергиваться"
нах̌то́йд,выходить
наɣ̌ҷāд,"переходить, проходить"
ниδо́вд,"прилепляться, приклеиваться, приставать"
нихах̌т,разрушаться
ност,"сидеть, садиться, пребывать, оставаться, ждать, поджидать"
парwах̌т,"соскальзывать, падать в воду с меха для плавания"
пад,"гнить, портиться, тлеть"
пиδовд,"начинать, приниматься за..., приставать к..."
пирост,"рвать, разрывать"
пишад,"утешаться, затихать"
рицост,убегать
риwах̌т,летать
сат,"отправляться, идти, уходить, уехать, уезжать"
сатт,"отправляться, идти, уходить, уехать, уезжать"
сифāд,подниматься
тах̌т,драться (преимущественно о собаках и др. животных)
тойд,"идти, ехать"
вад,быть
вирах̌т,"ломаться, разбиваться"
wировд,"вставать, стоять"
х̌икафт,"расцветать, распускаться"
зибад,прыгать
зидах̌т,"рваться, ломаться"
зийах̌т,"увядать, засыхать"
θад,"гореть, зажигаться"
сат,"делаться, становиться"
сатт,"делаться, становиться"
