cyrillic,meaning
аwт,"плакать, реветь (о ребенке)"
ангт,"плакать, реветь (о ребенке)"
бӣwт,"рыдать, плакать"
бӯwт,"рыдать, плакать"
wêбт,"вращаться, кружиться (о крайнем быке при молотьбе)"
wизêwт,"тушить, гасить"
wилāмбт,"класть, укладывать, накладывать; наваливать"
wирембт,"заставлять стоять; ставить на отдых, привязывать (напр. лошадь)"
wирембт,"заставлять стоять в наказание, ставить в угол"
wихойт,"ударять, бить; колоть, мельчить"
wойт,ныть; рыдать; плакать
wу̊йт,ныть; рыдать; плакать
wойт,ахать да охать; захваливать; сглазить
wу̊йт,ахать да охать; захваливать; сглазить
дêт,"бить, колотить, ударять; толочь, разбивать, раскалывать"
дӣт,"бить, колотить, ударять; толочь, разбивать, раскалывать"
дêт,"гнать, гонять, погонять; пускать"
дӣт,"гнать, гонять, погонять; пускать"
дêт,"пускать воду, поливать"
дӣт,"пускать воду, поливать"
дêт,"критиковать, пропесочивать; чернить"
дӣт,"критиковать, пропесочивать; чернить"
дêт,"пить; хлебать; жрать, лопать и т.п."
дӣт,"пить; хлебать; жрать, лопать и т.п."
дирамбт,"биться, трепетать, стучать (о сердце)"
дирамбт,"опасаться; чувствовать, казаться"
думбт,топать
дангт,"перебирать струны, играть (на струнном инструменте)"
дунгт,"перебирать струны, играть (на струнном инструменте)"
зибêт,"отделять, снимать, отлеплять (лепешку от стены очага)"
зийêwт,"давать высыхать, выгорать (о растениях)"
лǫ,"говорить, сказать, молвить; утверждать"
лу,"говорить, сказать, молвить; утверждать"
лу̊,"говорить, сказать, молвить; утверждать"
лǫ,"рассказывать, повествовать; сообщать"
лу,"рассказывать, повествовать; сообщать"
лу̊,"рассказывать, повествовать; сообщать"
лǫ,просить; спрашивать
лу,просить; спрашивать
лу̊,просить; спрашивать
лǫ,называть
лу,называть
лу̊,называть
лǫ,упрекать; ругать; бранить
лу,упрекать; ругать; бранить
лу̊,упрекать; ругать; бранить
лǫ,"предполагать, думать, считать"
лу,"предполагать, думать, считать"
лу̊,"предполагать, думать, считать"
лǫ,"обещать, давать слово"
лу,"обещать, давать слово"
лу̊,"обещать, давать слово"
лǫ,петь (песни)
лу,петь (песни)
лу̊,петь (песни)
лǫ,"токовать; ворковать, чирикать, петь, кричать (о птицах)"
лу,"токовать; ворковать, чирикать, петь, кричать (о птицах)"
лу̊,"токовать; ворковать, чирикать, петь, кричать (о птицах)"
лǫ,"вспомогательный глагол, входит в состав ряда сложных глаголов"
лу,"вспомогательный глагол, входит в состав ряда сложных глаголов"
лу̊,"вспомогательный глагол, входит в состав ряда сложных глаголов"
мāwт,мяукать
наɣ̌ӡимбт,"проводить (о времени, мероприятии)"
наɣ̌ӡимбт,"проводить, вести; уводить"
ниδембт,"лепить, прилеплять, приклеивать"
ниδембт,"стравлять, подбивать на драку"
нимêwт,подавать знаки; манить жестами
нимêйт,виднеться; казаться
парwирд,"забивать, заглушать (о сорняках)"
парwирд,"покрывать, окутывать, охватывать (напр., о копоти, пыли)"
парδā,продавать; менять (*прям. и перен.*)
пêwт,"гноить, портить"
пêwт,"заставлять свертываться молоко, изготовлять творог"
пêwт,ставить синяки; избивать
пих̌êwт,стричь шерсть (животных)
пишêwт,"занимать чем-л., развлекать, отвлекать; утешать"
пишêwт,"развлекаться, утешаться; отвлекаться; заниматься посторонними делами"
пêйт,пасти (скот)
рах̌āт,хватать (прям. и перен.)
ринêwт,"заставлять плакать, доводить до слез; дразнить; обижать"
рих̌êwт,"рубить; резать; рвать (напр., ветви, овощи)"
рих̌êwт,"класть, складывать"
сут,"идти, ехать, отправляться; доходить (до предела)"
сут,"становиться, делаться, превращаться"
сут,"быть, происходить, случаться"
сут,"появляться, возникать; рождаться"
сут,"водиться, встречаться; произрастать"
сут,"получаться, выходить"
сут,"наступать, исполняться; проходить"
сут,"быть, приходиться кем-л. кому-л."
сут,"(с предлогом тар) походить на кого-либо, удаваться в кого-либо"
сут,попадать
сут,"деваться, пропадать"
сут,"вспомогательный глагол сложноименных глаголов с непереходным значением (противоп. кин: чӯд, δāδ:δод)"
сут,"вспомогательный глагол в начинательных конструкциях с кратким инфинитивом или именем глагольного значения (обычно в сочетании со служебными словами дар, дараw, чи, пай, даwу̊м)"
сут,(редко) вспомогательный глагол в составе сложноименных глаголов с переходным значением
сут,тк. в форме су́т-ат(ā) (подчинительный союз) если
сêwт,"тереть, растирать, молоть (на зернотерке)"
сêwт,"точить, заострять"
ситêбт,"к *ситафц:ситӯвд*: поджаривать, пережаривать"
ситêбт,вызывать жажду
ситêwт,"хвалить, восхвалять"
тангт,"звенеть, издавать звук металла"
тунгт,"звенеть, издавать звук металла"
тебт,"резать, рубить"
теwт,"мешать, смешивать, размешивать; месить, замешивать"
теwт,"топтать(ся), месить ногами, вязнуть; топать, увязая"
тêбт,"вить, сучить, свивать"
тêбт,крутить; завинчивать; заводить
тêбт,"искажать, извращать"
тилāбт,просить; требовать
тилāбт,"просить руки, сватать"
тилāбт,искать
тирангт,звенеть
тумбт,"звукоподражание грохотанью, грому"
фат,бормотать; болтать
фирêwт,"полоскать, споласкивать; очищать, отмывать"
фирêwт,"обмывать, пить в честь кого-, чего-л."
фирêwт,"ругать, мыть кому-л. косточки"
фӣт,"свистеть, плохо играть на флейте"
хирд,"чесаться, зудеть, саднить"
хойт,обмолачиваться; измельчаться (о хлебах)
х̌êwт,"саднить, чесаться (о глазах)"
х̌ицêwт,к *х̌ици:х̌ицод*: замораживать; простуживать
х̌êйт,читать
х̌êйт,"учиться, заниматься; учить"
цирембт,"жечь, обжигать"
цирембт,"огорчать, печалить, причинять душевную боль"
чембт,"хотеть, соглашаться"
чêwт,"чесать, расчесывать"
чêwт,"чесать, устранять зуд"
шêбт,"размачивать, размягчать в воде; разводить, размешивать в воде"
шêбт,мыть; стирать
шêбт,"неразборчиво писать, писать каракулями; царапать"
шêбт,"жрать, лопать; тратить, расходовать"
шинêбт,"шутить; дразнить, донимать"
шиқабт,ехидничать
ғӣнӡт,ржать; фыркать (о лошади)
ғут,"гоготать (о гусях), кудахтать, крякать (о курах, утках и уларах)"
ғут,"сердито бормотать, ворчать, бурчать"
ɣ̌ибу̊нгт,"бить, колотить"
ɣ̌ӣбт,"брызгать, разбрызгивать; разбрасывать; рассыпать; разливать; выплескивать"
қилпāт,искать
қилпāт,"возиться, работать"
қит,хихикать исподтишка
қӣwт,"звать, кликать; вызывать; приглашать"
қӣwт,кричать
қӣwт,называть; прозывать; именовать
қумбт,ворковать (о голубях)
қут,кудахтать; кукарекать
ҷирангт,звенеть
ҷирêwт,петь
ҷумбт,"качаться, колебаться, трястись, дрожать (о неодушевленных предметах)"
ву,"быть, существовать; быть в наличии, иметься"
ву,"быть, находиться, присутствовать"
ву,"быть, происходить, случаться"
ву,(тк. перфектная форма) 3-е л.: оказывается
ву,"(глагол-связка) быть, являться"
ву,употребляется как вспомогательный глагол в описательном преждепрошедшем перфекте
пиδир,"держаться, выдерживать; быть прочным, постоянным"
муф,"(тк. в форме 3 л. прет. и перф.) слабо́, где уж"
биδембт,"закрывать (глаза, рот)"
биδембт,"спать, засыпать (букв. закрывать свои глаза)"
йат,"приходить; прибывать, приезжать; возвращаться"
йат,"следовать, наступать, подходить (вслед за чем-л.)"
йат,"(часто в сочетании с ас пиро) встречаться, попадаться, выходить навстречу; показываться"
йат,"выходить, получаться"
йат,"вспомогательный глагол, образует сложноименные глаголы"
йат,"(тк. формы йа(д), йа́дет) ну-ка, давай(-ка); давайте(-ка)"
пиδембт,прилеплять; прилаживать; прикреплять; присоединять
пиδембт,заражать (болезнью)
тêбт,"отворачиваться, отказываться; ломаться, крутить-вертеть"
дêт,"гнать, пускать (о воде, о скоте)"
дӣт,"гнать, пускать (о воде, о скоте)"
нижêр,"размачивать, вымачивать"
сут,"отправляться, идти, уходить, уехать, уезжать"
йат,"прибывать, приходить, приезжать"
сут,"делаться, становиться"
