wижӣвӡ[f]                # возвращаться; поворачивать назад
wизиц[f]                 # гаснуть, угасать, потухать
wирӣwӡ[f]                # расплетаться; распарываться
wирӣвӡ[f]                # вставать, останавливаться; быть вставшим, стоять (*в формах перфектной серии*); отставать (напр. в развитии); ослабевать; отцветать
δêц[f]                   # в конструкциях с кратким инфинитивом других глаголов, реже с существительными в сочетании с послелогами ш. -ард, -ирд употребляется для выражения начинательности (со словами пай, дараw, дар, чи); вспомогательный глагол образует сложноименные глаголы среднего (непереходного) значения; падать, валиться, сваливаться; падать, выпадать, идти (об осадках); попадать, оказываться; случаться, происходить; ударяться, стукаться; наталкиваться, натыкаться
θиц[f]                   # гореть; сгорать; зажигаться; обжигаться; пропадать (даром)
аwӣц[f]                  # ложиться, укладываться, разваливаться (чаще о животных); никнуть к земле, стелиться (о растениях); рассаживаться, разваливаться (о человеке)
ажӣғ̌ӡ[f]                # мокнуть, намокнуть, размокать, намокать
амбисч[f]                # обваливаться, рушиться
андойҷ[f]                # вставать, подниматься
андӣц[f]                 # вставать, подниматься; вставать, подниматься; вставать, подниматься (с постели); просыпаться, пробуждаться (ото сна); вырастать, подрастать (напр., о детях); начинаться, возникать; отставать, отделяться, отходить, отлипать; продвигаться по службе, идти в гору, делать карьеру; расти, вырастать; прорастать, появляться (о всходах растений); увеличиваться (об объеме, размере, количестве, уровне и т. д.); уходить, покидать
анҷӣвӡ[f]                # начинаться, идти (об осадках)
арих̌ц[f]                # бить ключом, струей; брызгать; прыгать, подскакивать; тянуться (вверх); подниматься на дыбы; чваниться, пыжиться, задирать нос, зазнаваться
аррах̌ч[f]               # подниматься, стараться подняться, силиться подняться; вытягиваться в высоту, подниматься на дыбы
аррих̌ц[f]               # бить ключом, струей; брызгать; подниматься, стараться подняться, силиться подняться; вытягиваться в высоту, подниматься на дыбы; прыгать, подскакивать; тянуться (вверх); подниматься на дыбы; чваниться, пыжиться, задирать нос, зазнаваться
ағ̌ӣц[f]                 # лежать (о скоте); ложиться, укладываться, разваливаться (чаще о животных); никнуть к земле, стелиться (о растениях); рассаживаться, разваливаться (о человеке)
биwец[f]                 # дуться, обижаться; опухать, распухать; вздуваться, раздуваться, пучить
биδӣвӡ[f]                # закрываться (напр., о глазах, рте); закрываться (о глазах)
бириц[f]                 # перестать питаться материнским молоком; бросить сосать (грудь)
биғ̌ец[f]                # дуться, обижаться; опухать, распухать; вздуваться, раздуваться, пучить
виwӣц[f]                 # отказываться от еды, переставать есть
вирих̌ц[f]               # ломаться, разбиваться; раскалываться
виц[f]                   # (глагол-связка) быть, являться; (тк. перфектная форма) 3-е л.: оказывается; быть, находиться, присутствовать; быть, происходить, случаться; быть, существовать; быть в наличии, иметься; употребляется как вспомогательный глагол в описательном преждепрошедшем перфекте
дангч[f]                 # дрожать (от холода)
данкч[f]                 # дрожать (от холода)
дақенч[f]                # возить; таскать, волочить; качать, шатать; трясти
дақч[f]                  # идти рысью (о лошади)
зêц[f]                   # нестись; телиться; ягниться; жеребиться; котиться; рождать (чаще о животных; о женщине – неодобр.); рождать (чаще о животных)
зибиц[f]                 # исчезать, пропадать; убегать; отваливаться, отскакивать; падать, валиться; прыгать, скакать; бросаться, кидаться (прям. и перен.)
зидих̌ц[f]               # валиться, обрушиваться; заканчиваться, кончаться; распускаться, перестать владеть собой; рваться, разрываться; ломаться; лопаться, трескаться (прям. и перен.); спадать, утихать
зийих̌ц[f]               # вянуть, высыхать, засыхать, выгорать
зинойҷ[f]                # скользить, соскальзывать
зоδҷ[f]                  # рождать (чаще о животных)
индӣц[f]                 # вставать, подниматься; вставать, подниматься (с постели); просыпаться, пробуждаться (ото сна); вырастать, подрастать (напр., о детях); начинаться, возникать; отставать, отделяться, отходить, отлипать; продвигаться по службе, идти в гору, делать карьеру; расти, вырастать; прорастать, появляться (о всходах растений); увеличиваться (об объеме, размере, количестве, уровне и т. д.); уходить, покидать
инҷӣвӡ[f]                # начинаться, идти (об осадках)
кидойҷ[f]                # вытекать, течь, освобождаться (от жидкости)
киройҷ[f]                # вытекать
лацч[f]                  # быть вязким; подаваться под нажимом, оставлять на себе вмятины; подрагивать, колебаться
