wижāвд[f]                # возвращаться; поворачивать назад
wировд[f]                # вставать, останавливаться; быть вставшим, стоять (*в формах перфектной серии*); вставать, стоять; отставать (напр. в развитии); ослабевать; отцветать
θад[f]                   # гореть, зажигаться
ажод[f]                  # мокнуть, намокнуть, размокать, намокать
арах̌т[f]                # бить ключом, струей; брызгать; прыгать, подскакивать; тянуться (вверх); подниматься на дыбы; чваниться, пыжиться, задирать нос, зазнаваться
аррах̌т[f]               # бить ключом, струей; брызгать; прыгать, подскакивать; тянуться (вверх); подниматься на дыбы; чваниться, пыжиться, задирать нос, зазнаваться
ағ̌ойд[f]                # лежать (о скоте)
вад[f]                   # (глагол-связка) быть, являться; (тк. перфектная форма) 3-е л.: оказывается; быть; быть, находиться, присутствовать; быть, происходить, случаться; быть, существовать; быть в наличии, иметься; употребляется как вспомогательный глагол в описательном преждепрошедшем перфекте
виwāд[f]                 # отказываться от еды, переставать есть
вирах̌т[f]               # ломаться, разбиваться; ломаться, разбиваться; раскалываться
дақент[f]                # возить; таскать, волочить; качать, шатать; трясти
дақт[f]                  # идти рысью (о лошади)
зибад[f]                 # прыгать
зидах̌т[f]               # рваться, ломаться
зийах̌т[f]               # вянуть, высыхать, засыхать, выгорать; увядать, засыхать
зинойд[f]                # скользить, соскальзывать
кидойд[f]                # вытекать, течь, освобождаться (от жидкости)
киройд[f]                # вытекать; истекать, вытекать
лацт[f]                  # быть вязким; подаваться под нажимом, оставлять на себе вмятины; подрагивать, колебаться
мод[f]                   # влюбляться по уши, сохнуть по кому-л.; выбиваться из сил, обессиливать, уставать; помалкивать, сидеть тихо, не шуметь, замирать; умирать; умирать, кончаться; погибать; испускать дух, подыхать
нарфāд[f]                # выдернуться; вывихнуться
нах̌тойд[f]              # возникать, появляться, объявляться; выходить; выходить (в разн. знач. извне, откуда-л., из чего-л.); выходить из печати; выходить, получаться в итоге (при подсчете, взвешивании); добираться; объявляться, заявляться, прибывать; оказываться, обнаруживаться; оканчиваться, проходить, быть на исходе (о времени); уходить (от мужа)
нах̌фāд[f]               # вывихиваться, выдергиваться; выдернуться; вывихнуться
нағ̌ҷāд[f]               # обходить, превосходить (в чем-л.); переходить, проходить; проходить, миновать (о времени); проходить; переходить (в разн. знач.); миновать
ниδовд[f]                # прилепляться, приклеиваться, приставать
нижод[f]                 # мокнуть, намокнуть, размокать, намокать
них̌фāд[f]               # выдернуться; вывихнуться
нихаст[f]                # спадать, уменьшаться (об опухоли и т. п.)
нихах̌т[f]               # разрушаться; разрушаться, обваливаться; спускаться; опускаться
ност[f]                  # ждать (сидя, стоя), поджидать (часто с предлогом *пи*); оставаться; пребывать, проживать, останавливаться (на постой); приминаться, уминаться; садиться, опускаться (с высоты), приземляться; сидеть, садиться, пребывать, оставаться, ждать, поджидать; сидеть; садиться, усаживаться; быть сидящим, сидеть (*в формах перфектной серии*)
пад[f]                   # гнить, портиться, тлеть; портиться; гнить; тлеть; свертываться (о молоке); чернеть; покрываться синяками
парах̌т[f]               # скакать, вскакивать, прыгать; кидаться
пармод[f]                # вянуть, увядать; сохнуть; терять силы; слабеть; становиться вялым
пархах̌т[f]              # болеть повторно (рецидив болезни)
пиδāвд[f]                # драться, сцепляться; липнуть, клеиться, прилипать; начинать, приступать (чаще с кратким инфинитивом); приставать (о заразе, болезни), заражаться
пиδовд[f]                # драться, сцепляться; липнуть, клеиться, прилипать; начинать, приниматься за..., приставать к...; начинать, приступать (чаще с кратким инфинитивом); приставать (о заразе, болезни), заражаться
пирмод[f]                # вянуть, увядать; сохнуть; терять силы; слабеть; становиться вялым
пирост[f]                # рвать, разрывать
пирхах̌т[f]              # болеть повторно (рецидив болезни)
пишад[f]                 # утешаться, затихать; утешаться; развлекаться, отвлекаться, заниматься чем-л.
риwах̌т[f]               # летать
ривод[f]                 # опускаться (о губах при плаче); отдавать молоко, доиться
рихах̌т[f]               # разрушаться, обваливаться; спускаться; опускаться
сат[f]                   # (редко) вспомогательный глагол в составе сложноименных глаголов с переходным значением; (с предлогом тар) походить на кого-либо, удаваться в кого-либо; быть, приходиться кем-л. кому-л.; быть, происходить, случаться; водиться, встречаться; произрастать; вспомогательный глагол в начинательных конструкциях с кратким инфинитивом или именем глагольного значения (обычно в сочетании со служебными словами дар, дараw, чи, пай, даwу̊м); вспомогательный глагол сложноименных глаголов с непереходным значением (противоп. кин: чӯд, δāδ:δод); деваться, пропадать; идти, ехать, отправляться; доходить (до предела); наступать, исполняться; проходить; отправляться, идти, уходить, уехать, уезжать; делаться, становиться; получаться, выходить; попадать; появляться, возникать; рождаться; становиться, делаться, превращаться; тк. в форме су́т-ат(ā) (подчинительный союз) если
сатт[f]                  # отправляться, идти, уходить, уехать, уезжать; делаться, становиться
ситāвд[f]                # горевать, огорчаться, убиваться; жариться, поджариваться; испытывать жажду, хотеть пить
ситовд[f]                # горевать, огорчаться, убиваться; жариться, поджариваться; испытывать жажду, хотеть пить
сифāд[f]                 # подниматься
тарт[f]                  # испускать газы; орать, кричать; тарахтеть, трещать, шуметь
тах̌т[f]                 # драться; драться (преимущественно о собаках и др. животных)
тойд[f]                  # дуть (о ветре); идти (о времени); идти, ехать; идти, течь, струиться (о потоке и т. п.); идти; ходить, ездить; отправляться, уезжать, улетать; иметь течь, течь; исходить, распространяться; копить, откладывать, запасать; ходить (о часах)
фах̌т[f]                 # молчать, сердиться, дуться; пыхтеть, тяжело дышать, часто дышать
фингт[f]                 # тихо ржать (о лошади)
фирад[f]                 # прополаскиваться начисто, отмываться
функт[f]                 # тихо ржать (о лошади)
х̌икафт[f]               # расцветать, распускаться; расцветать; распускаться; хорошеть, расцветать
царт[f]                  # капать, моросить, шуршать (напр., об осадках); шуршать, шелестеть; царапаться
царцарт[f]               # капать, моросить, шуршать (напр., об осадках); шуршать, шелестеть; царапаться
цирāвд[f]                # горевать, тосковать, печалиться; скорбеть; саднить, щипать, нащипывать, гореть, жечь, болеть
цировд[f]                # жечь, саднить
шитарт[f]                # громко испускать ветры; кричать, горланить, орать
ғат[f]                   # гоготать (о гусях), кудахтать, крякать (о курах, утках и уларах); сердито бормотать, ворчать, бурчать
ғатт[f]                  # гоготать (о гусях), кудахтать, крякать (о курах, утках и уларах); сердито бормотать, ворчать, бурчать
ғатғат[f]                # гоготать (о гусях), кудахтать, крякать (о курах, утках и уларах); сердито бормотать, ворчать, бурчать
ғатғатт[f]               # гоготать (о гусях), кудахтать, крякать (о курах, утках и уларах); сердито бормотать, ворчать, бурчать
ғибах̌т[f]               # кончаться, заканчиваться (о вязании); прекращать рост; оставаться на одном и том же уровне
қат[f]                   # кудахтать; кукарекать
қатт[f]                  # кудахтать; кукарекать
ӡарт[f]                  # испускать газы
ӡарӡарт[f]               # испускать газы
