wordform,tagged
vuδǰ,vuδ<v>><pf><m>
navuδǰ,<neg>>vuδ<v>><pf><m>
yi,yi<prt><indef>
yůrx̌ak,yůrx̌<n>><dim>
vuδǰ,vuδ<v>><pf><m>
yu-yi,yu<dem><d3><m><sg>><3sg>
pi,pi<prep><up>
yi,yi<prt><indef>
biland,biland<n>
kū,kū<n>
zindagi,zindagi<n>
čūɣ̌ǰ,čūɣ̌<v>><pf>
di,di<dem><d2><m><sg><o>
kū,kū<n>
bīr-and,bīr<post><sub>><loc>
yi,yi<prt><indef>
qišloq,qišloq<n>
vuδǰ-at,vuδ<v>><pf><m>><coord2>
di,di<dem><d2><m><sg><o>
qišloq-and-ga,qišloq<n>><loc>><add1>
yi,yi<prt><indef>
ɣulā,ɣulā<n>
boǰakzor,<walnut>>zor<n><place>
vuδǰ,vuδ<v>><pf><m>
tīramo,tīramo<n>
boǰak,boǰak<n>
firopt-at,firop<v>><prs><3sg>><coord2>
yid,yid<dem><d2><sg>
yůrx̌ak,yůrx̌<n>><dim>
xāfst,xāfs<v>><prs><3sg>
ar,ar<prep><down>
di,di<dem><d2><m><sg><o>
qišloq,qišloq<n>
boǰak,boǰak<n>
cift,cif<v>><inf>
yid,yid<dem><d2><sg>
qišloq,qišloq<n>
mardum,mardum<n>
wi,wi<dem><d3><m><sg><o>
wintow,wīn<v>><inf>><purp>
wi,wi<dem><d3><m><sg><o>
wīnt,wīn<v>><prs><3sg>
amo,amo<cnj>
as,as<prep><el>
x̌oǰ,x̌oǰ<n>
yi,yi<prt><indef>
čīraθ,čīr<pro>><int>
čīdow,čī<v>><inf>><purp>
navārδed,<neg>>vārδe<v>><prs><3sg>
yi,yi<prt><indef>
meθ-at,meθ<n>><in>
yi,yi<prt><indef>
mūysafedik,mūysafed<n>><dim>
yi,yi<prt><indef>
bebun,<without>>bun<n>
cimūd,cimūd<n>
woft,wof<v>><prs><3sg>
xu,xu<cnj><coord1>
yêst,yês<v>><prs><3sg>
tar,tar<prep><eq>
wi,wi<dem><d3><m><sg><o>
boǰakzor,<walnut>>zor<n><place>
x̌̌āb-atā,x̌āb<n>><in>
yid,yid<dem><d2><sg>
yůrx̌ak,yůrx̌<n>><dim>
yoδd,yoδ<v>><prs><3sg>
xu,xu<cnj><coord1>
di,di<dem><d2><m><sg><o>
boǰak,boǰak<n>
fukaθ,fuk<pro>><int>
biɣ̌ent,biɣ̌en<v>><prs><3sg>
bād,bād<prt>
xušikunůn,<joy>>kunůn<n>
di,di<dem><d2><m><sg><o>
boǰak,boǰak<n>
ar,ar<prep><down>
di,di<dem><d2><m><sg><o>
bebun,<without>>bun<n>
cimūd,cimūd<n>
bix̌čīrt,bix̌čīr<v>><prs><3sg>
xu,xu<cnj><coord1>
či,či<prt><prosp>
tīd,tī<v>><inf>
sůd,sů<v>><prs><3sg>
naw,naw<prt>
mis,mis<prt><add2>
di,di<dem><d2><m><sg><o>
cimūd,cimūd<n>
pi,pi<prep><up>
xu,xu<dem><refl>
dām,dām<n>
sent-at,sen<v>><prs><3sg>><coord2>
yu,yu<dem><d3><m><sg>
boǰak,boǰak<n>
di,di<dem><d2><m><sg><o>
sůd,sů<v>><prs><3sg>
fukaθ,fuk<pro>><int>
xoli,xoli<n>
ikditi,ik<prt><emph>><d2><m><sg><o>><sup>
yid,yid<dem><d2><sg>
yůrx̌ak,yůrx̌<n>><dim>
to,to<prep><lim1>
sāraki-ec,sāraki<n>><lim2>
di,di<dem><d2><m><sg><o>
boǰak,boǰak<n>
bix̌čīrt-at,bix̌čīr<v>><prs><3sg>><coord2>
yu,yu<dem><d3><m><sg>
vo,vo<prt>
xoli,xoli<n>
sůd,sů<v>><prs><3sg>
yid,yid<dem><d2><sg>
yůrx̌ak,yůrx̌<n>><dim>
as,as<prep><el>
qār,qār<n>
di,di<dem><d2><m><sg><o>
cimūd,cimūd<n>
kix̌t,kix̌<v>><prs><3sg>
tuk-tukak,tuk<n><redup>><dim>
xu,xu<cnj><coord1>
tīzd,<go>>d<v><prs><3sg>
pi,pi<prep><up>
wi,wi<dem><d3><m><sg><o>
kū,kū<n>
xu,xu<cnj><coord1>
as,as<prep><el>
wam,wam<dem><d3><f><sg><o>
rūz-and,rūz<n>><loc>
aǰ-ga,ač<prt>><add1>
ar,ar<prep><down>
di,di<dem><d2><m><sg><o>
qišloq,qišloq<n>
naxāfst,<neg>>xāfs<v>><prs><3sg>
yid,yid<dem><d2><sg>
mardum,mardum<n>
di,di<dem><d2><m><sg><o>
mūysafedik,mūysafed<n>><dim>
tadbīr-qati,tadbīr<n>><com>
as,as<prep><el>
di,di<dem><d2><m><sg><o>
duzd,duzd<n>
yůrx̌ak,yůrx̌<n>><dim>
xalos,xalos<n>
sůd,sů<v>><prs><3sg>
