wordform,tagged
yi,yi<prt><indef>
meθ,meθ<n>
yeso,yeso<nprop><jesus>
ar,ar<prep><down>
ǰo-ndi,ǰo<n>><loc>
ca,ca<cnj><subd>
duo-yi,duo<n>><3sg>
čūd,čū<v>><pst>
atā,atā<cnj><advs>
yi,yi<prt><indef>
x̌ogird,x̌ogird<n>
wi-rd-i,wi<dem><d3><m><sg><o>><lat>><3sg>
lůd,lů<v>><pst>
e,e<prt><voc>
xudowand,xudowand<n><god>
māš,māš<pers><prn><1pl>
duočīd,duo<n>><do>><inf>
uxmānd,uxmānd<n>
kin,kin<v>
yāyo,yāyo<nprop><john>
yida,yida<dem><d2><loc>
xu,xu<pro><refl>
x̌ogirden-i,x̌ogird<n>><pl>><3sg>
uxmānd,uxmānd<n>
čūd,čū<v>><pst>
atā,atā<cnj><advs>
yeso,yeso<nprop><jesus>
wev-ard-i,wev<dem><d3><pl><o>><lat>><3sg>
lůd,lů<v>><pst>
ar,ar<pro>
waxt,waxt<n>
duo,duo<n>
či,či<prep><prosp>
x̌êyd,x̌ey<v>><inf>
ca,ca<cnj><subd>
set,s<v>><prs><2pl>
yik,yik<prt><emph>
dis,dis<prt>
lůvet,lův<v>><prs><2pl>
e,e<prt><voc>
padari,padar<n>><ez>
buzurgwor,buzurgwor<n>
yu,yu<dem><d3><m><sg>
tar,tar<prep><eq>
osmůn,osmůn<n>
lāk,lāk<v>
tu,tu<pers><prn><2sg>
nům,nům<n>
muqadas,muqadas<n>
sůd,sů<v>><prs><3sg>
lāk,lāk<v>
tu,tu<pers><prn><2sg>
malakūt,malakūt<n>
yoδd,yoδ<v>><prs><3sg>
lāk,lāk<v>
tu,tu<pers><prn><2sg>
yirodā,yirodā<n>
zamīn-ti,zamīn<n>><sup>
mis,mis<prt><add2>
osmůn,osmůn<n>
ǰinow,ǰinow<n>
barqaror,barqaror<n>
ved,ve<v>><prs><3sg>
tu,tu<pers><prn><2sg>
māš-ard,māš<pers><prn><1pl>><lat>
ar,ar<pro>
meθ,meθ<n>
māš,māš<pers><prn><1pl>
risq,risq<n>
at,at<cnj><coord2>
rūzi,rūzi<n>
dāk,dāk<v>
māš,māš<pers><prn><1pl>
guno,guno<n>
māš-ard,māš<pers><prn><1pl>><lat>
biyomurzīdā,biyomurzīdā<n>
kin,kin<v>
yidê,yidê<cnj><compl>
māš,māš<pers><prn><1pl>
mis,mis<prt><add2>
fukard-aθ,fuk<pro>><lat>><int>
ar,ar<pro>
čāy,čāy<pro>
māš-ard,māš<pers><prn><1pl>><lat>
badi,bad<n>><subst>
ca,ca<cnj><subd>
kix̌t,kix̌<v>><prs><3sg>
wev,wev<dem><d3><pl><o>
guno,guno<n>
biyomurzīdā,biyomurzīdā<n>
kinām,kin<v>><prs><1pl>
ozmūd-ard,ozmūd<n>><lat>
māš,māš<pers><prn><1pl>
dičor,dičor<n>
kin,kin<v>
at,at<cnj><coord2>
as,as<prep><el>
yiblīs,yiblīs<n>
māš,māš<pers><prn><1pl>
nigo,nigo<n>
δêr,δêr<v>
yeso,yeso<nprop><jesus>
vo,vo<prt>
wev-ard-i,wev<dem><d3><pl><o>><lat>><3sg>
lůd,lů<v>><pst>
farz-ām,farz<n>><1pl>
čūd,čū<v>><pst>
idê,idi<cnj><compl>
yīw-and,yīw<num>><loc>
as,as<prep><el>
tama,tama<pers><prn><2pl>
dūst,dūst<n>
yast,yast<v>
xu,xu<cnj><coord1>
barobar,barobar<n>
x̌āb,х̌āb<n>
yoδd,yoδ<v>><prs><3sg>
tar,tar<prep><eq>
wi,wi<dem><d3><m><sg><o>
čīd,čīd<n>
divi,divi<n>
xu,xu<cnj><coord1>
lůvd,lův<v>><prs><3sg>
e,e<prt><voc>
dūst,dūst<n>
aray,aray<num>
garδā,garδā<n>
mu-rd,mu<pers><prn><1sg><o>><lat>
qārz,qārz<n>
δa,δa<v>
šič,šič<prt>
tar,tar<prep><eq>
mu,mu<pers><prn><1sg><o>
čīd,čīd<n>
yi,yi<prt><indef>
dūst,dūst<n>
ded,de<v>><pst>
atā,atā<cnj><advs>
mu-nd,mu<pers><prn><1sg><o>><loc>
yi-čīz-aθ,yi<pro><indef>><thing>><int>
nist,nist<v><neg>
idê,idi<cnj><compl>
wi,wi<dem><d3><m><sg><o>
piro-ndi,piro<prep>><loc>
ribīm,ribi<v>><prs><1sg>
naxo,naxo<prt>
yu-ta,yu<dem><d3><m><sg>><irr>
as,as<prep><el>
čīd-and,čīd<n>><loc>
xu,xu<cnj><coord1>
dūst-ard,dūst<n>><lat>
lůvd,lův<v>><prs><3sg>
a,a<prt><voc>
ǰůn,ǰůn<n>
tu,tu<pers><prn><2sg>
ol,ol<n>
mu,mu<pers><prn><1sg><o>
δa,δa<v>
divi,divi<n>
yida,yida<dem><d2><loc>
čust,čust<v>
bāč-kāč-en,bāčkāč<n>><redup>><3pl>
yida,yida<dem><d2><loc>
x̌êvӡ,x̌êv<v>><pf><f/pl>
wuz-um,wuz<pers><prn><1sg>><1sg>
mis,mis<prt><add2>
ar,ar<prep><down>
bīreǰ,bīreǰ<n>
wuz,wuz<pers><prn><1sg>
vārδīm,vār<v>><fall_down>><prs><1sg>
andiӡum,andiʒ<v>><prs><1sg>
xu,xu<cnj><coord1>
garδā,garδā<n>
tu-rd,tu<pers><prn><2sg>><lat>
ziwêδum,ziwêδ<v>><1sg>
rost-aθ,rost<n>><adv>
tama-rd,tama<pers><prn><2pl>><lat>
lům,lů<v>><prs><1sg>
idê,idi<cnj><compl>
aga,aga<cnj>
dūst,dūst<n>
ǰinow,ǰinow<n>
wi-rd,wi<dem><d3><m><sg><o>><lat>
garδā,garδā<n>
ca,ca<cnj><subd>
na,na<prt><neg>
