yůrx̌ak,yůrx̌<n>><dim>,UNK,UNKNOWN
boǰakzor,<walnut>>zor<n><place>,UNK,UNKNOWN
firopt-at,firop<v>><prs><3sg>><coord2>,UNK,UNKNOWN
navārδed,<neg>>vārδe<v>><prs><3sg>,UNK,UNKNOWN
woft,wof<v>><prs><3sg>,UNK,UNKNOWN
yêst,yês<v>><prs><3sg>,UNK,UNKNOWN
x̌̌āb-atā,x̌āb<n>><in>,UNK,UNKNOWN
bād,bād<prt>/bād<n>/bād<prep>,UNK,UNKNOWN
xušikunůn,<joy>>kunůn<n>,UNK,UNKNOWN
bix̌čīrt,bix̌čīr<v>><prs><3sg>,UNK,UNKNOWN
sůd,sů<v>><prs><3sg>,UNK,UNKNOWN
ikditi,ik<prt><emph>><d2><m><sg><obl>><sup>,UNK,UNKNOWN
sāraki-ec,sāraki<n>><lim2>,UNK,UNKNOWN
bix̌čīrt-at,bix̌čīr<v>><prs><3sg>><coord2>,UNK,UNKNOWN
tīzd,<go>>d<v><prs><3sg>/tīz<v>><prs><3sg>,UNK,UNKNOWN
aǰ-ga,ač<prt>><add1>,UNK,UNKNOWN
tadbīr-qati,tadbīr<n>><com>,UNK,UNKNOWN
yawūden,yawūd<n><jewish>><pl>,UNK,UNKNOWN
mūso,mūso<nprop><moses>,UNK,UNKNOWN
tawrot,tawrot<n><torah>,UNK,UNKNOWN
idê,idê<cnj><compl>/idi<cnj><compl>,UNK,UNKNOWN
yeso-yi,yeso<nprop><jesus>><3sg>/yeso<nprop><jesus>><ez>,UNK,UNKNOWN
carāng,carang<pro>,UNK,UNKNOWN
yeso,yeso<nprop><jesus>,UNK,UNKNOWN
tawrot-and-en,tawrot<n><torah>><loc>><3pl>,UNK,UNKNOWN
firopt,firop<v>><prs><3sg>,UNK,UNKNOWN
odamizod,odamizod<n>,UNK,UNKNOWN
ammo,ammo<cnj>,UNK,UNKNOWN
yerusalīm,yerusalīm<nprop><jerusalem>,UNK,UNKNOWN
yerixůn,yerixůn<nprop><jericho>,UNK,UNKNOWN
yik-wi,yik<dem><emph>><d3><m><sg><obl>,UNK,UNKNOWN
koyin,koyin<n>,UNK,UNKNOWN
lewī,lewī<nprop><levite>,UNK,UNKNOWN
x̌īvǰīn,x̌īv<v>><prf>><ptcp1>,UNK,UNKNOWN
maǰrū,maǰrū<n>,UNK,UNKNOWN
zaytūn,zaytūn<n>,UNK,UNKNOWN
memūnxůnā-yi,memūnxůnā<n>><3sg>,UNK,UNKNOWN
wê-θ,wê<dem><d3><m><sg><obl>><int>,UNK,UNKNOWN
memūnxůnā,memūnxůnā<n>,UNK,UNKNOWN
dinor,dinor<n>,UNK,UNKNOWN
